exchange,symbol,gain_x,bottom_price,peak_price,bottom_date,peak_date,days_to_peak
mexc,NEXFI/USDT,75000000.0,3.6e-07,27.0,2026-02-01,2026-02-01,0
mexc,AIV/USDT,5940495.049504951,1.01e-06,5.9999,2026-02-11,2026-02-15,4
mexc,PPTAI/USDT,3230000.0,1.05e-05,33.915,2026-01-31,2026-01-31,0
mexc,WHSPR/USDT,2450000.0000000005,2e-06,4.9,2026-02-27,2026-02-27,0
mexc,SOMNUS/USDT,579710.1449275363,6.9e-06,4.0,2026-02-07,2026-02-07,0
mexc,FLD/USDT,369722.22222222225,0.000216,79.86,2026-02-25,2026-02-28,3
mexc,APAD/USDT,329999.99999999994,1e-05,3.3,2026-03-03,2026-03-03,0
mexc,PGVERSE/USDT,118750.0,0.0008,95.0,2026-03-04,2026-03-04,0
mexc,POWERAI/USDT,46950.0,0.0001,4.695,2026-02-08,2026-02-08,0
mexc,PMM/USDT,41197.183098591544,0.000284,11.7,2026-03-08,2026-03-08,0
mexc,REPAI/USDT,25000.0,0.0018,45.0,2026-03-01,2026-03-01,0
mexc,CARROT/USDT,18235.294117647056,0.00255,46.5,2026-02-28,2026-03-09,9
mexc,AFRD/USDT,16915.422885572138,0.000201,3.4,2026-02-16,2026-02-16,0
mexc,XP8/USDT,13157.894736842105,0.00038,5.0,2025-11-05,2025-11-05,0
mexc,ATLBRY/USDT,8000.0,0.001,8.0,2026-03-11,2026-03-11,0
mexc,IMT/USDT,4116.8658698539175,0.001506,6.2,2026-02-11,2026-03-07,24
mexc,XYZ/USDT,3425.1069900142656,7.01e-05,0.2401,2026-01-29,2026-01-29,0
mexc,PSAI/USDT,2972.1854304635763,0.00151,4.488,2026-02-15,2026-02-15,0
mexc,SYNA/USDT,1612.6482213438733,0.000253,0.408,2026-03-14,2026-03-14,0
mexc,MORE/USDT,1545.183887915937,5.71e-05,0.08823,2025-10-06,2025-10-06,0
mexc,BTSLR/USDT,1189.6825396825398,1.26e-07,0.0001499,2025-10-08,2025-10-08,0
mexc,TEAFI/USDT,1161.8900077459334,0.002582,3.0,2025-11-03,2025-11-03,0
mexc,CRYPGPT/USDT,1025.2777777777778,0.018,18.455,2026-03-16,2026-03-16,0
mexc,FD/USDT,975.6059564719359,0.0873,85.1704,2026-03-07,2026-03-07,0
mexc,MINDHIVE/USDT,925.5925,4e-05,0.0370237,2025-11-15,2025-11-16,1
mexc,SAROS/USDT,636.2085865516565,0.0005101,0.32453,2025-10-01,2025-10-01,0
mexc,EDOM/USDT,557.6208178438662,0.000807,0.45,2026-01-21,2026-01-21,0
mexc,BLINKY/USDT,507.1428571428571,0.056,28.4,2026-03-18,2026-03-18,0
mexc,PIPPIN/USDT,486.38655913978494,0.00186,0.904679,2025-10-10,2026-02-26,139
mexc,LSM/USDT,484.4227642276423,0.0615,29.792,2026-03-14,2026-03-14,0
mexc,SVN/USDT,437.50000000000006,8e-06,0.0035,2025-10-01,2025-10-04,3
mexc,AIA/USDT,401.57010915197316,0.07146,28.6962,2025-10-10,2025-11-07,28
mexc,PIPPIN/USDT:USDT,391.61802575107293,0.00233,0.91247,2025-10-10,2026-02-26,139
mexc,IRC/USDT,375.609756097561,0.00041,0.154,2025-11-10,2025-11-10,0
mexc,114514/USDT,372.5782414307004,0.0001342,0.05,2026-01-05,2026-01-06,1
mexc,ZYN/USDT,353.63888888888886,3.6e-05,0.012731,2025-11-09,2025-12-03,24
mexc,VFARM/USDT,344.23999999999995,0.025,8.606,2025-11-13,2025-11-13,0
mexc,YALA/USDT,334.45539793219524,0.0004159,0.1391,2025-10-10,2025-10-10,0
mexc,SN3/USDT,270.27027027027026,0.000925,0.25,2026-03-11,2026-03-11,0
mexc,WNX/USDT,264.90066225165566,0.00151,0.4,2026-03-15,2026-03-15,0
mexc,XGZ/USDT,260.03385714285713,70.0,18202.37,2025-12-17,2026-01-25,39
mexc,COAI/USDT,250.04389994895357,0.1959,48.9836,2025-10-01,2025-10-12,11
mexc,ALLO/USDT:USDT,218.81838074398252,0.0457,10.0,2025-11-11,2025-11-11,0
mexc,COMMON/USDT,203.23866467364226,0.0002007,0.04079,2025-10-27,2025-10-27,0
mexc,SBTC/USDT,197.49873000000002,26000.0,5134966.98,2025-11-24,2025-12-08,14
mexc,JSK/USDT,190.0,0.001,0.19,2025-12-18,2026-01-14,27
mexc,XRPC/USDT,176.4705882352941,6.8e-06,0.0012,2025-10-01,2025-10-02,1
mexc,PENGUIN/USDT,174.3,0.001,0.1743,2026-01-22,2026-01-24,2
mexc,SERAPH/USDT,170.06172839506172,0.00405,0.68875,2025-10-06,2025-10-06,0
mexc,HELI/USDT,164.01458333333332,4.8e-06,0.00078727,2025-10-01,2025-10-03,2
mexc,3KDS/USDT,162.63910969793324,0.000629,0.1023,2026-01-27,2026-01-27,0
mexc,ZND/USDT,159.94183933115232,0.002751,0.44,2025-10-01,2025-10-01,0
mexc,PORT3/USDT,159.54844778927566,0.0005315,0.0848,2025-10-06,2025-10-06,0
mexc,TOM/USDT,157.4,5e-06,0.000787,2025-12-05,2025-12-05,0
mexc,RVV/USDT,148.38300570703868,0.0001577,0.0234,2025-10-18,2025-10-18,0
mexc,TEM/USDT,145.9970014992504,0.000667,0.09738,2026-02-06,2026-02-06,0
mexc,FAVE/USDT,145.84615384615387,0.00052,0.07584,2025-10-12,2025-11-04,23
mexc,MORI/USDT:USDT,139.21113689095128,0.00431,0.6,2025-11-24,2025-11-24,0
mexc,INJ/USDT,136.2,0.1,13.62,2025-10-01,2025-10-03,2
mexc,GAIN/USDT,135.0181887803944,0.0005223,0.07052,2025-10-01,2025-10-06,5
mexc,ALMANAK/USDT,128.93982808022923,0.001745,0.225,2025-12-11,2025-12-11,0
mexc,AIOT/USDT,126.20701357466062,0.00884,1.11567,2025-10-01,2025-10-03,2
mexc,AIOT/USDT:USDT,123.52222222222223,0.009,1.1117,2025-10-01,2025-10-02,1
mexc,PUP/USDT,122.66176019625881,0.0003261,0.04,2025-10-05,2025-10-08,3
mexc,BULLA/USDT,120.32378035440823,0.004571,0.55,2026-02-01,2026-02-01,0
mexc,TBK/USDT,120.0,0.025,3.0,2025-12-24,2026-01-04,11
mexc,SKX/USDT,119.31818181818181,0.0176,2.1,2025-10-01,2025-10-05,4
mexc,CRAT/USDT,117.9195620130554,0.004749,0.56,2025-12-23,2025-12-23,0
mexc,DYM/USDT:USDT,117.79661016949152,0.0236,2.78,2025-10-10,2025-10-10,0
mexc,PIGGY/USDT,110.68515497553018,0.02452,2.714,2025-10-28,2025-11-02,5
mexc,CODEX/USDT,108.8236,0.5,54.4118,2026-01-02,2026-01-02,0
mexc,TRU1/USDT,106.76873489121677,0.002482,0.265,2025-10-01,2025-10-03,2
mexc,DONT/USDT,106.37146371463714,8.13e-07,8.648e-05,2026-01-22,2026-01-22,0
mexc,PLAI/USDT,104.62707182320442,0.001448,0.1515,2025-11-04,2025-11-04,0
mexc,BULLA/USDT:USDT,104.13695652173914,0.0046,0.47903,2026-02-01,2026-02-01,0
mexc,ECHELON/USDT,102.46268656716417,0.0201,2.0595,2026-02-02,2026-02-02,0
mexc,COAI/USDT:USDT,102.17584097859327,0.1962,20.0469,2025-10-01,2025-10-16,15
mexc,ARCIEL/USDT,101.47200000000001,0.00025,0.025368,2026-01-30,2026-01-31,1
mexc,BEAT/USDT,99.39999999999999,0.05,4.97,2025-11-01,2025-12-22,51
mexc,TEN/USDT,99.00621118012423,0.001127,0.11158,2025-11-27,2025-11-27,0
mexc,NEOS/USDT,92.5925925925926,0.1296,12.0,2026-03-15,2026-03-15,0
mexc,LONG/USDT,92.47448979591836,0.001568,0.145,2025-11-06,2025-11-06,0
mexc,SIREN/USDT:USDT,92.23300970873787,0.0515,4.75,2026-02-07,2026-03-22,43
mexc,EDENA/USDT,90.69337442218799,0.0649,5.886,2025-11-13,2025-11-13,0
mexc,VRA/USDT,89.52180028129396,1.422e-05,0.001273,2025-10-07,2025-10-07,0
mexc,CTXC/USDT,85.69999999999999,0.0008,0.06856,2025-10-01,2025-10-03,2
mexc,LUNAM/USDT,85.59201141226818,0.0003505,0.03,2025-10-28,2025-10-28,0
mexc,CSIGMA/USDT,85.10000000000001,0.003,0.2553,2025-10-31,2025-11-20,20
mexc,MOLT/USDT:USDT,85.07302075326672,1.301e-05,0.0011068,2026-01-31,2026-01-31,0
mexc,MOLT/USDT,84.61538461538463,1.3e-05,0.0011,2026-01-30,2026-01-30,0
mexc,BANANAS31/USDT,83.63214837712519,0.0001941,0.016233,2025-10-10,2026-03-23,164
mexc,TCAPY/USDT,82.84883720930232,3.44e-06,0.000285,2025-10-05,2025-10-22,17
mexc,PTB/USDT,80.0,0.001,0.08,2025-10-10,2025-10-13,3
mexc,PTB/USDT:USDT,79.80749746707194,0.000987,0.07877,2025-10-10,2025-10-13,3
mexc,TCT/USDT,79.68181818181819,0.0022,0.1753,2025-12-04,2025-12-04,0
mexc,GEMS/USDT,77.92207792207792,0.00385,0.3,2025-10-01,2025-10-05,4
mexc,GORK/USDT,77.34761120263592,0.0003642,0.02817,2025-10-01,2025-10-06,5
mexc,SPLD/USDT,76.62835249042145,0.1305,10.0,2025-11-29,2026-02-06,69
mexc,URANUS/USDT,75.88357843137254,0.00816,0.61921,2025-10-10,2025-10-28,18
mexc,OPUL/USDT,75.71428571428572,0.00042,0.0318,2025-10-06,2025-10-09,3
mexc,MYX/USDT,75.58215736816811,0.22889,17.3,2025-10-01,2025-10-01,0
mexc,MYX/USDT:USDT,75.2618006993007,0.2288,17.2199,2025-10-02,2025-10-02,0
mexc,PENGUIN/USDT:USDT,71.9640618470539,0.002393,0.17221,2026-01-24,2026-01-24,0
mexc,ETAN/USDT,68.64010989010988,0.001456,0.09994,2025-10-02,2025-10-02,0
mexc,SACHICOIN/USDT,68.15068493150686,0.000146,0.00995,2025-11-16,2025-11-23,7
mexc,BAS/USDT,67.47898493259318,0.002522,0.170182,2025-10-02,2025-10-17,15
mexc,AVICI/USDT:USDT,67.33739837398375,0.492,33.13,2025-11-14,2025-11-24,10
mexc,BAS/USDT:USDT,67.1878692398582,0.002539,0.17059,2025-10-02,2025-10-17,15
mexc,BEAT/USDT:USDT,65.83016105417276,0.0683,4.4962,2025-11-01,2025-12-22,51
mexc,我踏马来了/USDT,65.13499999999999,0.001,0.065135,2026-01-07,2026-02-01,25
mexc,RICE/USDT,64.12213740458016,0.00262,0.168,2025-10-01,2025-10-05,4
mexc,BDXN/USDT,62.264939406602586,0.002393,0.149,2025-10-10,2025-11-14,35
mexc,RLS/USDT,59.737156511350065,0.003348,0.2,2025-12-01,2025-12-01,0
mexc,BAKE/USDT,59.734702610184,0.0007011,0.04188,2025-10-02,2025-10-02,0
mexc,ROOT/USDT,59.28571428571429,3.5e-05,0.002075,2025-10-01,2025-10-02,1
mexc,MMT/USDT:USDT,59.28352490421455,0.1044,6.1892,2025-11-04,2025-11-04,0
mexc,SDR/USDT,59.07692307692307,1.3e-07,7.68e-06,2025-11-10,2026-01-16,67
mexc,SKR/USDT,58.5392156862745,0.00102,0.05971,2026-01-21,2026-01-22,1
mexc,SUP/USDT,57.795071335927375,0.003084,0.17824,2025-10-01,2025-10-04,3
mexc,BLESS/USDT:USDT,57.17114914425428,0.00409,0.23383,2025-10-10,2025-10-15,5
mexc,BLESS/USDT,56.704517403110344,0.004051,0.22971,2025-10-10,2025-10-15,5
mexc,LITR/USDT,55.41700960219479,7.29e-06,0.00040399,2025-11-20,2025-11-20,0
