symbol,time,vol_z,pc_z,ml_proba,max_gain%,TP
CGPT/USDT:USDT,03/16 00:02,4.14,2.33,0.9036,2.1,False
ARIA/USDT:USDT,03/16 03:43,19.75,2.05,0.9523,21.5,False
KAS/USDT:USDT,03/16 05:51,24.38,1.81,0.8633,28.1,True
AIN/USDT:USDT,03/16 07:19,6.4,2.49,0.9249,117.5,True
BB/USDT:USDT,03/16 11:19,21.02,1.79,0.8734,0.0,False
F/USDT:USDT,03/17 00:21,40.33,1.82,0.8706,16.7,False
POLYX/USDT:USDT,03/17 09:00,30.37,2.46,0.8609,26.3,True
HYPER/USDT:USDT,03/17 10:16,29.42,2.18,0.9228,5.9,False
IDOL/USDT:USDT,03/17 17:52,20.66,1.5,0.9206,15.5,False
MBOX/USDT:USDT,03/17 19:05,20.01,2.68,0.9277,4.6,False
ANKR/USDT:USDT,03/18 00:11,45.34,3.93,0.903,10.1,False
FORTH/USDT:USDT,03/18 09:30,502.16,2.63,0.8705,0.5,False
LRC/USDT:USDT,03/19 09:26,27.29,1.85,0.8988,1.5,False
PLAY/USDT:USDT,03/20 09:21,23.64,1.99,0.8914,4.8,False
BTR/USDT:USDT,03/20 14:28,22.78,2.08,0.9542,23.4,False
AGT/USDT:USDT,03/20 16:04,18.74,2.19,0.8765,5.6,False
ANIME/USDT:USDT,03/21 00:22,21.37,1.73,0.9407,7.7,False
MAGMA/USDT:USDT,03/21 03:07,21.89,2.28,0.8709,0.3,False
BR/USDT:USDT,03/21 06:13,394.45,3.22,0.9761,11.8,False
