bin,vol
"(0.0321, 0.0328]",19355311.0
"(0.0328, 0.0334]",40509660.3
"(0.0334, 0.0341]",41909204.9
"(0.0341, 0.0347]",19994686.3
"(0.0347, 0.0354]",27666921.6
"(0.0354, 0.036]",13411241.6
"(0.0373, 0.038]",38759144.4
"(0.0406, 0.0412]",43430581.4
"(0.0412, 0.0419]",15934794.0
"(0.0419, 0.0425]",38365249.1
"(0.0425, 0.0432]",22631478.9
"(0.0432, 0.0438]",15562757.399999999
"(0.0438, 0.0445]",14080710.4
"(0.0445, 0.0451]",38860588.2
"(0.0451, 0.0458]",16873388.7
"(0.0458, 0.0464]",22048900.6
"(0.0471, 0.0477]",19201366.3
"(0.0477, 0.0484]",20848615.7
"(0.0491, 0.0497]",23297966.3
"(0.0504, 0.051]",21591047.9
"(0.051, 0.0517]",77006558.5
"(0.0517, 0.0523]",88319979.6
"(0.0523, 0.053]",89978461.2
"(0.053, 0.0536]",43455560.6
"(0.0536, 0.0543]",60951228.9
"(0.0543, 0.0549]",7353098.9
"(0.0549, 0.0556]",28435396.799999997
"(0.0556, 0.0562]",14768147.0
"(0.0562, 0.0569]",62215457.7
"(0.0569, 0.0575]",64027727.8
"(0.0575, 0.0582]",55786473.2
"(0.0582, 0.0588]",11568280.6
"(0.0588, 0.0595]",32566408.8
"(0.0595, 0.0601]",17608793.0
"(0.0601, 0.0608]",91103443.69999999
"(0.0614, 0.0621]",30538272.7
"(0.0627, 0.0634]",36555147.1
"(0.0634, 0.064]",34037218.2
