bin,vol
"(0.0119, 0.0121]",30172090.0
"(0.0121, 0.0124]",60433440.0
"(0.0124, 0.0126]",49398918.0
"(0.0126, 0.0128]",122786378.0
"(0.0128, 0.013]",213649225.0
"(0.013, 0.0132]",252209057.0
"(0.0132, 0.0135]",344671164.0
"(0.0135, 0.0137]",117678263.0
"(0.0137, 0.0139]",53811579.0
"(0.0139, 0.0141]",48879233.0
"(0.0141, 0.0143]",23010516.0
"(0.0143, 0.0146]",39654559.0
"(0.0146, 0.0148]",68240837.0
"(0.0148, 0.015]",74471297.0
"(0.015, 0.0152]",45554009.0
"(0.0152, 0.0154]",59432187.0
"(0.0154, 0.0157]",139643022.0
"(0.0157, 0.0159]",231214469.0
"(0.0159, 0.0161]",331301747.0
"(0.0163, 0.0165]",152446401.0
"(0.0165, 0.0168]",287371132.0
"(0.0168, 0.017]",311704413.0
"(0.017, 0.0172]",248904073.0
"(0.0172, 0.0174]",23035028.0
"(0.0174, 0.0177]",42891062.0
"(0.0177, 0.0179]",54677689.0
"(0.0179, 0.0181]",173029010.0
"(0.0181, 0.0183]",227656530.0
"(0.0183, 0.0185]",122146381.0
"(0.0185, 0.0188]",360153590.0
"(0.0188, 0.019]",419332014.0
"(0.019, 0.0192]",135884211.0
"(0.0192, 0.0194]",42811697.0
"(0.0196, 0.0199]",126188388.0
"(0.0199, 0.0201]",466704349.0
"(0.0201, 0.0203]",190688343.0
"(0.0203, 0.0205]",646991353.0
"(0.0205, 0.0207]",307063158.0
"(0.0207, 0.021]",844618627.0
"(0.021, 0.0212]",490999565.0
"(0.0212, 0.0214]",570343666.0
"(0.0214, 0.0216]",873041902.0
"(0.0216, 0.0218]",1089909300.0
"(0.0218, 0.0221]",365833521.0
"(0.0221, 0.0223]",117020655.0
"(0.0223, 0.0225]",267105562.0
