ts,open,high,low,close,vol,bin
1768003200000,0.948,0.954,0.947,0.949,99682.0,"(0.925, 0.951]"
1768003260000,0.949,0.951,0.949,0.95,3551.0,"(0.925, 0.951]"
1768003320000,0.95,0.951,0.95,0.95,3937.0,"(0.925, 0.951]"
1768003380000,0.951,0.952,0.951,0.951,6038.0,"(0.951, 0.977]"
1768003440000,0.95,0.952,0.95,0.95,8304.0,"(0.925, 0.951]"
1768003500000,0.951,0.951,0.949,0.949,11367.0,"(0.925, 0.951]"
1768003560000,0.949,0.949,0.948,0.948,1870.0,"(0.925, 0.951]"
1768003620000,0.949,0.949,0.949,0.949,2342.0,"(0.925, 0.951]"
1768003680000,0.95,0.95,0.948,0.948,7376.0,"(0.925, 0.951]"
1768003740000,0.949,0.949,0.948,0.948,39.0,"(0.925, 0.951]"
1768003800000,0.949,0.949,0.948,0.949,61.0,"(0.925, 0.951]"
1768003860000,0.948,0.949,0.947,0.948,9057.0,"(0.925, 0.951]"
1768003920000,0.948,0.948,0.947,0.947,540.0,"(0.925, 0.951]"
1768003980000,0.947,0.948,0.946,0.946,19744.0,"(0.925, 0.951]"
1768004040000,0.946,0.946,0.946,0.946,783.0,"(0.925, 0.951]"
1768004100000,0.946,0.946,0.945,0.945,5106.0,"(0.925, 0.951]"
1768004160000,0.946,0.946,0.945,0.945,8213.0,"(0.925, 0.951]"
1768004220000,0.945,0.945,0.945,0.945,1177.0,"(0.925, 0.951]"
1768004280000,0.946,0.946,0.946,0.946,199.0,"(0.925, 0.951]"
1768004340000,0.946,0.947,0.945,0.947,4261.0,"(0.925, 0.951]"
1768004400000,0.946,0.947,0.945,0.946,7050.0,"(0.925, 0.951]"
1768004460000,0.946,0.946,0.943,0.943,2070.0,"(0.925, 0.951]"
1768004520000,0.944,0.944,0.943,0.943,4734.0,"(0.925, 0.951]"
1768004580000,0.944,0.945,0.944,0.945,879.0,"(0.925, 0.951]"
1768004640000,0.944,0.945,0.944,0.945,19.0,"(0.925, 0.951]"
1768004700000,0.945,0.945,0.943,0.943,2737.0,"(0.925, 0.951]"
1768004760000,0.944,0.945,0.944,0.945,872.0,"(0.925, 0.951]"
1768004820000,0.945,0.946,0.945,0.946,5352.0,"(0.925, 0.951]"
1768004880000,0.945,0.945,0.944,0.945,5013.0,"(0.925, 0.951]"
1768004940000,0.946,0.946,0.945,0.946,2239.0,"(0.925, 0.951]"
1768005000000,0.947,0.947,0.945,0.945,6750.0,"(0.925, 0.951]"
1768005060000,0.945,0.945,0.945,0.945,0.0,"(0.925, 0.951]"
1768005120000,0.945,0.945,0.945,0.945,29.0,"(0.925, 0.951]"
1768005180000,0.946,0.946,0.946,0.946,191.0,"(0.925, 0.951]"
