bin,vol
"(0.899, 0.925]",4973891.0
"(0.925, 0.951]",5270411.0
"(0.951, 0.977]",11785909.0
"(0.977, 1.002]",2084598.0
"(1.002, 1.028]",3428612.0
"(1.028, 1.054]",24698915.0
"(1.054, 1.08]",23461383.0
"(1.08, 1.106]",24456352.0
"(1.106, 1.132]",36801343.0
"(1.132, 1.157]",24129240.0
"(1.157, 1.183]",24712750.0
"(1.183, 1.209]",25803790.0
"(1.209, 1.235]",40344976.0
"(1.235, 1.261]",72685173.0
"(1.261, 1.287]",79669233.0
"(1.287, 1.312]",53195501.0
"(1.312, 1.338]",16067946.0
"(1.338, 1.364]",10253962.0
"(1.364, 1.39]",26271605.0
"(1.39, 1.416]",10243844.0
"(1.416, 1.442]",4758322.0
"(1.442, 1.467]",9497501.0
"(1.467, 1.493]",12712928.0
"(1.493, 1.519]",42622324.0
"(1.519, 1.545]",21954344.0
"(1.545, 1.571]",7020440.0
"(1.571, 1.597]",7148219.0
"(1.597, 1.623]",27511766.0
"(1.623, 1.648]",41774955.0
"(1.648, 1.674]",18560127.0
"(1.674, 1.7]",5891461.0
"(1.7, 1.726]",4145932.0
"(1.726, 1.752]",12528545.0
"(1.752, 1.778]",2184166.0
"(1.778, 1.803]",2713897.0
"(1.803, 1.829]",14301486.0
"(1.829, 1.855]",18868841.0
"(1.855, 1.881]",8094091.0
"(1.881, 1.907]",38564032.0
"(1.907, 1.933]",31020635.0
"(1.933, 1.958]",21941995.0
"(1.958, 1.984]",6678147.0
"(2.036, 2.062]",19361726.0
"(2.062, 2.088]",22563266.0
"(2.113, 2.139]",7011908.0
"(2.139, 2.165]",17925761.0
"(2.165, 2.191]",2384639.0
