ts,open,high,low,close,vol,bin
1769904000000,0.003502,0.003509,0.0035,0.003501,1407753.0,"(0.00349, 0.00353]"
1769904060000,0.003501,0.003505,0.003501,0.003504,398069.0,"(0.00349, 0.00353]"
1769904120000,0.003504,0.003508,0.003501,0.003506,1153440.0,"(0.00349, 0.00353]"
1769904180000,0.003506,0.003508,0.003505,0.003508,1105870.0,"(0.00349, 0.00353]"
1769904240000,0.003507,0.00351,0.003506,0.003509,240577.0,"(0.00349, 0.00353]"
1769904300000,0.003509,0.003517,0.003509,0.003515,1046509.0,"(0.00349, 0.00353]"
1769904360000,0.003514,0.003519,0.003514,0.003517,318615.0,"(0.00349, 0.00353]"
1769904420000,0.003515,0.00352,0.003515,0.003519,75627.0,"(0.00349, 0.00353]"
1769904480000,0.003519,0.003527,0.003519,0.003527,815194.0,"(0.00349, 0.00353]"
1769904540000,0.003526,0.003543,0.003526,0.003543,876714.0,"(0.00353, 0.00358]"
1769904600000,0.003541,0.003552,0.003541,0.003546,1690316.0,"(0.00353, 0.00358]"
1769904660000,0.003546,0.003547,0.003533,0.003543,2669342.0,"(0.00353, 0.00358]"
1769904720000,0.003543,0.003544,0.003538,0.003538,223806.0,"(0.00353, 0.00358]"
1769904780000,0.003538,0.003548,0.003533,0.003539,1101659.0,"(0.00353, 0.00358]"
1769904840000,0.003539,0.003543,0.003539,0.003543,411685.0,"(0.00353, 0.00358]"
1769904900000,0.003541,0.003542,0.003539,0.003541,259017.0,"(0.00353, 0.00358]"
1769904960000,0.003542,0.003549,0.003541,0.003543,524536.0,"(0.00353, 0.00358]"
1769905020000,0.003542,0.003544,0.003539,0.003544,607592.0,"(0.00353, 0.00358]"
1769905080000,0.003544,0.003545,0.003541,0.003542,294183.0,"(0.00353, 0.00358]"
1769905140000,0.003543,0.00355,0.003542,0.003546,212824.0,"(0.00353, 0.00358]"
1769905200000,0.003545,0.003546,0.003536,0.003536,1201109.0,"(0.00353, 0.00358]"
1769905260000,0.003536,0.003536,0.003532,0.003535,227799.0,"(0.00353, 0.00358]"
1769905320000,0.003536,0.003536,0.00353,0.00353,155947.0,"(0.00349, 0.00353]"
1769905380000,0.003531,0.003532,0.003524,0.003526,2770477.0,"(0.00349, 0.00353]"
1769905440000,0.003526,0.00353,0.003526,0.003529,474489.0,"(0.00349, 0.00353]"
1769905500000,0.003529,0.00353,0.003527,0.003528,152386.0,"(0.00349, 0.00353]"
1769905560000,0.003528,0.003531,0.003528,0.003529,262751.0,"(0.00349, 0.00353]"
1769905620000,0.003526,0.00353,0.003526,0.003529,204592.0,"(0.00349, 0.00353]"
1769905680000,0.003529,0.003532,0.003529,0.003529,172033.0,"(0.00349, 0.00353]"
1769905740000,0.003531,0.003533,0.00353,0.00353,59809.0,"(0.00349, 0.00353]"
1769905800000,0.00353,0.003534,0.00353,0.003533,75918.0,"(0.00349, 0.00353]"
1769905860000,0.003533,0.003533,0.003528,0.003529,98282.0,"(0.00349, 0.00353]"
1769905920000,0.003528,0.003529,0.003513,0.003519,2705161.0,"(0.00349, 0.00353]"
1769905980000,0.003518,0.003519,0.003514,0.003514,167196.0,"(0.00349, 0.00353]"
1769906040000,0.003514,0.003514,0.003512,0.003513,183081.0,"(0.00349, 0.00353]"
1769906100000,0.003514,0.003517,0.003514,0.003517,219950.0,"(0.00349, 0.00353]"
1769906160000,0.003515,0.003515,0.003504,0.003507,385074.0,"(0.00349, 0.00353]"
1769906220000,0.003507,0.003507,0.003503,0.003506,214724.0,"(0.00349, 0.00353]"
1769906280000,0.003506,0.003506,0.003504,0.003505,48119.0,"(0.00349, 0.00353]"
1769906340000,0.003504,0.003507,0.0035,0.003507,1544319.0,"(0.00349, 0.00353]"
1769906400000,0.003507,0.00351,0.003507,0.003508,218322.0,"(0.00349, 0.00353]"
1769906460000,0.003509,0.003514,0.003509,0.003514,166799.0,"(0.00349, 0.00353]"
1769906520000,0.003513,0.003515,0.003513,0.003515,151563.0,"(0.00349, 0.00353]"
1769906580000,0.003515,0.003518,0.00351,0.003513,1506877.0,"(0.00349, 0.00353]"
1769906640000,0.003511,0.003511,0.003511,0.003511,6551.0,"(0.00349, 0.00353]"
1769906700000,0.003511,0.003517,0.003506,0.003514,307529.0,"(0.00349, 0.00353]"
1769906760000,0.003514,0.003514,0.00351,0.003513,296371.0,"(0.00349, 0.00353]"
1769906820000,0.003513,0.003519,0.003512,0.003519,243854.0,"(0.00349, 0.00353]"
1769906880000,0.003518,0.003518,0.003516,0.003516,78041.0,"(0.00349, 0.00353]"
1769906940000,0.003516,0.003519,0.003514,0.003517,152430.0,"(0.00349, 0.00353]"
1769907000000,0.003517,0.003525,0.003517,0.003524,259725.0,"(0.00349, 0.00353]"
1769907060000,0.003524,0.00353,0.00352,0.003529,155552.0,"(0.00349, 0.00353]"
1769907120000,0.00353,0.003538,0.003527,0.003533,403639.0,"(0.00349, 0.00353]"
1769907180000,0.003534,0.003539,0.003532,0.003539,355728.0,"(0.00353, 0.00358]"
1769907240000,0.003538,0.003541,0.003537,0.003541,307074.0,"(0.00353, 0.00358]"
1769907300000,0.003539,0.003543,0.003537,0.00354,417116.0,"(0.00353, 0.00358]"
1769907360000,0.00354,0.003556,0.00354,0.003547,970475.0,"(0.00353, 0.00358]"
1769907420000,0.003546,0.003556,0.003546,0.003555,450511.0,"(0.00353, 0.00358]"
1769907480000,0.003555,0.003555,0.003549,0.003549,319367.0,"(0.00353, 0.00358]"
1769907540000,0.003549,0.003551,0.003547,0.00355,251434.0,"(0.00353, 0.00358]"
1769907600000,0.00355,0.003556,0.003549,0.003555,993316.0,"(0.00353, 0.00358]"
1769907660000,0.003555,0.003556,0.003545,0.003549,372083.0,"(0.00353, 0.00358]"
1769907720000,0.003549,0.003553,0.003548,0.00355,607675.0,"(0.00353, 0.00358]"
1769907780000,0.003549,0.003551,0.003542,0.003544,1042002.0,"(0.00353, 0.00358]"
1769907840000,0.003544,0.003548,0.003543,0.003543,470601.0,"(0.00353, 0.00358]"
1769907900000,0.003546,0.003549,0.003534,0.003536,477956.0,"(0.00353, 0.00358]"
1769907960000,0.003535,0.003541,0.003534,0.003538,610604.0,"(0.00353, 0.00358]"
1769908020000,0.003539,0.00354,0.003534,0.00354,340129.0,"(0.00353, 0.00358]"
1769908080000,0.003538,0.00354,0.003534,0.003538,356347.0,"(0.00353, 0.00358]"
1769908140000,0.00354,0.003546,0.003538,0.003544,299855.0,"(0.00353, 0.00358]"
1769908200000,0.003545,0.003546,0.003541,0.003541,291458.0,"(0.00353, 0.00358]"
1769908260000,0.003542,0.003555,0.003541,0.003555,1298053.0,"(0.00353, 0.00358]"
1769908320000,0.003554,0.003555,0.003548,0.00355,361879.0,"(0.00353, 0.00358]"
1769908380000,0.003548,0.003551,0.003546,0.003547,384313.0,"(0.00353, 0.00358]"
1769908440000,0.003547,0.003547,0.003543,0.003544,359920.0,"(0.00353, 0.00358]"
1769908500000,0.003545,0.003547,0.003538,0.003539,276950.0,"(0.00353, 0.00358]"
1769908560000,0.003539,0.00354,0.003532,0.003532,369509.0,"(0.00353, 0.00358]"
1769908620000,0.003532,0.003535,0.003528,0.003528,215028.0,"(0.00349, 0.00353]"
1769908680000,0.00353,0.003538,0.003527,0.003533,1031702.0,"(0.00349, 0.00353]"
1769908740000,0.003538,0.003538,0.003529,0.003529,526191.0,"(0.00349, 0.00353]"
1769908800000,0.003529,0.003534,0.003528,0.003532,233921.0,"(0.00349, 0.00353]"
1769908860000,0.003531,0.003534,0.00353,0.003534,159394.0,"(0.00349, 0.00353]"
1769908920000,0.003535,0.003543,0.003533,0.003542,642245.0,"(0.00353, 0.00358]"
1769908980000,0.003541,0.003546,0.003539,0.003546,462887.0,"(0.00353, 0.00358]"
1769909040000,0.003545,0.003548,0.00354,0.003543,197295.0,"(0.00353, 0.00358]"
1769909100000,0.003545,0.003545,0.003539,0.003544,159135.0,"(0.00353, 0.00358]"
1769909160000,0.003543,0.003543,0.003538,0.003539,134149.0,"(0.00353, 0.00358]"
1769909220000,0.003541,0.003546,0.003539,0.003544,343276.0,"(0.00353, 0.00358]"
1769909280000,0.003546,0.003549,0.003544,0.003549,158679.0,"(0.00353, 0.00358]"
1769909340000,0.003548,0.003551,0.003548,0.003548,178071.0,"(0.00353, 0.00358]"
1769909400000,0.003548,0.003549,0.003545,0.003548,169973.0,"(0.00353, 0.00358]"
1769909460000,0.003548,0.00355,0.003542,0.003542,483405.0,"(0.00353, 0.00358]"
1769909520000,0.003543,0.003544,0.003535,0.003537,327347.0,"(0.00353, 0.00358]"
1769909580000,0.003537,0.003539,0.003532,0.003532,289829.0,"(0.00353, 0.00358]"
1769909640000,0.003534,0.003542,0.003533,0.003536,658184.0,"(0.00353, 0.00358]"
1769909700000,0.003539,0.00354,0.003535,0.003536,196139.0,"(0.00353, 0.00358]"
1769909760000,0.003537,0.003541,0.003536,0.00354,233962.0,"(0.00353, 0.00358]"
1769909820000,0.00354,0.003543,0.00354,0.00354,403009.0,"(0.00353, 0.00358]"
1769909880000,0.00354,0.003544,0.003537,0.003537,478091.0,"(0.00353, 0.00358]"
1769909940000,0.003536,0.003538,0.003534,0.003537,203369.0,"(0.00353, 0.00358]"
1769910000000,0.003538,0.003539,0.003536,0.003538,182674.0,"(0.00353, 0.00358]"
