bin,vol
"(0.00278, 0.00283]",45669887.0
"(0.00283, 0.00287]",170150263.0
"(0.00287, 0.00292]",425046596.0
"(0.00292, 0.00296]",202286901.0
"(0.00296, 0.003]",244749219.0
"(0.003, 0.00305]",242674593.0
"(0.00305, 0.00309]",293344799.0
"(0.00309, 0.00314]",412675646.0
"(0.00314, 0.00318]",559464660.0
"(0.00318, 0.00322]",581858110.0
"(0.00322, 0.00327]",349600697.0
"(0.00327, 0.00331]",219738917.0
"(0.00331, 0.00336]",135478419.0
"(0.00336, 0.0034]",536198463.0
"(0.0034, 0.00345]",1075621566.0
"(0.00345, 0.00349]",1522105058.0
"(0.00349, 0.00353]",1263901246.0
"(0.00353, 0.00358]",2493787166.0
"(0.00358, 0.00362]",1579572096.0
"(0.00362, 0.00367]",1154443608.0
"(0.00367, 0.00371]",1651022231.0
"(0.00371, 0.00376]",1213458357.0
"(0.00376, 0.0038]",764693439.0
"(0.0038, 0.00384]",702820804.0
"(0.00384, 0.00389]",1811501361.0
"(0.00389, 0.00393]",2168931673.0
"(0.00393, 0.00398]",3262914707.0
"(0.00398, 0.00402]",1732445184.0
"(0.00402, 0.00406]",1315321198.0
"(0.00406, 0.00411]",260986087.0
"(0.00411, 0.00415]",432666409.0
"(0.00415, 0.0042]",335374940.0
"(0.0042, 0.00424]",1311556903.0
"(0.00424, 0.00429]",752319915.0
"(0.00429, 0.00433]",204095348.0
"(0.00433, 0.00437]",1214799159.0
"(0.00437, 0.00442]",854615079.0
"(0.00442, 0.00446]",703295410.0
"(0.00446, 0.00451]",1848008753.0
"(0.00451, 0.00455]",2039359674.0
"(0.00455, 0.0046]",1308495692.0
"(0.0046, 0.00464]",388456300.0
"(0.00464, 0.00468]",156322648.0
"(0.00468, 0.00473]",723204822.0
"(0.00473, 0.00477]",1069820815.0
"(0.00477, 0.00482]",1006713632.0
"(0.00482, 0.00486]",1028045410.0
