ts,open,high,low,close,vol,bin
1767830400000,0.8043,0.8044,0.8037,0.8038,7891.0,"(0.8, 0.81]"
1767830460000,0.8038,0.8047,0.8038,0.8047,3235.0,"(0.8, 0.81]"
1767830520000,0.8047,0.8063,0.8047,0.8057,17189.0,"(0.8, 0.81]"
1767830580000,0.8055,0.8055,0.8053,0.8053,174.0,"(0.8, 0.81]"
1767830640000,0.8054,0.8055,0.805,0.8052,1855.0,"(0.8, 0.81]"
1767830700000,0.8053,0.8055,0.8051,0.8051,2227.0,"(0.8, 0.81]"
1767830760000,0.8052,0.8057,0.8051,0.8055,495.0,"(0.8, 0.81]"
1767830820000,0.8056,0.8058,0.8056,0.8058,1242.0,"(0.8, 0.81]"
1767830880000,0.8057,0.8057,0.8049,0.8049,829.0,"(0.8, 0.81]"
1767830940000,0.8049,0.8052,0.8047,0.8052,1456.0,"(0.8, 0.81]"
1767831000000,0.8052,0.8053,0.8052,0.8053,376.0,"(0.8, 0.81]"
1767831060000,0.8054,0.8054,0.8045,0.8046,5711.0,"(0.8, 0.81]"
1767831120000,0.8045,0.8046,0.8044,0.8045,210.0,"(0.8, 0.81]"
1767831180000,0.8045,0.8045,0.8042,0.8042,2196.0,"(0.8, 0.81]"
1767831240000,0.8042,0.8042,0.804,0.804,680.0,"(0.8, 0.81]"
1767831300000,0.804,0.804,0.8028,0.8028,1392.0,"(0.8, 0.81]"
1767831360000,0.803,0.8034,0.803,0.8032,3438.0,"(0.8, 0.81]"
1767831420000,0.8032,0.8034,0.8031,0.8031,1542.0,"(0.8, 0.81]"
1767831480000,0.8031,0.8031,0.8028,0.8029,1027.0,"(0.8, 0.81]"
1767831540000,0.8028,0.8028,0.8026,0.8026,484.0,"(0.8, 0.81]"
1767831600000,0.8027,0.803,0.8026,0.8028,896.0,"(0.8, 0.81]"
1767831660000,0.8028,0.803,0.8014,0.8014,4680.0,"(0.8, 0.81]"
1767831720000,0.8017,0.8017,0.8006,0.8008,15348.0,"(0.8, 0.81]"
1767831780000,0.8008,0.8013,0.8006,0.8013,1704.0,"(0.8, 0.81]"
1767831840000,0.8013,0.8022,0.8013,0.8018,3159.0,"(0.8, 0.81]"
1767831900000,0.8021,0.8022,0.8013,0.8013,2028.0,"(0.8, 0.81]"
1767831960000,0.8013,0.8014,0.8012,0.8013,491.0,"(0.8, 0.81]"
1767832020000,0.8013,0.8015,0.8008,0.8008,1180.0,"(0.8, 0.81]"
1767832080000,0.8008,0.8013,0.8008,0.8011,1436.0,"(0.8, 0.81]"
1767832140000,0.8013,0.8019,0.8011,0.8012,4059.0,"(0.8, 0.81]"
1767832200000,0.8012,0.8017,0.8012,0.8014,1331.0,"(0.8, 0.81]"
1767832260000,0.8014,0.8014,0.8011,0.8011,2971.0,"(0.8, 0.81]"
1767832320000,0.8013,0.8017,0.8013,0.8014,2228.0,"(0.8, 0.81]"
