bin,vol
"(0.542, 0.552]",3810371.0
"(0.552, 0.562]",2487394.0
"(0.562, 0.572]",2980884.0
"(0.572, 0.582]",7441945.0
"(0.591, 0.601]",2659940.0
"(0.601, 0.611]",25738760.0
"(0.611, 0.621]",19710568.0
"(0.621, 0.631]",9463070.0
"(0.631, 0.641]",7324157.0
"(0.641, 0.651]",9410650.0
"(0.651, 0.661]",7012187.0
"(0.661, 0.671]",3461373.0
"(0.671, 0.681]",10605665.0
"(0.681, 0.691]",33104376.0
"(0.701, 0.711]",1195909.0
"(0.721, 0.731]",4077446.0
"(0.731, 0.741]",3076878.0
"(0.741, 0.751]",9434165.0
"(0.751, 0.761]",8831603.0
"(0.761, 0.771]",9150794.0
"(0.771, 0.78]",11643379.0
"(0.78, 0.79]",16821299.0
"(0.79, 0.8]",21191810.0
"(0.8, 0.81]",17189151.0
"(0.81, 0.82]",5987807.0
"(0.82, 0.83]",7075926.0
"(0.83, 0.84]",5789930.0
"(0.84, 0.85]",5050277.0
"(0.85, 0.86]",4016237.0
"(0.86, 0.87]",6539981.0
"(0.87, 0.88]",8553071.0
"(0.88, 0.89]",7847381.0
"(0.89, 0.9]",3402052.0
"(0.9, 0.91]",10683094.0
"(0.91, 0.92]",5293296.0
"(0.92, 0.93]",2244112.0
"(0.93, 0.94]",2063394.0
