ts,open,high,low,close,vol,bin
1767139200000,0.4286,0.4292,0.4281,0.4287,13370.0,"(0.426, 0.431]"
1767139260000,0.4291,0.4292,0.4279,0.4279,10449.0,"(0.426, 0.431]"
1767139320000,0.4281,0.4281,0.4259,0.4259,28141.0,"(0.426, 0.431]"
1767139380000,0.426,0.4262,0.425,0.4252,19924.0,"(0.421, 0.426]"
1767139440000,0.4251,0.4263,0.4245,0.4258,37691.0,"(0.421, 0.426]"
1767139500000,0.426,0.4269,0.4259,0.4264,11251.0,"(0.426, 0.431]"
1767139560000,0.4267,0.4267,0.4248,0.4248,26836.0,"(0.421, 0.426]"
1767139620000,0.4248,0.4251,0.4241,0.4241,8635.0,"(0.421, 0.426]"
1767139680000,0.4241,0.4258,0.4241,0.4254,14689.0,"(0.421, 0.426]"
1767139740000,0.4256,0.4257,0.4242,0.4244,8811.0,"(0.421, 0.426]"
1767139800000,0.4242,0.4245,0.4235,0.4236,13019.0,"(0.421, 0.426]"
1767139860000,0.424,0.4246,0.4225,0.4229,31583.0,"(0.421, 0.426]"
1767139920000,0.4229,0.4245,0.4229,0.4229,11202.0,"(0.421, 0.426]"
1767139980000,0.4231,0.4234,0.422,0.4223,34362.0,"(0.421, 0.426]"
1767140040000,0.4224,0.4225,0.4212,0.4218,22840.0,"(0.421, 0.426]"
1767140100000,0.422,0.4229,0.4205,0.4205,35075.0,"(0.417, 0.421]"
1767140160000,0.4208,0.4233,0.4202,0.4229,75031.0,"(0.421, 0.426]"
1767140220000,0.423,0.423,0.4216,0.4216,9634.0,"(0.421, 0.426]"
1767140280000,0.4217,0.4228,0.4215,0.4222,8563.0,"(0.421, 0.426]"
1767140340000,0.4222,0.424,0.4221,0.424,27058.0,"(0.421, 0.426]"
1767140400000,0.424,0.4246,0.4233,0.4245,15249.0,"(0.421, 0.426]"
1767140460000,0.4245,0.4249,0.4237,0.4238,18017.0,"(0.421, 0.426]"
1767140520000,0.4237,0.4244,0.4237,0.4237,16275.0,"(0.421, 0.426]"
1767140580000,0.4237,0.4249,0.4237,0.4243,22639.0,"(0.421, 0.426]"
1767140640000,0.4243,0.4278,0.4243,0.427,42754.0,"(0.421, 0.426]"
1767140700000,0.4269,0.4275,0.4251,0.4253,27699.0,"(0.426, 0.431]"
1767140760000,0.4252,0.4253,0.4246,0.425,11622.0,"(0.421, 0.426]"
1767140820000,0.4247,0.425,0.4246,0.4249,2640.0,"(0.421, 0.426]"
1767140880000,0.4248,0.425,0.4233,0.4233,16921.0,"(0.421, 0.426]"
1767140940000,0.4233,0.4234,0.4221,0.4222,18866.0,"(0.421, 0.426]"
1767141000000,0.4223,0.4228,0.4211,0.4211,17107.0,"(0.421, 0.426]"
1767141060000,0.4215,0.4231,0.4211,0.4228,6625.0,"(0.421, 0.426]"
1767141120000,0.4229,0.4229,0.4211,0.4211,9236.0,"(0.421, 0.426]"
1767141180000,0.4211,0.423,0.4211,0.4226,11863.0,"(0.421, 0.426]"
1767141240000,0.4229,0.4235,0.4222,0.4227,21994.0,"(0.421, 0.426]"
1767141300000,0.4231,0.4231,0.4221,0.4221,5288.0,"(0.421, 0.426]"
1767141360000,0.4222,0.4224,0.4211,0.4223,15860.0,"(0.421, 0.426]"
1767141420000,0.4219,0.4232,0.4219,0.4227,16229.0,"(0.421, 0.426]"
1767141480000,0.4223,0.4244,0.4222,0.4236,21722.0,"(0.421, 0.426]"
1767141540000,0.4236,0.4247,0.4234,0.4246,17530.0,"(0.421, 0.426]"
1767141600000,0.4243,0.4247,0.4233,0.4234,9005.0,"(0.421, 0.426]"
1767141660000,0.4235,0.424,0.422,0.422,11828.0,"(0.421, 0.426]"
1767141720000,0.4219,0.424,0.4219,0.4236,15268.0,"(0.421, 0.426]"
1767141780000,0.4239,0.4239,0.4233,0.4233,4353.0,"(0.421, 0.426]"
1767141840000,0.4235,0.4245,0.4224,0.4224,12182.0,"(0.421, 0.426]"
1767141900000,0.4228,0.4232,0.4223,0.4223,9802.0,"(0.421, 0.426]"
