bin,vol
"(0.315, 0.32]",5715835.0
"(0.32, 0.324]",14994018.0
"(0.324, 0.329]",24831076.0
"(0.329, 0.334]",71672949.0
"(0.334, 0.338]",63955153.0
"(0.338, 0.343]",65876325.0
"(0.343, 0.347]",74410177.0
"(0.347, 0.352]",55044032.0
"(0.352, 0.357]",36537494.0
"(0.357, 0.361]",58859306.0
"(0.361, 0.366]",25275260.0
"(0.366, 0.371]",51472634.0
"(0.371, 0.375]",57252597.0
"(0.375, 0.38]",97629646.0
"(0.38, 0.384]",119272415.0
"(0.384, 0.389]",83417774.0
"(0.389, 0.394]",43385874.0
"(0.394, 0.398]",51158207.0
"(0.398, 0.403]",61320585.0
"(0.403, 0.408]",91230839.0
"(0.408, 0.412]",68681397.0
"(0.412, 0.417]",116458377.0
"(0.417, 0.421]",62382248.0
"(0.421, 0.426]",52513423.0
"(0.426, 0.431]",23762933.0
"(0.431, 0.435]",33144692.0
"(0.435, 0.44]",45031516.0
"(0.44, 0.445]",83157740.0
"(0.445, 0.449]",46713869.0
"(0.449, 0.454]",32462657.0
"(0.454, 0.458]",10867176.0
"(0.458, 0.463]",28198532.0
"(0.463, 0.468]",81165402.0
"(0.468, 0.472]",124851756.0
"(0.472, 0.477]",132601519.0
"(0.477, 0.482]",148455902.0
"(0.482, 0.486]",113303311.0
"(0.486, 0.491]",118892635.0
"(0.491, 0.495]",221100483.0
"(0.495, 0.5]",156300614.0
"(0.5, 0.505]",187976062.0
"(0.505, 0.509]",140897402.0
"(0.509, 0.514]",202620244.0
"(0.514, 0.519]",121256184.0
"(0.519, 0.523]",72724761.0
"(0.523, 0.528]",56119847.0
"(0.528, 0.533]",54907716.0
"(0.533, 0.537]",5215215.0
