bin,vol
"(0.012, 0.0135]",506151096.0
"(0.0135, 0.0151]",230813433.0
"(0.0151, 0.0167]",538054294.0
"(0.0167, 0.0183]",5406515531.0
"(0.0183, 0.0199]",7514376023.0
"(0.0199, 0.0214]",8390815995.0
"(0.0214, 0.023]",6250598994.0
"(0.023, 0.0246]",2738603588.0
"(0.0246, 0.0262]",705080531.0
"(0.0262, 0.0278]",2728711845.0
"(0.0278, 0.0293]",6305406691.0
"(0.0293, 0.0309]",8060185055.0
"(0.0309, 0.0325]",4991949143.0
"(0.0325, 0.0341]",1062896691.0
"(0.0341, 0.0357]",394078678.0
"(0.0357, 0.0372]",246503848.0
"(0.0372, 0.0388]",317220923.0
"(0.0388, 0.0404]",96771030.0
"(0.0404, 0.042]",47146257.0
"(0.042, 0.0436]",292030336.0
"(0.0436, 0.0451]",32594472.0
"(0.0499, 0.0515]",114630294.0
"(0.0578, 0.0594]",144924191.0
"(0.0594, 0.0609]",112285680.0
"(0.0609, 0.0625]",68027221.0
"(0.0625, 0.0641]",98295493.0
"(0.0657, 0.0673]",69436025.0
"(0.0673, 0.0688]",72955577.0
"(0.0688, 0.0704]",133745871.0
"(0.0704, 0.072]",45144822.0
"(0.072, 0.0736]",151653473.0
"(0.0736, 0.0752]",56733574.0
"(0.0752, 0.0767]",203295108.0
"(0.0767, 0.0783]",63967594.0
"(0.0799, 0.0815]",59778512.0
