bin,vol
"(0.0175, 0.0176]",2659168.0
"(0.0176, 0.0177]",8776346.0
"(0.0177, 0.0178]",5859615.0
"(0.0178, 0.0179]",37404046.0
"(0.0179, 0.018]",5518501.0
"(0.018, 0.0182]",5374946.0
"(0.0182, 0.0183]",413451.0
"(0.0183, 0.0184]",495471.0
"(0.0184, 0.0185]",3615564.0
"(0.0185, 0.0186]",1752757.0
"(0.0186, 0.0187]",10962389.0
"(0.0187, 0.0188]",11478942.0
"(0.0188, 0.0189]",21789872.0
"(0.0189, 0.019]",61582669.0
"(0.019, 0.0191]",35664209.0
"(0.0191, 0.0192]",31252672.0
"(0.0192, 0.0193]",29027955.0
"(0.0193, 0.0194]",34613805.0
"(0.0194, 0.0195]",36227466.0
"(0.0195, 0.0196]",13710009.0
"(0.0196, 0.0197]",6752107.0
"(0.0197, 0.0198]",4766267.0
"(0.0198, 0.02]",8204892.0
"(0.02, 0.0201]",5116961.0
"(0.0201, 0.0202]",12073299.0
"(0.0202, 0.0203]",7455256.0
"(0.0203, 0.0204]",22813562.0
"(0.0204, 0.0205]",25534572.0
"(0.0205, 0.0206]",7588207.0
"(0.0206, 0.0207]",4398224.0
"(0.0207, 0.0208]",31043839.0
"(0.0208, 0.0209]",18674886.0
"(0.0209, 0.021]",23873364.0
"(0.021, 0.0211]",34257076.0
"(0.0211, 0.0212]",34225763.0
"(0.0212, 0.0213]",26511222.0
"(0.0213, 0.0214]",30194937.0
"(0.0214, 0.0215]",29139384.0
"(0.0215, 0.0217]",19488832.0
"(0.0217, 0.0218]",1827067.0
"(0.0218, 0.0219]",2193152.0
"(0.0219, 0.022]",5494627.0
"(0.022, 0.0221]",6294692.0
"(0.0221, 0.0222]",6694559.0
"(0.0222, 0.0223]",11988208.0
"(0.0223, 0.0224]",11416651.0
"(0.0224, 0.0225]",1246662.0
