ts,open,high,low,close,vol,bin
1769472000000,0.02934,0.02935,0.02931,0.02934,25804.0,"(0.0292, 0.0295]"
1769472060000,0.02933,0.02933,0.0293,0.02931,33521.0,"(0.0292, 0.0295]"
1769472120000,0.02931,0.02937,0.02931,0.02935,14930.0,"(0.0292, 0.0295]"
1769472180000,0.02935,0.02939,0.02935,0.02939,6559.0,"(0.0292, 0.0295]"
1769472240000,0.02935,0.02937,0.0293,0.0293,72527.0,"(0.0292, 0.0295]"
1769472300000,0.02932,0.02932,0.02928,0.02928,35611.0,"(0.0292, 0.0295]"
1769472360000,0.02929,0.02932,0.02928,0.02932,23270.0,"(0.0292, 0.0295]"
1769472420000,0.02932,0.02935,0.02932,0.02935,3423.0,"(0.0292, 0.0295]"
1769472480000,0.02936,0.02938,0.02936,0.02938,6195.0,"(0.0292, 0.0295]"
1769472540000,0.02936,0.02938,0.02935,0.02938,3806.0,"(0.0292, 0.0295]"
1769472600000,0.02938,0.0294,0.02938,0.02938,7718.0,"(0.0292, 0.0295]"
1769472660000,0.02937,0.02939,0.02936,0.02936,9413.0,"(0.0292, 0.0295]"
1769472720000,0.02937,0.02939,0.02936,0.02936,55698.0,"(0.0292, 0.0295]"
1769472780000,0.02937,0.02937,0.02934,0.02935,1757.0,"(0.0292, 0.0295]"
1769472840000,0.02936,0.02936,0.02932,0.02932,3895.0,"(0.0292, 0.0295]"
1769472900000,0.02932,0.02932,0.0293,0.0293,7879.0,"(0.0292, 0.0295]"
1769472960000,0.02932,0.02934,0.02931,0.02931,7505.0,"(0.0292, 0.0295]"
1769473020000,0.02932,0.02934,0.02932,0.02934,1288.0,"(0.0292, 0.0295]"
1769473080000,0.02934,0.02934,0.02934,0.02934,445.0,"(0.0292, 0.0295]"
1769473140000,0.02934,0.02934,0.02931,0.02931,6984.0,"(0.0292, 0.0295]"
1769473200000,0.02931,0.02931,0.0293,0.0293,4063.0,"(0.0292, 0.0295]"
1769473260000,0.0293,0.0293,0.02927,0.02927,3619.0,"(0.0292, 0.0295]"
1769473320000,0.02929,0.02929,0.02927,0.02929,1995.0,"(0.0292, 0.0295]"
1769473380000,0.02929,0.02929,0.02928,0.02929,5237.0,"(0.0292, 0.0295]"
1769473440000,0.02931,0.02931,0.02931,0.02931,765.0,"(0.0292, 0.0295]"
1769473500000,0.02932,0.02934,0.02932,0.02932,9521.0,"(0.0292, 0.0295]"
1769473560000,0.0293,0.02931,0.02929,0.0293,5056.0,"(0.0292, 0.0295]"
1769473620000,0.02928,0.0293,0.02927,0.02928,2637.0,"(0.0292, 0.0295]"
1769473680000,0.0293,0.0293,0.02928,0.02928,822.0,"(0.0292, 0.0295]"
1769473740000,0.02928,0.02928,0.02928,0.02928,1289.0,"(0.0292, 0.0295]"
1769473800000,0.02928,0.02928,0.02926,0.02926,1630.0,"(0.0292, 0.0295]"
1769473860000,0.02926,0.02928,0.02923,0.02924,13101.0,"(0.0292, 0.0295]"
1769473920000,0.02927,0.02927,0.02926,0.02926,1021.0,"(0.0292, 0.0295]"
1769473980000,0.02924,0.02924,0.02923,0.02923,1519.0,"(0.0292, 0.0295]"
1769474040000,0.02925,0.02926,0.02923,0.02923,5580.0,"(0.0292, 0.0295]"
1769474100000,0.02924,0.02925,0.02923,0.02923,4865.0,"(0.0292, 0.0295]"
1769474160000,0.02923,0.02924,0.0292,0.02924,27615.0,"(0.0292, 0.0295]"
1769474220000,0.02923,0.02925,0.02922,0.02922,4715.0,"(0.0292, 0.0295]"
1769474280000,0.02922,0.02923,0.02922,0.02923,1124.0,"(0.0292, 0.0295]"
1769474340000,0.02925,0.02926,0.02925,0.02926,5899.0,"(0.0292, 0.0295]"
1769474400000,0.02929,0.02929,0.02929,0.02929,3543.0,"(0.0292, 0.0295]"
1769474460000,0.0293,0.02931,0.02928,0.02931,2528.0,"(0.0292, 0.0295]"
1769474520000,0.02931,0.02931,0.02929,0.0293,2150.0,"(0.0292, 0.0295]"
1769474580000,0.0293,0.0293,0.02928,0.02929,1450.0,"(0.0292, 0.0295]"
1769474640000,0.02931,0.02931,0.0293,0.02931,10826.0,"(0.0292, 0.0295]"
1769474700000,0.02931,0.02931,0.02925,0.02925,61709.0,"(0.0292, 0.0295]"
1769474760000,0.02927,0.02929,0.02925,0.02929,20541.0,"(0.0292, 0.0295]"
1769474820000,0.02928,0.0293,0.02927,0.0293,8807.0,"(0.0292, 0.0295]"
1769474880000,0.02929,0.0293,0.02927,0.0293,6661.0,"(0.0292, 0.0295]"
1769474940000,0.0293,0.0293,0.02928,0.02929,2689.0,"(0.0292, 0.0295]"
1769475000000,0.0293,0.02931,0.02929,0.02931,6218.0,"(0.0292, 0.0295]"
1769475060000,0.02928,0.0293,0.02927,0.0293,5358.0,"(0.0292, 0.0295]"
1769475120000,0.02927,0.02931,0.02927,0.02929,2836.0,"(0.0292, 0.0295]"
1769475180000,0.02929,0.02932,0.02929,0.0293,8883.0,"(0.0292, 0.0295]"
1769475240000,0.02931,0.02931,0.02929,0.02929,2473.0,"(0.0292, 0.0295]"
1769475300000,0.02927,0.02927,0.02926,0.02926,3683.0,"(0.0292, 0.0295]"
1769475360000,0.02925,0.02926,0.02924,0.02924,1772.0,"(0.0292, 0.0295]"
1769475420000,0.02924,0.02925,0.02924,0.02924,2219.0,"(0.0292, 0.0295]"
1769475480000,0.02925,0.02927,0.02924,0.02927,1173.0,"(0.0292, 0.0295]"
1769475540000,0.02927,0.02927,0.02927,0.02927,508.0,"(0.0292, 0.0295]"
1769475600000,0.02924,0.02926,0.02924,0.02924,8426.0,"(0.0292, 0.0295]"
1769475660000,0.02925,0.02926,0.02921,0.02921,30512.0,"(0.0292, 0.0295]"
1769475720000,0.02921,0.02924,0.02918,0.02918,33582.0,"(0.0292, 0.0295]"
1769475780000,0.02919,0.02928,0.02918,0.02924,52743.0,"(0.0292, 0.0295]"
1769475840000,0.02925,0.02925,0.02924,0.02924,2702.0,"(0.0292, 0.0295]"
1769475900000,0.02925,0.02926,0.02925,0.02925,4738.0,"(0.0292, 0.0295]"
1769475960000,0.02925,0.02927,0.02925,0.02927,23232.0,"(0.0292, 0.0295]"
1769476020000,0.02924,0.02926,0.02924,0.02925,3380.0,"(0.0292, 0.0295]"
1769476080000,0.02926,0.02927,0.02925,0.02927,5514.0,"(0.0292, 0.0295]"
1769476140000,0.02926,0.02926,0.02922,0.02922,13540.0,"(0.0292, 0.0295]"
1769476200000,0.02924,0.02925,0.02924,0.02925,7724.0,"(0.0292, 0.0295]"
1769476260000,0.02925,0.02925,0.02923,0.02923,22410.0,"(0.0292, 0.0295]"
1769476320000,0.02925,0.02925,0.02923,0.02923,1639.0,"(0.0292, 0.0295]"
1769476380000,0.02924,0.02924,0.02922,0.02922,685.0,"(0.0292, 0.0295]"
1769476440000,0.02923,0.02923,0.02922,0.02922,602.0,"(0.0292, 0.0295]"
1769476500000,0.02921,0.02921,0.02921,0.02921,203.0,"(0.0292, 0.0295]"
1769476560000,0.02922,0.02923,0.02921,0.02921,6947.0,"(0.0292, 0.0295]"
1769476620000,0.02923,0.02924,0.02922,0.02924,4099.0,"(0.0292, 0.0295]"
1769476680000,0.02922,0.02924,0.02922,0.02924,1599.0,"(0.0292, 0.0295]"
1769476740000,0.02924,0.02924,0.02922,0.02922,1146.0,"(0.0292, 0.0295]"
1769476800000,0.02922,0.02927,0.02922,0.02925,3627.0,"(0.0292, 0.0295]"
1769476860000,0.02926,0.02926,0.02923,0.02923,1740.0,"(0.0292, 0.0295]"
1769476920000,0.02923,0.02928,0.02923,0.02928,9717.0,"(0.0292, 0.0295]"
1769476980000,0.02925,0.02925,0.02924,0.02924,2517.0,"(0.0292, 0.0295]"
1769477040000,0.02925,0.02929,0.02925,0.02927,11999.0,"(0.0292, 0.0295]"
1769477100000,0.02926,0.02926,0.02926,0.02926,326.0,"(0.0292, 0.0295]"
1769477160000,0.02927,0.02927,0.02926,0.02926,2042.0,"(0.0292, 0.0295]"
1769477220000,0.02926,0.02931,0.02926,0.02931,15725.0,"(0.0292, 0.0295]"
1769477280000,0.02928,0.02928,0.02928,0.02928,303.0,"(0.0292, 0.0295]"
1769477340000,0.02927,0.02934,0.02927,0.02934,3231.0,"(0.0292, 0.0295]"
1769477400000,0.0293,0.02932,0.0293,0.0293,805.0,"(0.0292, 0.0295]"
1769477460000,0.0293,0.02931,0.0293,0.02931,1816.0,"(0.0292, 0.0295]"
