bin,vol
"(0.0172, 0.0175]",4851678.0
"(0.0175, 0.0178]",17957210.0
"(0.0178, 0.0182]",22261604.0
"(0.0182, 0.0185]",17890707.0
"(0.0185, 0.0188]",37023644.0
"(0.0188, 0.0191]",42402984.0
"(0.0191, 0.0195]",33595021.0
"(0.0195, 0.0198]",27031885.0
"(0.0198, 0.0201]",20419998.0
"(0.0201, 0.0204]",25233780.0
"(0.0204, 0.0207]",24278447.0
"(0.0207, 0.0211]",22256837.0
"(0.0211, 0.0214]",27946295.0
"(0.0214, 0.0217]",27718128.0
"(0.0217, 0.022]",33848232.0
"(0.022, 0.0224]",25233237.0
"(0.0224, 0.0227]",61088065.0
"(0.0227, 0.023]",36891660.0
"(0.023, 0.0233]",43192700.0
"(0.0233, 0.0237]",51443537.0
"(0.0237, 0.024]",18218747.0
"(0.024, 0.0243]",42639115.0
"(0.0243, 0.0246]",48848275.0
"(0.0246, 0.025]",41825934.0
"(0.025, 0.0253]",24470765.0
"(0.0253, 0.0256]",25491571.0
"(0.0256, 0.0259]",35436190.0
"(0.0259, 0.0262]",36395952.0
"(0.0262, 0.0266]",103881003.0
"(0.0266, 0.0269]",57082535.0
"(0.0269, 0.0272]",70303379.0
"(0.0272, 0.0275]",52661529.0
"(0.0275, 0.0279]",79553341.0
"(0.0279, 0.0282]",60289100.0
"(0.0282, 0.0285]",49829636.0
"(0.0285, 0.0288]",36090456.0
"(0.0288, 0.0292]",86138284.0
"(0.0292, 0.0295]",87529453.0
"(0.0295, 0.0298]",95708575.0
"(0.0298, 0.0301]",51579444.0
"(0.0301, 0.0304]",32739757.0
"(0.0304, 0.0308]",18422308.0
"(0.0308, 0.0311]",21801080.0
"(0.0317, 0.0321]",14760759.0
"(0.0321, 0.0324]",5815504.0
