ts,open,high,low,close,vol,bin
1772323200000,0.001289,0.001293,0.001268,0.001281,85293527.0,"(0.00128, 0.00129]"
1772323260000,0.00128,0.001287,0.001254,0.001272,87916553.0,"(0.00127, 0.00128]"
1772323320000,0.001274,0.001281,0.001251,0.00126,54008213.0,"(0.00126, 0.00127]"
1772323380000,0.001259,0.001262,0.001237,0.001248,133344016.0,"(0.00124, 0.00126]"
1772323440000,0.001244,0.001253,0.001233,0.001251,82995690.0,"(0.00124, 0.00126]"
1772323500000,0.001251,0.001252,0.001238,0.00124,46517662.0,"(0.00124, 0.00126]"
1772323560000,0.00124,0.001245,0.001236,0.001237,45134477.0,"(0.00123, 0.00124]"
1772323620000,0.001238,0.001241,0.00123,0.001231,44800334.0,"(0.00123, 0.00124]"
1772323680000,0.001232,0.001236,0.001217,0.001217,50941168.0,"(0.00122, 0.00123]"
1772323740000,0.001217,0.001222,0.001205,0.001212,93722165.0,"(0.0012, 0.00122]"
1772323800000,0.001212,0.001241,0.001207,0.001236,71570012.0,"(0.00122, 0.00123]"
1772323860000,0.001236,0.00128,0.001232,0.001272,102883597.0,"(0.00124, 0.00126]"
1772323920000,0.001273,0.001287,0.001253,0.001261,66181080.0,"(0.00126, 0.00127]"
1772323980000,0.00126,0.00128,0.001239,0.001251,180324269.0,"(0.00126, 0.00127]"
1772324040000,0.00125,0.001265,0.001243,0.001245,46183525.0,"(0.00124, 0.00126]"
1772324100000,0.001243,0.001252,0.001233,0.001244,50841838.0,"(0.00124, 0.00126]"
1772324160000,0.001243,0.001244,0.001223,0.001229,46251115.0,"(0.00123, 0.00124]"
1772324220000,0.001229,0.00123,0.001213,0.001217,55648625.0,"(0.00122, 0.00123]"
1772324280000,0.001218,0.001219,0.001204,0.00121,47324500.0,"(0.0012, 0.00122]"
1772324340000,0.001209,0.001229,0.001209,0.001225,42950180.0,"(0.0012, 0.00122]"
1772324400000,0.001223,0.001225,0.001208,0.001223,42766346.0,"(0.00122, 0.00123]"
1772324460000,0.001223,0.001253,0.001223,0.001246,37244116.0,"(0.00123, 0.00124]"
1772324520000,0.001246,0.001256,0.001243,0.001253,62538865.0,"(0.00124, 0.00126]"
1772324580000,0.001252,0.001261,0.001244,0.001253,38845183.0,"(0.00124, 0.00126]"
1772324640000,0.001254,0.001256,0.001235,0.001254,39041189.0,"(0.00124, 0.00126]"
1772324700000,0.001252,0.001259,0.00125,0.001254,16225428.0,"(0.00124, 0.00126]"
1772324760000,0.001254,0.001256,0.001245,0.001252,33223351.0,"(0.00124, 0.00126]"
1772324820000,0.001252,0.001261,0.001245,0.001245,35029840.0,"(0.00124, 0.00126]"
1772324880000,0.001245,0.001248,0.001236,0.001243,30546833.0,"(0.00124, 0.00126]"
1772324940000,0.001243,0.001244,0.001237,0.001237,12558132.0,"(0.00123, 0.00124]"
1772325000000,0.001238,0.001244,0.001236,0.001243,25233628.0,"(0.00123, 0.00124]"
1772325060000,0.001244,0.001273,0.001244,0.001273,84402690.0,"(0.00126, 0.00127]"
1772325120000,0.001273,0.00128,0.001248,0.001273,67030252.0,"(0.00127, 0.00128]"
1772325180000,0.001272,0.001277,0.001261,0.001264,26565226.0,"(0.00127, 0.00128]"
1772325240000,0.001265,0.001287,0.001262,0.001277,48101396.0,"(0.00127, 0.00128]"
1772325300000,0.001277,0.001308,0.001268,0.001272,108913853.0,"(0.00127, 0.00128]"
1772325360000,0.001273,0.001275,0.001256,0.001267,59576882.0,"(0.00127, 0.00128]"
1772325420000,0.001266,0.001278,0.001264,0.001271,28145030.0,"(0.00127, 0.00128]"
1772325480000,0.001271,0.001279,0.001268,0.001272,20521195.0,"(0.00127, 0.00128]"
1772325540000,0.001273,0.001277,0.001264,0.001268,24143368.0,"(0.00127, 0.00128]"
1772325600000,0.001268,0.001298,0.001268,0.001289,28900747.0,"(0.00127, 0.00128]"
1772325660000,0.00129,0.001302,0.001283,0.001288,36238173.0,"(0.00128, 0.00129]"
1772325720000,0.001288,0.001291,0.001257,0.001265,61733414.0,"(0.00127, 0.00128]"
1772325780000,0.001264,0.001273,0.001262,0.001268,25293849.0,"(0.00126, 0.00127]"
1772325840000,0.001269,0.001271,0.001255,0.001256,14825272.0,"(0.00126, 0.00127]"
1772325900000,0.001255,0.001264,0.001252,0.001263,29363434.0,"(0.00126, 0.00127]"
1772325960000,0.001262,0.00127,0.001254,0.00127,8083498.0,"(0.00126, 0.00127]"
1772326020000,0.001271,0.0013,0.001264,0.001295,52735667.0,"(0.00128, 0.00129]"
1772326080000,0.001294,0.001303,0.00128,0.001292,78588810.0,"(0.00128, 0.00129]"
1772326140000,0.00129,0.001309,0.001271,0.00128,79916721.0,"(0.00128, 0.00129]"
1772326200000,0.001281,0.00129,0.001267,0.001278,55588602.0,"(0.00127, 0.00128]"
1772326260000,0.001278,0.001283,0.001258,0.001261,39014430.0,"(0.00127, 0.00128]"
1772326320000,0.00126,0.001271,0.001256,0.001262,24295516.0,"(0.00126, 0.00127]"
1772326380000,0.001263,0.001265,0.001252,0.001259,31503507.0,"(0.00126, 0.00127]"
1772326440000,0.00126,0.001264,0.001247,0.00125,63596527.0,"(0.00124, 0.00126]"
1772326500000,0.00125,0.00125,0.001228,0.001235,57399242.0,"(0.00124, 0.00126]"
1772326560000,0.001235,0.001239,0.001221,0.001223,77144147.0,"(0.00122, 0.00123]"
1772326620000,0.001223,0.001235,0.001223,0.001232,30251281.0,"(0.00122, 0.00123]"
1772326680000,0.001232,0.001243,0.00123,0.001231,26533949.0,"(0.00123, 0.00124]"
1772326740000,0.001232,0.001236,0.001224,0.001224,15351474.0,"(0.00122, 0.00123]"
1772326800000,0.001224,0.001233,0.00122,0.001224,51971330.0,"(0.00122, 0.00123]"
1772326860000,0.001224,0.001242,0.00122,0.001223,47855092.0,"(0.00122, 0.00123]"
1772326920000,0.001221,0.001236,0.001217,0.001232,55157061.0,"(0.00122, 0.00123]"
1772326980000,0.001232,0.001236,0.001228,0.001231,18419041.0,"(0.00123, 0.00124]"
1772327040000,0.001231,0.001238,0.001224,0.001238,24066405.0,"(0.00123, 0.00124]"
1772327100000,0.001238,0.00125,0.001237,0.001246,62646128.0,"(0.00123, 0.00124]"
