bin,vol
"(0.000824, 0.000837]",385276408.0
"(0.000837, 0.000849]",747485132.0
"(0.000849, 0.000862]",675730819.0
"(0.000862, 0.000875]",474645292.0
"(0.000875, 0.000887]",591080514.0
"(0.000887, 0.0009]",725728126.0
"(0.0009, 0.000913]",452250793.0
"(0.000913, 0.000925]",465103350.0
"(0.000925, 0.000938]",433610116.0
"(0.000938, 0.000951]",880274792.0
"(0.000951, 0.000963]",1128909804.0
"(0.000963, 0.000976]",899732797.0
"(0.000976, 0.000989]",607123391.0
"(0.000989, 0.001]",866300973.0
"(0.001, 0.00101]",824901077.0
"(0.00101, 0.00103]",3018086535.0
"(0.00103, 0.00104]",3068935909.0
"(0.00104, 0.00105]",2344613897.0
"(0.00105, 0.00106]",2351565733.0
"(0.00106, 0.00108]",1729348252.0
"(0.00108, 0.00109]",1986346578.0
"(0.00109, 0.0011]",4419104540.0
"(0.0011, 0.00112]",6287258630.0
"(0.00112, 0.00113]",7768049673.0
"(0.00113, 0.00114]",3927485104.0
"(0.00114, 0.00115]",3734496000.0
"(0.00115, 0.00117]",3105636198.0
"(0.00117, 0.00118]",4359894231.0
"(0.00118, 0.00119]",3426443361.0
"(0.00119, 0.0012]",3430380273.0
"(0.0012, 0.00122]",2439036606.0
"(0.00122, 0.00123]",3150950864.0
"(0.00123, 0.00124]",1620490714.0
"(0.00124, 0.00126]",2503209916.0
"(0.00126, 0.00127]",3851184118.0
"(0.00127, 0.00128]",6215785162.0
"(0.00128, 0.00129]",5689650212.0
"(0.00129, 0.00131]",4941697748.0
"(0.00131, 0.00132]",7658474117.0
"(0.00132, 0.00133]",9006270393.0
"(0.00133, 0.00134]",4597628647.0
"(0.00134, 0.00136]",3521010593.0
"(0.00136, 0.00137]",4069211675.0
"(0.00137, 0.00138]",3632411039.0
"(0.00138, 0.00139]",1469559658.0
"(0.00139, 0.00141]",2142564791.0
"(0.00141, 0.00142]",241182098.0
"(0.00142, 0.00143]",872425056.0
