ts,open,high,low,close,vol,bin
1772841600000,0.04842,0.04853,0.04842,0.0485,22118.0,"(0.0482, 0.0486]"
1772841660000,0.04849,0.04858,0.04849,0.04856,25393.0,"(0.0482, 0.0486]"
1772841720000,0.04856,0.04856,0.04847,0.04847,46239.0,"(0.0482, 0.0486]"
1772841780000,0.04848,0.04852,0.04848,0.0485,9395.0,"(0.0482, 0.0486]"
1772841840000,0.0485,0.04851,0.04847,0.04847,12469.0,"(0.0482, 0.0486]"
1772841900000,0.04847,0.0485,0.04845,0.0485,18718.0,"(0.0482, 0.0486]"
1772841960000,0.0485,0.0485,0.04846,0.04848,7475.0,"(0.0482, 0.0486]"
1772842020000,0.0485,0.04852,0.04848,0.04848,4012.0,"(0.0482, 0.0486]"
1772842080000,0.04849,0.04849,0.04848,0.04849,1935.0,"(0.0482, 0.0486]"
1772842140000,0.04849,0.04849,0.04848,0.04849,1059.0,"(0.0482, 0.0486]"
1772842200000,0.04848,0.04852,0.04848,0.04852,3924.0,"(0.0482, 0.0486]"
1772842260000,0.04851,0.04851,0.0484,0.04849,27542.0,"(0.0482, 0.0486]"
1772842320000,0.04849,0.04849,0.04848,0.04848,475.0,"(0.0482, 0.0486]"
1772842380000,0.04849,0.04855,0.04844,0.04855,7009.0,"(0.0482, 0.0486]"
1772842440000,0.0485,0.04854,0.0485,0.04853,1782.0,"(0.0482, 0.0486]"
1772842500000,0.0485,0.04879,0.0485,0.04856,233736.0,"(0.0482, 0.0486]"
1772842560000,0.04856,0.04862,0.04856,0.04861,6277.0,"(0.0486, 0.049]"
1772842620000,0.04856,0.04858,0.04856,0.04857,1350.0,"(0.0482, 0.0486]"
1772842680000,0.04857,0.04859,0.04857,0.04859,1900.0,"(0.0486, 0.049]"
1772842740000,0.04859,0.04862,0.04859,0.04859,1594.0,"(0.0486, 0.049]"
1772842800000,0.04859,0.04862,0.04858,0.04862,10533.0,"(0.0486, 0.049]"
1772842860000,0.04859,0.04859,0.04853,0.04857,4095.0,"(0.0486, 0.049]"
1772842920000,0.04854,0.04856,0.04853,0.04853,1259.0,"(0.0482, 0.0486]"
1772842980000,0.04852,0.04853,0.04848,0.04851,3557.0,"(0.0482, 0.0486]"
1772843040000,0.04845,0.04848,0.04836,0.04839,25261.0,"(0.0482, 0.0486]"
1772843100000,0.04837,0.04843,0.04837,0.04842,45251.0,"(0.0482, 0.0486]"
1772843160000,0.04842,0.0485,0.04842,0.04845,12405.0,"(0.0482, 0.0486]"
1772843220000,0.04846,0.04848,0.04846,0.04848,1650.0,"(0.0482, 0.0486]"
1772843280000,0.04848,0.04854,0.04848,0.04854,2462.0,"(0.0482, 0.0486]"
1772843340000,0.04855,0.0487,0.04855,0.04869,15321.0,"(0.0486, 0.049]"
1772843400000,0.04869,0.04874,0.04866,0.04874,59237.0,"(0.0486, 0.049]"
1772843460000,0.04866,0.04874,0.0486,0.0487,5837.0,"(0.0486, 0.049]"
1772843520000,0.0487,0.04872,0.0487,0.0487,1173.0,"(0.0486, 0.049]"
1772843580000,0.04873,0.04873,0.0487,0.04873,1057.0,"(0.0486, 0.049]"
1772843640000,0.04873,0.04873,0.04864,0.04864,23806.0,"(0.0486, 0.049]"
1772843700000,0.04864,0.04864,0.04864,0.04864,112.0,"(0.0486, 0.049]"
1772843760000,0.04868,0.04868,0.04863,0.04865,1289.0,"(0.0486, 0.049]"
1772843820000,0.04861,0.04862,0.04855,0.0486,1427.0,"(0.0486, 0.049]"
1772843880000,0.04858,0.04859,0.04853,0.04853,6239.0,"(0.0482, 0.0486]"
1772843940000,0.04847,0.04861,0.04847,0.04854,30331.0,"(0.0482, 0.0486]"
1772844000000,0.04857,0.04861,0.04853,0.04853,2092.0,"(0.0482, 0.0486]"
1772844060000,0.0486,0.0486,0.0486,0.0486,768.0,"(0.0486, 0.049]"
1772844120000,0.0486,0.0486,0.0486,0.0486,0.0,"(0.0486, 0.049]"
1772844180000,0.04859,0.04859,0.04852,0.04852,17864.0,"(0.0482, 0.0486]"
1772844240000,0.04851,0.04851,0.04847,0.04847,11374.0,"(0.0482, 0.0486]"
1772844300000,0.04846,0.04846,0.04844,0.04844,11015.0,"(0.0482, 0.0486]"
