bin,vol
"(0.0458, 0.0462]",802609.0
"(0.0462, 0.0466]",2738092.0
"(0.0466, 0.047]",4965052.0
"(0.047, 0.0474]",13138605.0
"(0.0474, 0.0478]",11937751.0
"(0.0478, 0.0482]",11622355.0
"(0.0482, 0.0486]",13420010.0
"(0.0486, 0.049]",17669127.0
"(0.049, 0.0493]",16638802.0
"(0.0493, 0.0497]",10551873.0
"(0.0497, 0.0501]",13932869.0
"(0.0501, 0.0505]",9530835.0
"(0.0505, 0.0509]",8740588.0
"(0.0509, 0.0513]",7555190.0
"(0.0513, 0.0517]",8487622.0
"(0.0517, 0.0521]",13647823.0
"(0.0521, 0.0525]",15864651.0
"(0.0525, 0.0529]",13129925.0
"(0.0529, 0.0533]",6658476.0
"(0.0533, 0.0536]",6391009.0
"(0.0536, 0.054]",3441981.0
"(0.054, 0.0544]",12866479.0
"(0.0544, 0.0548]",7899860.0
"(0.0548, 0.0552]",5175018.0
"(0.0552, 0.0556]",2654405.0
"(0.0556, 0.056]",3685408.0
"(0.056, 0.0564]",1876106.0
"(0.0564, 0.0568]",1327850.0
"(0.0572, 0.0576]",3912674.0
"(0.0576, 0.0579]",3336674.0
"(0.0579, 0.0583]",15177382.0
"(0.0583, 0.0587]",16227087.0
"(0.0587, 0.0591]",29877588.0
"(0.0591, 0.0595]",35238131.0
"(0.0595, 0.0599]",49469811.0
"(0.0599, 0.0603]",26667632.0
"(0.0603, 0.0607]",33056927.0
"(0.0607, 0.0611]",19787528.0
"(0.0611, 0.0615]",8136414.0
"(0.0615, 0.0619]",18546876.0
"(0.0622, 0.0626]",2908182.0
"(0.0626, 0.063]",5210273.0
"(0.063, 0.0634]",14867627.0
"(0.0634, 0.0638]",3750341.0
"(0.0638, 0.0642]",14614543.0
"(0.0642, 0.0646]",17201998.0
