bin,vol
"(36.55, 37.174]",390019.007
"(37.174, 37.799]",1070605.316
"(37.799, 38.423]",1142422.899
"(38.423, 39.048]",1082156.855
"(39.048, 39.672]",269973.074
"(39.672, 40.296]",210713.676
"(40.296, 40.921]",394971.327
"(40.921, 41.545]",437954.162
"(41.545, 42.17]",252584.862
"(42.17, 42.794]",167578.381
"(42.794, 43.418]",336413.132
"(43.418, 44.043]",388111.584
"(44.043, 44.667]",510705.329
"(44.667, 45.292]",667327.723
"(45.292, 45.916]",622940.026
"(45.916, 46.54]",449854.847
"(46.54, 47.165]",290271.504
"(47.165, 47.789]",137849.004
"(47.789, 48.414]",137116.401
"(48.414, 49.038]",123705.754
"(49.038, 49.662]",250576.226
"(49.662, 50.287]",95676.956
"(50.287, 50.911]",295336.929
"(50.911, 51.536]",397649.86199999996
"(51.536, 52.16]",184827.122
"(52.16, 52.784]",79639.919
"(52.784, 53.409]",216748.95
"(53.409, 54.033]",269744.431
"(54.033, 54.658]",649367.85
"(54.658, 55.282]",191747.248
"(55.906, 56.531]",114898.961
"(56.531, 57.155]",308734.823
"(57.155, 57.78]",409699.362
"(57.78, 58.404]",491719.12899999996
"(58.404, 59.028]",841095.604
"(59.028, 59.653]",737391.098
"(59.653, 60.277]",638482.625
"(60.277, 60.902]",755410.556
"(60.902, 61.526]",636788.243
"(61.526, 62.15]",805394.641
"(62.15, 62.775]",1217956.876
"(62.775, 63.399]",900087.033
"(63.399, 64.024]",409765.17100000003
"(64.024, 64.648]",265306.336
"(64.648, 65.272]",374885.803
"(65.272, 65.897]",589812.035
"(65.897, 66.521]",162597.043
"(66.521, 67.146]",285560.602
