ts,open,high,low,close,vol,bin
1771286400000,2.348,2.348,2.346,2.346,73.69,"(2.336, 2.363]"
1771286460000,2.345,2.345,2.343,2.343,224.61,"(2.336, 2.363]"
1771286520000,2.344,2.344,2.343,2.344,487.9,"(2.336, 2.363]"
1771286580000,2.344,2.345,2.342,2.343,135.37,"(2.336, 2.363]"
1771286640000,2.343,2.343,2.339,2.34,90.03,"(2.336, 2.363]"
1771286700000,2.339,2.339,2.338,2.338,176.59,"(2.336, 2.363]"
1771286760000,2.337,2.338,2.336,2.338,292.8,"(2.336, 2.363]"
1771286820000,2.337,2.339,2.337,2.338,61.66,"(2.336, 2.363]"
1771286880000,2.338,2.34,2.338,2.34,119.96,"(2.336, 2.363]"
1771286940000,2.338,2.345,2.338,2.344,161.54,"(2.336, 2.363]"
1771287000000,2.343,2.345,2.343,2.345,78.77,"(2.336, 2.363]"
1771287060000,2.344,2.345,2.344,2.345,59.15,"(2.336, 2.363]"
1771287120000,2.345,2.346,2.345,2.346,84.52,"(2.336, 2.363]"
1771287180000,2.347,2.347,2.347,2.347,50.38,"(2.336, 2.363]"
1771287240000,2.348,2.349,2.348,2.349,33.22,"(2.336, 2.363]"
1771287300000,2.348,2.35,2.348,2.348,75.81,"(2.336, 2.363]"
1771287360000,2.347,2.351,2.347,2.347,369.06,"(2.336, 2.363]"
1771287420000,2.347,2.347,2.342,2.342,460.41,"(2.336, 2.363]"
1771287480000,2.342,2.342,2.341,2.341,33.44,"(2.336, 2.363]"
1771287540000,2.341,2.345,2.34,2.345,158.31,"(2.336, 2.363]"
1771287600000,2.344,2.346,2.344,2.346,8.58,"(2.336, 2.363]"
1771287660000,2.346,2.348,2.346,2.348,39.7,"(2.336, 2.363]"
1771287720000,2.349,2.349,2.348,2.349,19.55,"(2.336, 2.363]"
1771287780000,2.348,2.348,2.345,2.348,43.13,"(2.336, 2.363]"
1771287840000,2.347,2.347,2.347,2.347,112.18,"(2.336, 2.363]"
1771287900000,2.345,2.347,2.344,2.347,19.56,"(2.336, 2.363]"
1771287960000,2.346,2.347,2.345,2.345,21.52,"(2.336, 2.363]"
1771288020000,2.346,2.349,2.346,2.348,98.6,"(2.336, 2.363]"
1771288080000,2.348,2.351,2.348,2.351,71.46,"(2.336, 2.363]"
1771288140000,2.35,2.351,2.35,2.351,28.8,"(2.336, 2.363]"
1771288200000,2.35,2.35,2.345,2.348,143.56,"(2.336, 2.363]"
1771288260000,2.348,2.349,2.348,2.349,92.17,"(2.336, 2.363]"
1771288320000,2.345,2.347,2.345,2.347,269.52,"(2.336, 2.363]"
1771288380000,2.347,2.349,2.347,2.349,16.59,"(2.336, 2.363]"
1771288440000,2.347,2.347,2.347,2.347,185.32,"(2.336, 2.363]"
1771288500000,2.346,2.348,2.346,2.347,32.33,"(2.336, 2.363]"
1771288560000,2.348,2.355,2.348,2.353,992.71,"(2.336, 2.363]"
1771288620000,2.354,2.354,2.353,2.353,16.96,"(2.336, 2.363]"
1771288680000,2.353,2.353,2.351,2.353,716.78,"(2.336, 2.363]"
1771288740000,2.354,2.354,2.354,2.354,16.26,"(2.336, 2.363]"
1771288800000,2.353,2.354,2.353,2.354,12.7,"(2.336, 2.363]"
1771288860000,2.353,2.354,2.353,2.354,19.47,"(2.336, 2.363]"
1771288920000,2.353,2.353,2.352,2.352,22.66,"(2.336, 2.363]"
1771288980000,2.353,2.353,2.35,2.35,1179.83,"(2.336, 2.363]"
1771289040000,2.35,2.353,2.35,2.353,438.42,"(2.336, 2.363]"
1771289100000,2.352,2.355,2.352,2.355,61.15,"(2.336, 2.363]"
1771289160000,2.355,2.356,2.355,2.355,22.44,"(2.336, 2.363]"
1771289220000,2.356,2.357,2.356,2.356,21.93,"(2.336, 2.363]"
1771289280000,2.357,2.358,2.357,2.357,65.94,"(2.336, 2.363]"
1771289340000,2.357,2.359,2.356,2.358,349.73,"(2.336, 2.363]"
1771289400000,2.357,2.358,2.356,2.357,113.05,"(2.336, 2.363]"
1771289460000,2.356,2.357,2.354,2.354,74.6,"(2.336, 2.363]"
1771289520000,2.355,2.355,2.354,2.354,78.02,"(2.336, 2.363]"
1771289580000,2.354,2.354,2.353,2.353,11.56,"(2.336, 2.363]"
1771289640000,2.353,2.357,2.353,2.356,181.9,"(2.336, 2.363]"
1771289700000,2.356,2.357,2.356,2.357,207.03,"(2.336, 2.363]"
1771289760000,2.355,2.355,2.351,2.351,244.51,"(2.336, 2.363]"
1771289820000,2.353,2.354,2.353,2.354,9.24,"(2.336, 2.363]"
1771289880000,2.352,2.353,2.352,2.353,22.26,"(2.336, 2.363]"
1771289940000,2.351,2.353,2.351,2.353,13.5,"(2.336, 2.363]"
1771290000000,2.351,2.353,2.351,2.353,163.13,"(2.336, 2.363]"
1771290060000,2.352,2.354,2.352,2.354,481.04,"(2.336, 2.363]"
1771290120000,2.353,2.354,2.351,2.351,151.54,"(2.336, 2.363]"
1771290180000,2.35,2.35,2.343,2.343,6705.06,"(2.336, 2.363]"
1771290240000,2.342,2.345,2.342,2.343,241.52,"(2.336, 2.363]"
1771290300000,2.344,2.345,2.344,2.345,65.16,"(2.336, 2.363]"
1771290360000,2.344,2.344,2.343,2.343,231.61,"(2.336, 2.363]"
1771290420000,2.344,2.345,2.344,2.345,21.11,"(2.336, 2.363]"
1771290480000,2.344,2.348,2.342,2.348,619.78,"(2.336, 2.363]"
1771290540000,2.346,2.35,2.346,2.349,449.49,"(2.336, 2.363]"
1771290600000,2.351,2.354,2.351,2.354,498.55,"(2.336, 2.363]"
1771290660000,2.353,2.353,2.351,2.351,352.85,"(2.336, 2.363]"
1771290720000,2.352,2.352,2.349,2.349,208.04,"(2.336, 2.363]"
1771290780000,2.348,2.35,2.348,2.35,15.24,"(2.336, 2.363]"
1771290840000,2.35,2.35,2.35,2.35,8.08,"(2.336, 2.363]"
1771290900000,2.35,2.351,2.349,2.351,78.99,"(2.336, 2.363]"
1771290960000,2.351,2.352,2.35,2.35,94.15,"(2.336, 2.363]"
1771291020000,2.351,2.351,2.35,2.35,14.53,"(2.336, 2.363]"
1771291080000,2.351,2.356,2.351,2.356,136.99,"(2.336, 2.363]"
1771291140000,2.356,2.358,2.356,2.358,220.72,"(2.336, 2.363]"
1771291200000,2.356,2.358,2.356,2.357,73.01,"(2.336, 2.363]"
1771291260000,2.357,2.357,2.354,2.355,227.1,"(2.336, 2.363]"
1771291320000,2.356,2.357,2.356,2.356,16.02,"(2.336, 2.363]"
1771291380000,2.356,2.356,2.355,2.356,42.8,"(2.336, 2.363]"
1771291440000,2.356,2.358,2.356,2.357,85.19,"(2.336, 2.363]"
1771291500000,2.357,2.358,2.356,2.357,51.34,"(2.336, 2.363]"
1771291560000,2.357,2.357,2.355,2.355,27.73,"(2.336, 2.363]"
1771291620000,2.356,2.356,2.354,2.354,115.31,"(2.336, 2.363]"
1771291680000,2.354,2.355,2.354,2.355,130.93,"(2.336, 2.363]"
1771291740000,2.356,2.357,2.356,2.357,87.66,"(2.336, 2.363]"
1771291800000,2.357,2.384,2.357,2.369,6270.39,"(2.336, 2.363]"
1771291860000,2.37,2.372,2.37,2.372,143.91,"(2.363, 2.39]"
1771291920000,2.372,2.379,2.371,2.379,767.24,"(2.363, 2.39]"
1771291980000,2.378,2.378,2.376,2.376,66.45,"(2.363, 2.39]"
1771292040000,2.377,2.379,2.376,2.378,266.71,"(2.363, 2.39]"
1771292100000,2.379,2.386,2.378,2.386,896.16,"(2.363, 2.39]"
1771292160000,2.386,2.386,2.376,2.382,474.15,"(2.363, 2.39]"
1771292220000,2.382,2.382,2.38,2.38,134.06,"(2.363, 2.39]"
1771292280000,2.38,2.381,2.378,2.379,326.77,"(2.363, 2.39]"
1771292340000,2.379,2.379,2.378,2.378,46.08,"(2.363, 2.39]"
1771292400000,2.378,2.379,2.377,2.377,145.76,"(2.363, 2.39]"
1771292460000,2.377,2.377,2.371,2.372,250.17,"(2.363, 2.39]"
1771292520000,2.373,2.373,2.37,2.37,422.79,"(2.363, 2.39]"
1771292580000,2.369,2.371,2.369,2.369,354.72,"(2.363, 2.39]"
1771292640000,2.369,2.37,2.368,2.369,24.92,"(2.363, 2.39]"
1771292700000,2.368,2.369,2.368,2.369,25.49,"(2.363, 2.39]"
1771292760000,2.368,2.368,2.364,2.365,198.59,"(2.363, 2.39]"
1771292820000,2.364,2.369,2.364,2.368,85.84,"(2.363, 2.39]"
1771292880000,2.367,2.368,2.367,2.367,18.69,"(2.363, 2.39]"
1771292940000,2.367,2.367,2.365,2.366,184.84,"(2.363, 2.39]"
1771293000000,2.366,2.368,2.366,2.366,38.97,"(2.363, 2.39]"
1771293060000,2.366,2.366,2.361,2.362,1339.43,"(2.363, 2.39]"
1771293120000,2.363,2.364,2.362,2.364,164.66,"(2.363, 2.39]"
1771293180000,2.363,2.364,2.36,2.36,764.99,"(2.336, 2.363]"
1771293240000,2.359,2.36,2.357,2.36,66.87,"(2.336, 2.363]"
1771293300000,2.359,2.364,2.358,2.361,435.23,"(2.336, 2.363]"
1771293360000,2.359,2.362,2.359,2.362,75.07,"(2.336, 2.363]"
1771293420000,2.362,2.362,2.357,2.362,576.1,"(2.336, 2.363]"
1771293480000,2.363,2.365,2.363,2.365,139.81,"(2.363, 2.39]"
1771293540000,2.364,2.364,2.363,2.363,140.55,"(2.363, 2.39]"
1771293600000,2.364,2.365,2.363,2.364,127.84,"(2.363, 2.39]"
1771293660000,2.364,2.365,2.361,2.365,346.3,"(2.363, 2.39]"
1771293720000,2.364,2.364,2.36,2.36,377.08,"(2.336, 2.363]"
1771293780000,2.359,2.359,2.353,2.358,936.05,"(2.336, 2.363]"
1771293840000,2.359,2.366,2.359,2.365,932.17,"(2.336, 2.363]"
1771293900000,2.367,2.367,2.364,2.364,161.92,"(2.363, 2.39]"
1771293960000,2.365,2.368,2.365,2.367,133.78,"(2.363, 2.39]"
1771294020000,2.369,2.375,2.368,2.375,142.53,"(2.363, 2.39]"
1771294080000,2.374,2.374,2.371,2.372,707.95,"(2.363, 2.39]"
