bin,vol
"(2.063, 2.09]",5378.7
"(2.09, 2.118]",174202.94
"(2.118, 2.145]",119554.6
"(2.145, 2.172]",29106.99
"(2.172, 2.199]",92199.14
"(2.199, 2.227]",192692.04
"(2.227, 2.254]",633974.93
"(2.254, 2.281]",284806.64
"(2.281, 2.309]",402507.7
"(2.309, 2.336]",391415.83
"(2.336, 2.363]",528546.02
"(2.363, 2.39]",513176.18
"(2.39, 2.418]",466025.28
"(2.418, 2.445]",285432.6
"(2.445, 2.472]",468950.63
"(2.472, 2.499]",443642.27999999997
"(2.499, 2.527]",155724.5
"(2.527, 2.554]",213812.83000000002
"(2.554, 2.581]",346633.5
"(2.581, 2.609]",573260.93
"(2.609, 2.636]",195212.35
"(2.636, 2.663]",248772.62
"(2.663, 2.69]",146117.7
"(2.69, 2.718]",75066.33
"(2.718, 2.745]",72945.24
"(2.745, 2.772]",243205.51
"(2.772, 2.8]",536514.74
"(2.8, 2.827]",1228944.93
"(2.827, 2.854]",1163803.09
"(2.854, 2.881]",1011726.97
"(2.881, 2.909]",809371.95
"(2.909, 2.936]",971306.47
"(2.936, 2.963]",393334.02
"(2.963, 2.991]",361293.2
"(2.991, 3.018]",233549.96
"(3.018, 3.045]",172897.12
"(3.045, 3.072]",186935.01
"(3.072, 3.1]",113807.29
"(3.1, 3.127]",194210.58
"(3.127, 3.154]",234134.75
"(3.154, 3.181]",462086.69
"(3.181, 3.209]",669417.52
"(3.209, 3.236]",394368.26
"(3.236, 3.263]",701928.3200000001
"(3.263, 3.291]",1017166.96
"(3.291, 3.318]",698515.18
"(3.318, 3.345]",956706.37
"(3.345, 3.372]",827611.23
"(3.372, 3.4]",403882.36
"(3.4, 3.427]",98126.1
