bin,vol
"(0.0404, 0.0407]",2461561.0
"(0.0407, 0.041]",6652092.0
"(0.041, 0.0414]",17430294.0
"(0.0414, 0.0417]",21151811.0
"(0.0417, 0.0421]",18894615.0
"(0.0421, 0.0424]",17723743.0
"(0.0424, 0.0427]",19040268.0
"(0.0427, 0.0431]",27677149.0
"(0.0431, 0.0434]",13706944.0
"(0.0434, 0.0438]",13888101.0
"(0.0438, 0.0441]",16553223.0
"(0.0441, 0.0444]",11939081.0
"(0.0444, 0.0448]",16402764.0
"(0.0448, 0.0451]",26026729.0
"(0.0451, 0.0454]",11172469.0
"(0.0454, 0.0458]",16240358.0
"(0.0458, 0.0461]",9376512.0
"(0.0461, 0.0465]",11996431.0
"(0.0465, 0.0468]",6832774.0
"(0.0468, 0.0471]",17022690.0
"(0.0471, 0.0475]",109217107.0
"(0.0475, 0.0478]",32372128.0
"(0.0478, 0.0481]",23189190.0
"(0.0481, 0.0485]",26170748.0
"(0.0485, 0.0488]",26237067.0
"(0.0488, 0.0492]",15806516.0
"(0.0492, 0.0495]",17097949.0
"(0.0495, 0.0498]",7093787.0
"(0.0498, 0.0502]",2419724.0
"(0.0529, 0.0532]",157937669.0
"(0.0532, 0.0536]",116537455.0
"(0.0536, 0.0539]",91761157.0
"(0.0539, 0.0542]",173183085.0
"(0.0542, 0.0546]",185242100.0
"(0.0546, 0.0549]",153039733.0
"(0.0549, 0.0552]",139654546.0
"(0.0552, 0.0556]",75346729.0
"(0.0556, 0.0559]",85551763.0
"(0.0559, 0.0563]",28319357.0
