ts,open,high,low,close,vol,bin
1770163200000,0.0463,0.04647,0.0463,0.04647,31016.2,"(0.0462, 0.0465]"
1770163260000,0.04642,0.04644,0.0463,0.04636,86683.8,"(0.0462, 0.0465]"
1770163320000,0.04639,0.04641,0.04635,0.04639,41777.4,"(0.0462, 0.0465]"
1770163380000,0.0464,0.0464,0.04635,0.04635,99542.3,"(0.0462, 0.0465]"
1770163440000,0.04635,0.04637,0.04632,0.04637,18363.4,"(0.0462, 0.0465]"
1770163500000,0.04633,0.04646,0.04631,0.04643,55838.8,"(0.0462, 0.0465]"
1770163560000,0.04642,0.04652,0.04642,0.0465,8961.9,"(0.0462, 0.0465]"
1770163620000,0.04647,0.04647,0.04637,0.04637,8154.4,"(0.0462, 0.0465]"
1770163680000,0.04637,0.0464,0.04634,0.0464,24928.4,"(0.0462, 0.0465]"
1770163740000,0.04638,0.04638,0.04632,0.04632,44683.2,"(0.0462, 0.0465]"
1770163800000,0.04634,0.04634,0.04631,0.04631,8153.1,"(0.0462, 0.0465]"
1770163860000,0.04631,0.04636,0.04629,0.04636,18114.6,"(0.0462, 0.0465]"
1770163920000,0.04636,0.04638,0.04633,0.04637,2850.2,"(0.0462, 0.0465]"
1770163980000,0.04635,0.04635,0.04631,0.04631,997.5,"(0.0462, 0.0465]"
1770164040000,0.0463,0.04631,0.04627,0.0463,4253.8,"(0.0462, 0.0465]"
1770164100000,0.04629,0.04647,0.04629,0.04644,31623.8,"(0.0462, 0.0465]"
1770164160000,0.04639,0.04656,0.04637,0.04653,16685.0,"(0.0462, 0.0465]"
1770164220000,0.04649,0.04652,0.04648,0.04652,1269.6,"(0.0465, 0.0467]"
1770164280000,0.0465,0.04652,0.04643,0.04649,4678.6,"(0.0465, 0.0467]"
1770164340000,0.0465,0.04654,0.04645,0.04654,8894.2,"(0.0465, 0.0467]"
1770164400000,0.04653,0.04675,0.0465,0.04666,211641.3,"(0.0465, 0.0467]"
1770164460000,0.04665,0.04668,0.0466,0.04668,12802.7,"(0.0465, 0.0467]"
1770164520000,0.04668,0.04668,0.04664,0.04666,9373.1,"(0.0465, 0.0467]"
1770164580000,0.04667,0.04679,0.04667,0.04679,12235.5,"(0.0465, 0.0467]"
1770164640000,0.04675,0.04678,0.04672,0.04677,8408.5,"(0.0467, 0.047]"
1770164700000,0.04675,0.04681,0.04674,0.04679,3738.0,"(0.0467, 0.047]"
1770164760000,0.04676,0.04681,0.04676,0.04681,6171.3,"(0.0467, 0.047]"
1770164820000,0.04676,0.04677,0.04672,0.04673,3071.8,"(0.0467, 0.047]"
1770164880000,0.04672,0.04672,0.0467,0.04672,4469.5,"(0.0465, 0.0467]"
1770164940000,0.04672,0.04675,0.04664,0.04675,28955.8,"(0.0465, 0.0467]"
1770165000000,0.04674,0.04679,0.04674,0.04676,3042.2,"(0.0467, 0.047]"
1770165060000,0.04675,0.04676,0.04668,0.04671,5601.3,"(0.0465, 0.0467]"
1770165120000,0.04674,0.04683,0.04674,0.04679,22657.5,"(0.0467, 0.047]"
1770165180000,0.04677,0.04692,0.04677,0.04691,33436.6,"(0.0467, 0.047]"
1770165240000,0.0469,0.0469,0.04685,0.04686,3528.0,"(0.0467, 0.047]"
1770165300000,0.04687,0.04695,0.04687,0.04694,7908.2,"(0.0467, 0.047]"
1770165360000,0.04687,0.04696,0.04686,0.0469,43636.5,"(0.0467, 0.047]"
1770165420000,0.0469,0.0469,0.04686,0.0469,4007.0,"(0.0467, 0.047]"
1770165480000,0.04689,0.04689,0.04685,0.04685,14283.7,"(0.0467, 0.047]"
1770165540000,0.04686,0.04691,0.04684,0.04691,42834.1,"(0.0467, 0.047]"
1770165600000,0.04691,0.04691,0.04681,0.04684,8568.1,"(0.0467, 0.047]"
1770165660000,0.04679,0.04685,0.04679,0.04684,8688.8,"(0.0467, 0.047]"
1770165720000,0.04683,0.04687,0.04683,0.04685,4920.7,"(0.0467, 0.047]"
1770165780000,0.04681,0.04681,0.04675,0.04675,9071.1,"(0.0467, 0.047]"
1770165840000,0.04678,0.0468,0.04676,0.04676,1892.0,"(0.0467, 0.047]"
1770165900000,0.04676,0.04684,0.04676,0.04678,37713.0,"(0.0467, 0.047]"
1770165960000,0.04677,0.04679,0.04677,0.04679,3900.4,"(0.0467, 0.047]"
1770166020000,0.04681,0.04692,0.04681,0.04682,35148.3,"(0.0467, 0.047]"
1770166080000,0.0468,0.04684,0.0468,0.04683,5826.9,"(0.0467, 0.047]"
1770166140000,0.04684,0.04686,0.04683,0.04686,1745.9,"(0.0467, 0.047]"
1770166200000,0.04687,0.04689,0.04686,0.04688,1253.2,"(0.0467, 0.047]"
1770166260000,0.04687,0.04687,0.04681,0.04682,19802.0,"(0.0467, 0.047]"
1770166320000,0.04682,0.04686,0.04682,0.04686,2196.5,"(0.0467, 0.047]"
1770166380000,0.04686,0.04686,0.04683,0.04683,3539.8,"(0.0467, 0.047]"
1770166440000,0.04681,0.04681,0.04674,0.04674,13117.4,"(0.0467, 0.047]"
1770166500000,0.04674,0.04676,0.04666,0.04672,53542.9,"(0.0465, 0.0467]"
1770166560000,0.0467,0.04674,0.04669,0.04673,39143.9,"(0.0465, 0.0467]"
1770166620000,0.04671,0.04674,0.04671,0.04673,3435.2,"(0.0465, 0.0467]"
1770166680000,0.04673,0.04678,0.04671,0.04674,16879.7,"(0.0465, 0.0467]"
1770166740000,0.04674,0.04676,0.04674,0.04675,2395.7,"(0.0467, 0.047]"
1770166800000,0.04676,0.04702,0.04676,0.047,31670.6,"(0.0467, 0.047]"
1770166860000,0.047,0.04706,0.047,0.04704,29841.0,"(0.047, 0.0472]"
1770166920000,0.04704,0.04713,0.04704,0.04712,13384.5,"(0.047, 0.0472]"
1770166980000,0.0471,0.04728,0.04709,0.04722,21615.9,"(0.047, 0.0472]"
1770167040000,0.04721,0.04723,0.04719,0.04719,22569.8,"(0.047, 0.0472]"
1770167100000,0.04721,0.04725,0.0472,0.0472,20868.1,"(0.047, 0.0472]"
1770167160000,0.04719,0.04719,0.04712,0.04714,47701.1,"(0.047, 0.0472]"
1770167220000,0.04716,0.04716,0.04713,0.04715,3602.6,"(0.047, 0.0472]"
1770167280000,0.04715,0.04727,0.04715,0.04727,6684.6,"(0.047, 0.0472]"
1770167340000,0.04727,0.04731,0.04727,0.0473,48893.5,"(0.0472, 0.0475]"
1770167400000,0.04732,0.04736,0.0473,0.04732,10428.3,"(0.0472, 0.0475]"
1770167460000,0.04733,0.04737,0.04733,0.04737,10719.7,"(0.0472, 0.0475]"
1770167520000,0.04736,0.04747,0.04736,0.04744,11373.0,"(0.0472, 0.0475]"
1770167580000,0.04744,0.04745,0.04742,0.04745,6483.8,"(0.0472, 0.0475]"
1770167640000,0.04746,0.04754,0.04746,0.04753,7947.3,"(0.0475, 0.0477]"
1770167700000,0.04751,0.04751,0.04747,0.04747,25538.4,"(0.0475, 0.0477]"
1770167760000,0.04748,0.0475,0.04744,0.0475,11149.6,"(0.0475, 0.0477]"
1770167820000,0.04747,0.04747,0.04745,0.04745,3716.9,"(0.0472, 0.0475]"
1770167880000,0.04746,0.0475,0.04745,0.04748,8092.1,"(0.0472, 0.0475]"
1770167940000,0.04749,0.04749,0.04746,0.04747,20889.3,"(0.0475, 0.0477]"
1770168000000,0.04747,0.04749,0.04747,0.04749,2897.6,"(0.0475, 0.0477]"
1770168060000,0.04748,0.04748,0.04739,0.04742,21078.2,"(0.0472, 0.0475]"
1770168120000,0.04744,0.04748,0.04744,0.04746,2616.0,"(0.0472, 0.0475]"
1770168180000,0.04746,0.04746,0.04744,0.04744,5249.9,"(0.0472, 0.0475]"
1770168240000,0.04743,0.0475,0.04741,0.04746,24516.1,"(0.0472, 0.0475]"
1770168300000,0.04746,0.04749,0.04745,0.04748,6367.1,"(0.0472, 0.0475]"
1770168360000,0.0475,0.04751,0.04746,0.04746,19140.8,"(0.0475, 0.0477]"
1770168420000,0.04744,0.04747,0.04744,0.04745,12395.1,"(0.0472, 0.0475]"
1770168480000,0.04744,0.04744,0.0474,0.04741,11471.8,"(0.0472, 0.0475]"
1770168540000,0.04741,0.04744,0.04741,0.04743,8803.7,"(0.0472, 0.0475]"
1770168600000,0.04742,0.04742,0.04735,0.04735,7483.7,"(0.0472, 0.0475]"
1770168660000,0.04736,0.0474,0.04735,0.0474,13448.9,"(0.0472, 0.0475]"
1770168720000,0.04739,0.04744,0.04737,0.04744,23881.2,"(0.0472, 0.0475]"
1770168780000,0.04743,0.04743,0.04733,0.04736,35381.1,"(0.0472, 0.0475]"
