bin,vol
"(0.0357, 0.0359]",635823.1
"(0.0362, 0.0364]",575387.6
"(0.0364, 0.0367]",367855.1
"(0.0367, 0.0369]",1728324.8
"(0.0369, 0.0372]",5297219.9
"(0.0372, 0.0374]",7832264.2
"(0.0374, 0.0377]",4537392.399999999
"(0.0377, 0.0379]",1493927.4000000001
"(0.0379, 0.0381]",2504883.7
"(0.0381, 0.0384]",2621083.3
"(0.0384, 0.0386]",4099274.4
"(0.0386, 0.0389]",3994469.9
"(0.0389, 0.0391]",9451223.5
"(0.0391, 0.0394]",13905964.3
"(0.0394, 0.0396]",10559330.3
"(0.0396, 0.0399]",10980182.1
"(0.0399, 0.0401]",11462043.5
"(0.0401, 0.0404]",9471914.3
"(0.0404, 0.0406]",5554914.4
"(0.0406, 0.0408]",5181229.0
"(0.0408, 0.0411]",6110452.3
"(0.0411, 0.0413]",6762753.0
"(0.0413, 0.0416]",12466203.6
"(0.0416, 0.0418]",11913310.1
"(0.0418, 0.0421]",16518591.0
"(0.0421, 0.0423]",12457552.3
"(0.0423, 0.0426]",8946748.7
"(0.0426, 0.0428]",9666313.5
"(0.0428, 0.0431]",8341983.1
"(0.0431, 0.0433]",7529148.9
"(0.0433, 0.0435]",9366140.2
"(0.0435, 0.0438]",5696699.600000001
"(0.0438, 0.044]",2656972.3
"(0.044, 0.0443]",1532816.1
"(0.0443, 0.0445]",736812.2
"(0.0445, 0.0448]",1731467.4
"(0.0448, 0.045]",1659729.1
"(0.045, 0.0453]",4852306.5
"(0.0453, 0.0455]",3584602.3
"(0.0455, 0.0458]",3573536.6
"(0.0458, 0.046]",3194975.5
"(0.046, 0.0462]",4330397.0
"(0.0462, 0.0465]",2424910.3
"(0.0465, 0.0467]",2599989.9
"(0.0467, 0.047]",1989044.7
"(0.047, 0.0472]",3669352.3
"(0.0472, 0.0475]",4119911.5
"(0.0475, 0.0477]",1779185.8
