ts,open,high,low,close,vol,bin
1770768000000,0.079,0.07914,0.079,0.07913,294573.0,"(0.0789, 0.0797]"
1770768060000,0.07913,0.07963,0.079,0.07928,188110.0,"(0.0789, 0.0797]"
1770768120000,0.07929,0.07963,0.07925,0.07949,248018.0,"(0.0789, 0.0797]"
1770768180000,0.07952,0.0799,0.07949,0.07963,156111.0,"(0.0789, 0.0797]"
1770768240000,0.07964,0.07974,0.0792,0.07926,166434.0,"(0.0789, 0.0797]"
1770768300000,0.07926,0.07944,0.07899,0.0791,163933.0,"(0.0789, 0.0797]"
1770768360000,0.07912,0.07951,0.07911,0.07924,49394.0,"(0.0789, 0.0797]"
1770768420000,0.07928,0.07928,0.07906,0.07912,29024.0,"(0.0789, 0.0797]"
1770768480000,0.07912,0.07943,0.07912,0.07924,113961.0,"(0.0789, 0.0797]"
1770768540000,0.07929,0.07929,0.07913,0.07915,79849.0,"(0.0789, 0.0797]"
1770768600000,0.07915,0.07927,0.07913,0.07922,161163.0,"(0.0789, 0.0797]"
1770768660000,0.07922,0.07934,0.07917,0.07923,28704.0,"(0.0789, 0.0797]"
1770768720000,0.07926,0.07926,0.07916,0.07921,28782.0,"(0.0789, 0.0797]"
1770768780000,0.07924,0.07926,0.07913,0.07919,34433.0,"(0.0789, 0.0797]"
1770768840000,0.07923,0.07934,0.07918,0.07929,14671.0,"(0.0789, 0.0797]"
1770768900000,0.07931,0.07932,0.07911,0.07925,36847.0,"(0.0789, 0.0797]"
1770768960000,0.07928,0.07954,0.07928,0.07946,116013.0,"(0.0789, 0.0797]"
1770769020000,0.07946,0.07968,0.07936,0.07944,188363.0,"(0.0789, 0.0797]"
1770769080000,0.07946,0.07946,0.07926,0.07931,49370.0,"(0.0789, 0.0797]"
1770769140000,0.07934,0.07951,0.07927,0.07938,49851.0,"(0.0789, 0.0797]"
1770769200000,0.07942,0.07975,0.07941,0.07963,83685.0,"(0.0789, 0.0797]"
1770769260000,0.07967,0.07993,0.07944,0.07985,147924.0,"(0.0797, 0.0805]"
1770769320000,0.07974,0.0802,0.07969,0.07994,137145.0,"(0.0797, 0.0805]"
1770769380000,0.07995,0.07995,0.07963,0.0798,98859.0,"(0.0797, 0.0805]"
1770769440000,0.07974,0.0804,0.0797,0.0802,305799.0,"(0.0797, 0.0805]"
1770769500000,0.08013,0.08048,0.08,0.08025,137313.0,"(0.0797, 0.0805]"
1770769560000,0.08028,0.08096,0.08022,0.08071,258015.0,"(0.0797, 0.0805]"
1770769620000,0.08071,0.0808,0.08064,0.08078,60774.0,"(0.0805, 0.0813]"
1770769680000,0.08073,0.08073,0.08034,0.08042,77305.0,"(0.0805, 0.0813]"
1770769740000,0.08042,0.0805,0.08024,0.08025,85694.0,"(0.0797, 0.0805]"
1770769800000,0.08037,0.08037,0.07983,0.07989,43640.0,"(0.0797, 0.0805]"
1770769860000,0.07986,0.07996,0.07968,0.07988,64640.0,"(0.0797, 0.0805]"
1770769920000,0.07989,0.07999,0.07977,0.07993,15916.0,"(0.0797, 0.0805]"
1770769980000,0.0799,0.0799,0.07969,0.07982,28614.0,"(0.0797, 0.0805]"
1770770040000,0.07975,0.0799,0.07958,0.07958,99424.0,"(0.0789, 0.0797]"
1770770100000,0.07958,0.07972,0.07946,0.07964,68079.0,"(0.0789, 0.0797]"
1770770160000,0.07965,0.07988,0.07963,0.07978,156544.0,"(0.0797, 0.0805]"
1770770220000,0.07977,0.07986,0.07971,0.07979,26961.0,"(0.0797, 0.0805]"
1770770280000,0.07978,0.07982,0.07968,0.0798,10560.0,"(0.0797, 0.0805]"
1770770340000,0.07977,0.07985,0.07965,0.07975,31233.0,"(0.0797, 0.0805]"
1770770400000,0.07975,0.07982,0.07971,0.07971,5303.0,"(0.0797, 0.0805]"
1770770460000,0.07976,0.08025,0.07964,0.08014,227115.0,"(0.0797, 0.0805]"
1770770520000,0.08011,0.0802,0.07993,0.08003,54848.0,"(0.0797, 0.0805]"
1770770580000,0.07999,0.08004,0.07993,0.08002,12326.0,"(0.0797, 0.0805]"
1770770640000,0.08006,0.08019,0.07989,0.08018,50230.0,"(0.0797, 0.0805]"
1770770700000,0.08014,0.08029,0.08013,0.08026,27797.0,"(0.0797, 0.0805]"
1770770760000,0.08021,0.08026,0.08004,0.08011,28561.0,"(0.0797, 0.0805]"
1770770820000,0.08004,0.08023,0.08004,0.08016,18637.0,"(0.0797, 0.0805]"
1770770880000,0.08015,0.08024,0.08013,0.08024,9870.0,"(0.0797, 0.0805]"
1770770940000,0.08019,0.08024,0.08016,0.08016,3494.0,"(0.0797, 0.0805]"
1770771000000,0.08018,0.08023,0.08006,0.08008,47699.0,"(0.0797, 0.0805]"
1770771060000,0.08012,0.08012,0.07978,0.07996,62042.0,"(0.0797, 0.0805]"
1770771120000,0.07996,0.08004,0.07994,0.07996,10486.0,"(0.0797, 0.0805]"
1770771180000,0.07997,0.08008,0.07965,0.07983,89319.0,"(0.0797, 0.0805]"
1770771240000,0.07983,0.07991,0.07977,0.0799,21009.0,"(0.0797, 0.0805]"
1770771300000,0.07983,0.07983,0.07942,0.07956,158604.0,"(0.0789, 0.0797]"
1770771360000,0.07953,0.07962,0.07931,0.07931,127283.0,"(0.0789, 0.0797]"
1770771420000,0.07937,0.07939,0.0788,0.07882,357675.0,"(0.0789, 0.0797]"
1770771480000,0.07887,0.07887,0.07817,0.07817,694410.0,"(0.0781, 0.0789]"
1770771540000,0.0782,0.07839,0.07774,0.07806,382155.0,"(0.0781, 0.0789]"
1770771600000,0.07806,0.07835,0.078,0.07835,134170.0,"(0.0781, 0.0789]"
1770771660000,0.07828,0.07859,0.07827,0.07838,187540.0,"(0.0781, 0.0789]"
1770771720000,0.07838,0.07843,0.07751,0.0782,598678.0,"(0.0781, 0.0789]"
1770771780000,0.0782,0.07826,0.07762,0.07764,205881.0,"(0.0772, 0.0781]"
1770771840000,0.0777,0.07789,0.07741,0.07774,173704.0,"(0.0772, 0.0781]"
1770771900000,0.07774,0.0778,0.0776,0.07766,74239.0,"(0.0772, 0.0781]"
1770771960000,0.07769,0.07796,0.07768,0.07791,59239.0,"(0.0772, 0.0781]"
1770772020000,0.07785,0.0779,0.07775,0.07785,33383.0,"(0.0772, 0.0781]"
1770772080000,0.07785,0.07786,0.07752,0.0776,48752.0,"(0.0772, 0.0781]"
1770772140000,0.0776,0.07792,0.0775,0.07762,204165.0,"(0.0772, 0.0781]"
1770772200000,0.0776,0.0776,0.07703,0.07715,260062.0,"(0.0772, 0.0781]"
1770772260000,0.07722,0.07779,0.07722,0.07776,132083.0,"(0.0772, 0.0781]"
1770772320000,0.07776,0.07822,0.07768,0.07802,225830.0,"(0.0772, 0.0781]"
1770772380000,0.07806,0.07817,0.07797,0.07797,40722.0,"(0.0772, 0.0781]"
1770772440000,0.07798,0.07806,0.07795,0.078,9264.0,"(0.0772, 0.0781]"
1770772500000,0.07795,0.07832,0.07795,0.07832,84841.0,"(0.0781, 0.0789]"
1770772560000,0.07833,0.07909,0.07833,0.07868,592220.0,"(0.0781, 0.0789]"
1770772620000,0.07864,0.07867,0.0785,0.07855,43230.0,"(0.0781, 0.0789]"
1770772680000,0.07856,0.07884,0.07855,0.0787,132159.0,"(0.0781, 0.0789]"
1770772740000,0.07866,0.07866,0.0785,0.07855,17003.0,"(0.0781, 0.0789]"
1770772800000,0.07852,0.07852,0.07806,0.07813,111542.0,"(0.0781, 0.0789]"
1770772860000,0.07809,0.07817,0.07808,0.07817,8021.0,"(0.0781, 0.0789]"
1770772920000,0.07817,0.07821,0.07802,0.07807,16411.0,"(0.0781, 0.0789]"
1770772980000,0.07803,0.07816,0.07794,0.07804,43570.0,"(0.0772, 0.0781]"
1770773040000,0.07805,0.07805,0.07769,0.07769,57452.0,"(0.0772, 0.0781]"
1770773100000,0.07774,0.07804,0.07774,0.07804,152102.0,"(0.0772, 0.0781]"
1770773160000,0.078,0.078,0.07789,0.07793,15450.0,"(0.0772, 0.0781]"
1770773220000,0.07793,0.07794,0.07756,0.07763,193607.0,"(0.0772, 0.0781]"
1770773280000,0.0776,0.07768,0.07727,0.07767,209485.0,"(0.0772, 0.0781]"
1770773340000,0.07767,0.07774,0.07723,0.07734,195167.0,"(0.0772, 0.0781]"
1770773400000,0.07736,0.07753,0.07717,0.07749,83315.0,"(0.0772, 0.0781]"
1770773460000,0.07752,0.07764,0.07741,0.07764,42792.0,"(0.0772, 0.0781]"
1770773520000,0.07759,0.0777,0.07759,0.0776,9154.0,"(0.0772, 0.0781]"
1770773580000,0.0776,0.07772,0.07726,0.07726,290823.0,"(0.0772, 0.0781]"
1770773640000,0.07731,0.0774,0.07708,0.07731,75334.0,"(0.0772, 0.0781]"
1770773700000,0.07731,0.0774,0.07702,0.0773,247730.0,"(0.0772, 0.0781]"
1770773760000,0.0773,0.0773,0.07702,0.07712,106336.0,"(0.0764, 0.0772]"
1770773820000,0.07709,0.07716,0.0767,0.07688,263539.0,"(0.0764, 0.0772]"
1770773880000,0.07685,0.0769,0.07666,0.07669,234696.0,"(0.0764, 0.0772]"
1770773940000,0.07678,0.07688,0.07642,0.07647,337672.0,"(0.0764, 0.0772]"
1770774000000,0.07647,0.0765,0.07543,0.07582,1042756.0,"(0.0756, 0.0764]"
1770774060000,0.07581,0.07586,0.07525,0.07548,532488.0,"(0.0756, 0.0764]"
1770774120000,0.07552,0.07573,0.07528,0.07573,217081.0,"(0.0756, 0.0764]"
1770774180000,0.07573,0.07597,0.07506,0.0755,690710.0,"(0.0756, 0.0764]"
1770774240000,0.07548,0.0755,0.07522,0.07536,150036.0,"(0.0748, 0.0756]"
1770774300000,0.0754,0.07554,0.07532,0.07553,113215.0,"(0.0748, 0.0756]"
1770774360000,0.07547,0.07555,0.07508,0.07517,144825.0,"(0.0748, 0.0756]"
1770774420000,0.07517,0.07616,0.07517,0.076,670701.0,"(0.0748, 0.0756]"
1770774480000,0.076,0.076,0.0757,0.07587,126248.0,"(0.0756, 0.0764]"
1770774540000,0.07586,0.07595,0.0758,0.0758,29768.0,"(0.0756, 0.0764]"
1770774600000,0.07578,0.07585,0.07562,0.0757,66273.0,"(0.0756, 0.0764]"
1770774660000,0.0757,0.07578,0.07568,0.07571,37378.0,"(0.0756, 0.0764]"
1770774720000,0.0757,0.07585,0.07568,0.07581,59300.0,"(0.0756, 0.0764]"
1770774780000,0.07581,0.07597,0.07578,0.07585,101974.0,"(0.0756, 0.0764]"
1770774840000,0.07578,0.076,0.07577,0.07581,75456.0,"(0.0756, 0.0764]"
1770774900000,0.07581,0.07589,0.07577,0.07583,30493.0,"(0.0756, 0.0764]"
1770774960000,0.07584,0.07588,0.07576,0.07585,45659.0,"(0.0756, 0.0764]"
1770775020000,0.07585,0.076,0.07576,0.07594,25291.0,"(0.0756, 0.0764]"
1770775080000,0.07594,0.07624,0.07594,0.07617,106637.0,"(0.0756, 0.0764]"
1770775140000,0.07612,0.07653,0.0761,0.07635,137555.0,"(0.0756, 0.0764]"
1770775200000,0.07634,0.07649,0.07625,0.0764,84543.0,"(0.0756, 0.0764]"
1770775260000,0.07641,0.07666,0.07627,0.07627,75132.0,"(0.0756, 0.0764]"
1770775320000,0.07628,0.07691,0.0762,0.07682,128099.0,"(0.0764, 0.0772]"
1770775380000,0.07677,0.07744,0.07677,0.07724,294390.0,"(0.0764, 0.0772]"
1770775440000,0.07724,0.07727,0.0771,0.07722,42041.0,"(0.0764, 0.0772]"
1770775500000,0.07721,0.07759,0.07716,0.07746,224816.0,"(0.0772, 0.0781]"
1770775560000,0.07744,0.0786,0.07744,0.07854,666164.0,"(0.0772, 0.0781]"
1770775620000,0.07848,0.07939,0.07846,0.07921,984160.0,"(0.0781, 0.0789]"
1770775680000,0.07921,0.07966,0.0789,0.07939,459018.0,"(0.0789, 0.0797]"
1770775740000,0.07931,0.07948,0.07855,0.07869,488412.0,"(0.0789, 0.0797]"
1770775800000,0.07873,0.07906,0.07846,0.07886,263251.0,"(0.0781, 0.0789]"
1770775860000,0.07885,0.07906,0.0784,0.079,353635.0,"(0.0789, 0.0797]"
1770775920000,0.07902,0.07929,0.07884,0.07927,228371.0,"(0.0789, 0.0797]"
1770775980000,0.07922,0.07973,0.07916,0.07965,347896.0,"(0.0789, 0.0797]"
1770776040000,0.07965,0.07974,0.07942,0.07948,159650.0,"(0.0789, 0.0797]"
1770776100000,0.07948,0.07972,0.07926,0.07966,189344.0,"(0.0789, 0.0797]"
1770776160000,0.07963,0.07992,0.07945,0.07956,258231.0,"(0.0789, 0.0797]"
1770776220000,0.07955,0.0796,0.0793,0.07938,71413.0,"(0.0789, 0.0797]"
1770776280000,0.07941,0.07955,0.0793,0.07952,122747.0,"(0.0789, 0.0797]"
1770776340000,0.07951,0.07952,0.07925,0.07925,22630.0,"(0.0789, 0.0797]"
1770776400000,0.07924,0.07927,0.0788,0.07883,54558.0,"(0.0789, 0.0797]"
1770776460000,0.07884,0.07889,0.07861,0.07873,168285.0,"(0.0781, 0.0789]"
1770776520000,0.07872,0.07904,0.07844,0.07894,185118.0,"(0.0781, 0.0789]"
1770776580000,0.07903,0.07967,0.07897,0.07963,168492.0,"(0.0789, 0.0797]"
1770776640000,0.07957,0.07978,0.07931,0.07964,110217.0,"(0.0789, 0.0797]"
1770776700000,0.07959,0.07975,0.07927,0.0794,181377.0,"(0.0789, 0.0797]"
1770776760000,0.07935,0.07943,0.07892,0.07917,170832.0,"(0.0789, 0.0797]"
1770776820000,0.07912,0.0792,0.07909,0.07914,39754.0,"(0.0789, 0.0797]"
1770776880000,0.07919,0.07926,0.07908,0.07926,136297.0,"(0.0789, 0.0797]"
1770776940000,0.07925,0.07967,0.07925,0.07964,97418.0,"(0.0789, 0.0797]"
1770777000000,0.07966,0.07978,0.07937,0.07942,124679.0,"(0.0789, 0.0797]"
1770777060000,0.07947,0.07952,0.07922,0.07929,26422.0,"(0.0789, 0.0797]"
1770777120000,0.07925,0.07968,0.07923,0.07967,88108.0,"(0.0789, 0.0797]"
1770777180000,0.07966,0.08029,0.07965,0.08023,155329.0,"(0.0797, 0.0805]"
1770777240000,0.08026,0.08166,0.08025,0.08156,1327623.0,"(0.0805, 0.0813]"
1770777300000,0.08149,0.0828,0.08142,0.08203,1122316.0,"(0.0813, 0.0821]"
1770777360000,0.08207,0.08244,0.08181,0.08221,351957.0,"(0.0813, 0.0821]"
1770777420000,0.08217,0.08237,0.08204,0.08214,137716.0,"(0.0821, 0.083]"
1770777480000,0.08208,0.08268,0.08186,0.08218,952418.0,"(0.0813, 0.0821]"
1770777540000,0.08218,0.0822,0.08175,0.08198,577088.0,"(0.0813, 0.0821]"
1770777600000,0.08195,0.082,0.08144,0.08191,218585.0,"(0.0813, 0.0821]"
1770777660000,0.08193,0.08219,0.08184,0.08201,345163.0,"(0.0813, 0.0821]"
1770777720000,0.08201,0.08203,0.08169,0.08169,37487.0,"(0.0813, 0.0821]"
1770777780000,0.08168,0.08183,0.08148,0.08163,60219.0,"(0.0813, 0.0821]"
1770777840000,0.08159,0.08202,0.08148,0.08187,89682.0,"(0.0813, 0.0821]"
1770777900000,0.08191,0.0822,0.08181,0.0822,488782.0,"(0.0813, 0.0821]"
1770777960000,0.0822,0.0822,0.08192,0.08195,132967.0,"(0.0813, 0.0821]"
1770778020000,0.08201,0.08212,0.08172,0.082,355092.0,"(0.0813, 0.0821]"
1770778080000,0.082,0.0822,0.08186,0.082,589417.0,"(0.0813, 0.0821]"
1770778140000,0.08199,0.08199,0.08121,0.08127,223181.0,"(0.0813, 0.0821]"
1770778200000,0.08127,0.08183,0.08114,0.08158,180866.0,"(0.0813, 0.0821]"
1770778260000,0.08159,0.08162,0.08125,0.08145,77804.0,"(0.0813, 0.0821]"
1770778320000,0.08144,0.08148,0.08096,0.0813,305034.0,"(0.0813, 0.0821]"
1770778380000,0.08127,0.08168,0.081,0.08166,269516.0,"(0.0813, 0.0821]"
1770778440000,0.08162,0.08201,0.08059,0.08076,517899.0,"(0.0805, 0.0813]"
1770778500000,0.08077,0.08103,0.07979,0.08004,539758.0,"(0.0797, 0.0805]"
1770778560000,0.08001,0.08031,0.07982,0.0803,455478.0,"(0.0797, 0.0805]"
1770778620000,0.08031,0.08056,0.08013,0.08056,107460.0,"(0.0797, 0.0805]"
1770778680000,0.08047,0.08071,0.08027,0.08053,60045.0,"(0.0797, 0.0805]"
1770778740000,0.0805,0.08066,0.0804,0.08052,31901.0,"(0.0797, 0.0805]"
1770778800000,0.08053,0.08075,0.08046,0.08052,106298.0,"(0.0805, 0.0813]"
1770778860000,0.08053,0.08055,0.0801,0.08046,106650.0,"(0.0797, 0.0805]"
1770778920000,0.08042,0.08042,0.07997,0.08021,60992.0,"(0.0797, 0.0805]"
1770778980000,0.08016,0.0804,0.08016,0.08021,85879.0,"(0.0797, 0.0805]"
1770779040000,0.08024,0.08079,0.08004,0.0805,163260.0,"(0.0797, 0.0805]"
1770779100000,0.0805,0.08052,0.07975,0.07977,213494.0,"(0.0797, 0.0805]"
1770779160000,0.07979,0.0802,0.0797,0.07983,192607.0,"(0.0797, 0.0805]"
1770779220000,0.07982,0.08031,0.07967,0.08017,254613.0,"(0.0797, 0.0805]"
1770779280000,0.08023,0.0804,0.0801,0.0802,28692.0,"(0.0797, 0.0805]"
1770779340000,0.08023,0.08038,0.08015,0.0802,16954.0,"(0.0797, 0.0805]"
1770779400000,0.08018,0.08039,0.07968,0.07981,184174.0,"(0.0797, 0.0805]"
1770779460000,0.07982,0.07988,0.07956,0.07988,93928.0,"(0.0797, 0.0805]"
1770779520000,0.07988,0.07997,0.07952,0.07955,81176.0,"(0.0797, 0.0805]"
1770779580000,0.07962,0.07966,0.07945,0.07945,41407.0,"(0.0789, 0.0797]"
1770779640000,0.07952,0.07969,0.07934,0.07964,56553.0,"(0.0789, 0.0797]"
1770779700000,0.07962,0.07964,0.07933,0.07938,69230.0,"(0.0789, 0.0797]"
1770779760000,0.07942,0.07952,0.07928,0.07952,68425.0,"(0.0789, 0.0797]"
1770779820000,0.07953,0.08052,0.07953,0.08018,440910.0,"(0.0797, 0.0805]"
1770779880000,0.08022,0.08022,0.07956,0.07969,183561.0,"(0.0797, 0.0805]"
1770779940000,0.07969,0.07969,0.07939,0.07945,67769.0,"(0.0789, 0.0797]"
1770780000000,0.07944,0.0795,0.07903,0.07912,167245.0,"(0.0789, 0.0797]"
1770780060000,0.07914,0.07974,0.07904,0.07974,117995.0,"(0.0789, 0.0797]"
1770780120000,0.07975,0.08016,0.07972,0.07992,137028.0,"(0.0797, 0.0805]"
1770780180000,0.07989,0.0799,0.0793,0.07938,110508.0,"(0.0789, 0.0797]"
1770780240000,0.07933,0.07959,0.07915,0.07959,108016.0,"(0.0789, 0.0797]"
1770780300000,0.07959,0.07975,0.07959,0.07961,27610.0,"(0.0789, 0.0797]"
1770780360000,0.07962,0.08002,0.07959,0.07985,60075.0,"(0.0797, 0.0805]"
1770780420000,0.07993,0.08033,0.07993,0.07999,59831.0,"(0.0797, 0.0805]"
1770780480000,0.08003,0.08051,0.0799,0.08037,255719.0,"(0.0797, 0.0805]"
1770780540000,0.08031,0.08057,0.08019,0.08057,87994.0,"(0.0797, 0.0805]"
1770780600000,0.08057,0.08072,0.08051,0.08072,73215.0,"(0.0805, 0.0813]"
1770780660000,0.08072,0.08149,0.08063,0.08116,432192.0,"(0.0805, 0.0813]"
1770780720000,0.08112,0.08142,0.08087,0.08115,137639.0,"(0.0805, 0.0813]"
1770780780000,0.0812,0.08148,0.08109,0.08134,192450.0,"(0.0805, 0.0813]"
1770780840000,0.08132,0.08132,0.0812,0.08122,21390.0,"(0.0805, 0.0813]"
1770780900000,0.08123,0.08132,0.0811,0.0811,62111.0,"(0.0805, 0.0813]"
1770780960000,0.08114,0.08126,0.08097,0.08108,80515.0,"(0.0805, 0.0813]"
1770781020000,0.08099,0.08105,0.08054,0.08071,230302.0,"(0.0805, 0.0813]"
1770781080000,0.08074,0.08104,0.08074,0.08084,25344.0,"(0.0805, 0.0813]"
1770781140000,0.0809,0.08092,0.08077,0.08077,27008.0,"(0.0805, 0.0813]"
1770781200000,0.08079,0.08114,0.08079,0.08114,54875.0,"(0.0805, 0.0813]"
1770781260000,0.08114,0.08124,0.08091,0.08124,47925.0,"(0.0805, 0.0813]"
1770781320000,0.0812,0.0822,0.08119,0.08182,393448.0,"(0.0813, 0.0821]"
1770781380000,0.08184,0.08219,0.08181,0.0819,107718.0,"(0.0813, 0.0821]"
1770781440000,0.0819,0.08197,0.08158,0.08182,144441.0,"(0.0813, 0.0821]"
1770781500000,0.08177,0.0818,0.08151,0.08169,72567.0,"(0.0813, 0.0821]"
1770781560000,0.08158,0.08158,0.08109,0.08118,180296.0,"(0.0813, 0.0821]"
1770781620000,0.08115,0.08162,0.08096,0.0813,83743.0,"(0.0805, 0.0813]"
1770781680000,0.08131,0.0814,0.0812,0.0813,24099.0,"(0.0805, 0.0813]"
1770781740000,0.08122,0.08124,0.08081,0.08122,64909.0,"(0.0805, 0.0813]"
1770781800000,0.08123,0.08136,0.08102,0.08123,31862.0,"(0.0805, 0.0813]"
1770781860000,0.08117,0.08121,0.0808,0.08098,79560.0,"(0.0805, 0.0813]"
