bin,vol
"(0.0511, 0.0519]",13310414.0
"(0.0519, 0.0527]",27548957.0
"(0.0527, 0.0536]",117006037.0
"(0.0536, 0.0544]",184431353.0
"(0.0544, 0.0552]",121687081.0
"(0.0552, 0.056]",85426643.0
"(0.056, 0.0568]",108949135.0
"(0.0568, 0.0576]",306040249.0
"(0.0576, 0.0585]",376126443.0
"(0.0585, 0.0593]",453112608.0
"(0.0593, 0.0601]",534473486.0
"(0.0601, 0.0609]",577312252.0
"(0.0609, 0.0617]",473705724.0
"(0.0617, 0.0625]",374904348.0
"(0.0625, 0.0634]",195482647.0
"(0.0634, 0.0642]",126297622.0
"(0.0642, 0.065]",103914022.0
"(0.065, 0.0658]",41120965.0
"(0.0658, 0.0666]",92211129.0
"(0.0666, 0.0674]",72263690.0
"(0.0674, 0.0683]",57357176.0
"(0.0683, 0.0691]",43601526.0
"(0.0691, 0.0699]",128650234.0
"(0.0699, 0.0707]",136313468.0
"(0.0707, 0.0715]",129489047.0
"(0.0715, 0.0723]",97038320.0
"(0.0723, 0.0732]",95405932.0
"(0.0732, 0.074]",68257738.0
"(0.074, 0.0748]",65098466.0
"(0.0748, 0.0756]",103649579.0
"(0.0756, 0.0764]",210888670.0
"(0.0764, 0.0772]",199942876.0
"(0.0772, 0.0781]",251067373.0
"(0.0781, 0.0789]",152820735.0
"(0.0789, 0.0797]",151556498.0
"(0.0797, 0.0805]",129249998.0
"(0.0805, 0.0813]",80572642.0
"(0.0813, 0.0821]",109925789.0
"(0.0821, 0.083]",158523947.0
"(0.083, 0.0838]",182263545.0
"(0.0838, 0.0846]",120371900.0
"(0.0846, 0.0854]",70910809.0
"(0.0854, 0.0862]",14371275.0
"(0.0862, 0.087]",1978742.0
