ts,open,high,low,close,vol,bin
1770508800000,0.901,0.903,0.901,0.901,811.0,"(0.894, 0.908]"
1770508860000,0.901,0.903,0.9,0.902,1110.5,"(0.894, 0.908]"
1770508920000,0.902,0.904,0.902,0.904,2378.5,"(0.894, 0.908]"
1770508980000,0.903,0.905,0.903,0.905,763.7,"(0.894, 0.908]"
1770509040000,0.904,0.91,0.904,0.91,3082.0,"(0.894, 0.908]"
1770509100000,0.91,0.913,0.909,0.913,3109.8,"(0.908, 0.921]"
1770509160000,0.912,0.912,0.911,0.911,694.0,"(0.908, 0.921]"
1770509220000,0.911,0.918,0.911,0.918,5997.0,"(0.908, 0.921]"
1770509280000,0.918,0.918,0.9,0.902,44335.2,"(0.908, 0.921]"
1770509340000,0.901,0.903,0.901,0.903,2677.9,"(0.894, 0.908]"
1770509400000,0.903,0.906,0.9,0.903,27918.8,"(0.894, 0.908]"
1770509460000,0.903,0.905,0.899,0.901,16667.5,"(0.894, 0.908]"
1770509520000,0.901,0.901,0.899,0.899,610.4,"(0.894, 0.908]"
1770509580000,0.898,0.899,0.897,0.898,2431.9,"(0.894, 0.908]"
1770509640000,0.899,0.9,0.898,0.9,2301.7,"(0.894, 0.908]"
1770509700000,0.9,0.9,0.897,0.898,2122.7,"(0.894, 0.908]"
1770509760000,0.897,0.902,0.897,0.9,6018.2,"(0.894, 0.908]"
1770509820000,0.9,0.901,0.9,0.901,27.1,"(0.894, 0.908]"
1770509880000,0.9,0.901,0.9,0.9,206.6,"(0.894, 0.908]"
1770509940000,0.9,0.9,0.899,0.899,426.6,"(0.894, 0.908]"
1770510000000,0.899,0.9,0.899,0.899,116.1,"(0.894, 0.908]"
1770510060000,0.899,0.9,0.898,0.899,532.4,"(0.894, 0.908]"
1770510120000,0.899,0.9,0.899,0.899,126.5,"(0.894, 0.908]"
1770510180000,0.899,0.9,0.899,0.899,1035.7,"(0.894, 0.908]"
1770510240000,0.898,0.899,0.898,0.899,125.0,"(0.894, 0.908]"
1770510300000,0.899,0.9,0.899,0.9,380.6,"(0.894, 0.908]"
1770510360000,0.9,0.903,0.899,0.903,750.4,"(0.894, 0.908]"
1770510420000,0.903,0.907,0.903,0.907,1320.5,"(0.894, 0.908]"
1770510480000,0.906,0.909,0.905,0.907,5809.2,"(0.894, 0.908]"
1770510540000,0.907,0.908,0.907,0.908,748.4,"(0.894, 0.908]"
1770510600000,0.907,0.912,0.907,0.912,8791.7,"(0.908, 0.921]"
1770510660000,0.911,0.912,0.911,0.912,936.8,"(0.908, 0.921]"
1770510720000,0.913,0.914,0.912,0.914,2476.8,"(0.908, 0.921]"
1770510780000,0.914,0.914,0.907,0.91,20455.1,"(0.908, 0.921]"
1770510840000,0.911,0.912,0.905,0.909,17512.4,"(0.908, 0.921]"
1770510900000,0.909,0.913,0.908,0.912,4116.0,"(0.908, 0.921]"
1770510960000,0.913,0.913,0.909,0.909,1374.2,"(0.908, 0.921]"
1770511020000,0.909,0.91,0.909,0.909,2037.5,"(0.908, 0.921]"
1770511080000,0.909,0.91,0.909,0.909,154.5,"(0.908, 0.921]"
1770511140000,0.91,0.91,0.907,0.907,1404.5,"(0.908, 0.921]"
1770511200000,0.907,0.907,0.903,0.904,1242.5,"(0.894, 0.908]"
1770511260000,0.905,0.906,0.905,0.906,526.0,"(0.894, 0.908]"
1770511320000,0.905,0.906,0.904,0.904,2357.8,"(0.894, 0.908]"
1770511380000,0.903,0.904,0.902,0.904,1321.5,"(0.894, 0.908]"
1770511440000,0.903,0.904,0.902,0.903,1646.4,"(0.894, 0.908]"
1770511500000,0.902,0.904,0.901,0.903,1307.5,"(0.894, 0.908]"
1770511560000,0.903,0.903,0.902,0.902,104.3,"(0.894, 0.908]"
1770511620000,0.903,0.903,0.902,0.903,268.6,"(0.894, 0.908]"
1770511680000,0.903,0.904,0.902,0.903,797.5,"(0.894, 0.908]"
1770511740000,0.902,0.906,0.902,0.906,2505.2,"(0.894, 0.908]"
