bin,vol
"(0.773, 0.786]",585014.7
"(0.786, 0.8]",2083599.6
"(0.8, 0.813]",2956921.6
"(0.813, 0.827]",3305329.7
"(0.827, 0.84]",5185633.4
"(0.84, 0.854]",4990765.8
"(0.854, 0.867]",1801161.1
"(0.867, 0.881]",1472656.7
"(0.881, 0.894]",1773155.0
"(0.894, 0.908]",1285341.8
"(0.908, 0.921]",885751.9
"(0.921, 0.935]",2351335.9
"(0.935, 0.948]",1574939.0
"(0.948, 0.961]",3438136.6999999997
"(0.961, 0.975]",3368503.7
"(0.975, 0.988]",3650169.4
"(0.988, 1.002]",7469692.7
"(1.002, 1.015]",8734726.2
"(1.015, 1.029]",7666609.1
"(1.029, 1.042]",3856609.3
"(1.042, 1.056]",3989682.5
"(1.056, 1.069]",3667179.6
"(1.069, 1.083]",2346224.3
"(1.083, 1.096]",1723962.7
"(1.096, 1.11]",2057922.5
"(1.11, 1.123]",861724.1
"(1.123, 1.136]",1079197.4
"(1.136, 1.15]",1311547.0
"(1.15, 1.163]",1183785.6
"(1.163, 1.177]",631549.9
"(1.177, 1.19]",2613404.8
"(1.19, 1.204]",1949981.3
"(1.204, 1.217]",2144298.2
"(1.217, 1.231]",8895891.8
"(1.231, 1.244]",6029486.4
"(1.244, 1.258]",7787382.100000001
"(1.258, 1.271]",3406461.4
"(1.271, 1.284]",3061070.5
"(1.284, 1.298]",3975916.1
"(1.298, 1.311]",8876704.9
"(1.311, 1.325]",8537653.1
"(1.325, 1.338]",7921488.1
"(1.338, 1.352]",6579707.699999999
"(1.352, 1.365]",6614539.0
"(1.365, 1.379]",10019733.5
"(1.379, 1.392]",4580383.4
"(1.392, 1.406]",5645396.9
"(1.406, 1.419]",7332165.3
"(1.419, 1.433]",4052408.6
"(1.433, 1.446]",349335.1
