bin,vol
"(0.00774, 0.00777]",2042967.0
"(0.00777, 0.00779]",6277192.0
"(0.00779, 0.00782]",8730092.0
"(0.00782, 0.00784]",6545340.0
"(0.00784, 0.00787]",6499121.0
"(0.00787, 0.0079]",11935745.0
"(0.0079, 0.00792]",6798418.0
"(0.00792, 0.00795]",11744549.0
"(0.00795, 0.00797]",15137692.0
"(0.00797, 0.008]",23100944.0
"(0.008, 0.00803]",17232974.0
"(0.00803, 0.00805]",21209124.0
"(0.00805, 0.00808]",11065503.0
"(0.00808, 0.0081]",7586590.0
"(0.0081, 0.00813]",26527377.0
"(0.00813, 0.00816]",24489253.0
"(0.00816, 0.00818]",21972992.0
"(0.00818, 0.00821]",15246588.0
"(0.00821, 0.00823]",16427872.0
"(0.00823, 0.00826]",22430151.0
"(0.00826, 0.00829]",14986712.0
"(0.00829, 0.00831]",17730107.0
"(0.00831, 0.00834]",10736812.0
"(0.00834, 0.00836]",17401311.0
"(0.00836, 0.00839]",15723183.0
"(0.00839, 0.00842]",9047659.0
"(0.00842, 0.00844]",14087005.0
"(0.00844, 0.00847]",11312467.0
"(0.00847, 0.00849]",12959697.0
"(0.00849, 0.00852]",24344168.0
"(0.00852, 0.00855]",12044588.0
"(0.00855, 0.00857]",7993380.0
"(0.00857, 0.0086]",9103940.0
"(0.0086, 0.00862]",7209867.0
"(0.00862, 0.00865]",15267960.0
"(0.00865, 0.00868]",7334712.0
"(0.00868, 0.0087]",6472131.0
"(0.0087, 0.00873]",5695318.0
"(0.00873, 0.00875]",5036961.0
"(0.00875, 0.00878]",816744.0
"(0.00878, 0.00881]",3739904.0
"(0.00881, 0.00883]",1109337.0
"(0.00883, 0.00886]",469796.0
"(0.00886, 0.00888]",4000243.0
"(0.00888, 0.00891]",9357432.0
"(0.00891, 0.00894]",4381136.0
"(0.00894, 0.00896]",3329190.0
"(0.00896, 0.00899]",1434877.0
"(0.00899, 0.00901]",2087577.0
"(0.00901, 0.00904]",1180552.0
