ts,open,high,low,close,vol,bin
1768464000000,0.8499,0.9899,0.8034,0.9508,1417630.0,"(0.9, 0.915]"
1768464060000,0.9485,0.9589,0.9102,0.9418,923182.0,"(0.93, 0.945]"
1768464120000,0.9432,0.9518,0.93,0.942,640104.0,"(0.93, 0.945]"
1768464180000,0.9433,1.0123,0.9372,1.0023,1100209.0,"(0.96, 0.975]"
1768464240000,1.0014,1.0633,0.996,1.0302,1410958.0,"(1.006, 1.021]"
1768464300000,1.0302,1.076,1.014,1.066,1164315.0,"(1.036, 1.051]"
1768464360000,1.0659,1.118,1.0467,1.07,1274115.0,"(1.066, 1.082]"
1768464420000,1.0701,1.1284,1.04,1.1116,1362638.0,"(1.082, 1.097]"
1768464480000,1.1119,1.161,1.0934,1.142,1657998.0,"(1.112, 1.127]"
1768464540000,1.1438,1.1498,1.1033,1.124,1064107.0,"(1.127, 1.142]"
1768464600000,1.1239,1.151,1.1007,1.1166,1247397.0,"(1.112, 1.127]"
1768464660000,1.1141,1.1242,1.0693,1.0987,1290610.0,"(1.097, 1.112]"
1768464720000,1.0987,1.1075,1.0775,1.0994,924572.0,"(1.097, 1.112]"
1768464780000,1.0994,1.13,1.0938,1.1268,1147471.0,"(1.112, 1.127]"
1768464840000,1.1269,1.1331,1.1031,1.1231,779954.0,"(1.112, 1.127]"
1768464900000,1.1231,1.144,1.1,1.1183,1147454.0,"(1.112, 1.127]"
1768464960000,1.1183,1.1326,1.1036,1.1145,646678.0,"(1.112, 1.127]"
1768465020000,1.1141,1.135,1.1059,1.1316,780082.0,"(1.112, 1.127]"
1768465080000,1.131,1.1494,1.11,1.1198,933726.0,"(1.112, 1.127]"
1768465140000,1.1193,1.1216,1.0924,1.1131,570982.0,"(1.112, 1.127]"
1768465200000,1.1128,1.12,1.09,1.1002,618238.0,"(1.097, 1.112]"
1768465260000,1.1002,1.1368,1.0361,1.06,2455041.0,"(1.066, 1.082]"
1768465320000,1.06,1.079,1.0173,1.0639,1910372.0,"(1.051, 1.066]"
1768465380000,1.0639,1.0786,1.0554,1.0662,785558.0,"(1.051, 1.066]"
1768465440000,1.0663,1.0787,1.0517,1.0749,661317.0,"(1.066, 1.082]"
1768465500000,1.0757,1.0834,1.067,1.0694,392854.0,"(1.066, 1.082]"
1768465560000,1.0703,1.0724,1.0524,1.0578,510892.0,"(1.051, 1.066]"
1768465620000,1.0584,1.0729,1.0544,1.0729,439841.0,"(1.051, 1.066]"
1768465680000,1.0729,1.0747,1.0429,1.0585,523517.0,"(1.051, 1.066]"
1768465740000,1.0585,1.0742,1.0582,1.0732,405579.0,"(1.051, 1.066]"
1768465800000,1.0738,1.088,1.0545,1.0637,757754.0,"(1.066, 1.082]"
1768465860000,1.0638,1.0663,1.0506,1.0563,502479.0,"(1.051, 1.066]"
1768465920000,1.0563,1.065,1.0481,1.0572,345281.0,"(1.051, 1.066]"
1768465980000,1.0567,1.0628,1.0345,1.0489,647776.0,"(1.051, 1.066]"
1768466040000,1.0493,1.0602,1.0489,1.0593,337751.0,"(1.051, 1.066]"
1768466100000,1.0593,1.0647,1.0554,1.0601,338117.0,"(1.051, 1.066]"
1768466160000,1.0609,1.0853,1.0608,1.0778,809937.0,"(1.066, 1.082]"
1768466220000,1.0777,1.1388,1.0705,1.1058,1244879.0,"(1.082, 1.097]"
1768466280000,1.1057,1.1116,1.0934,1.1027,558195.0,"(1.097, 1.112]"
1768466340000,1.1031,1.129,1.1024,1.1238,618719.0,"(1.112, 1.127]"
1768466400000,1.1241,1.1256,1.1042,1.1161,474277.0,"(1.112, 1.127]"
1768466460000,1.1157,1.1227,1.1,1.1188,379576.0,"(1.112, 1.127]"
1768466520000,1.1185,1.1256,1.1143,1.1215,365266.0,"(1.112, 1.127]"
1768466580000,1.1211,1.137,1.115,1.1227,679356.0,"(1.112, 1.127]"
1768466640000,1.123,1.1596,1.1208,1.1525,954248.0,"(1.127, 1.142]"
1768466700000,1.153,1.1915,1.153,1.1732,1736703.0,"(1.157, 1.172]"
1768466760000,1.173,1.1954,1.1728,1.1777,831692.0,"(1.172, 1.188]"
1768466820000,1.1783,1.1882,1.167,1.1688,671812.0,"(1.172, 1.188]"
1768466880000,1.168,1.1763,1.164,1.1739,483483.0,"(1.157, 1.172]"
1768466940000,1.1739,1.1752,1.166,1.17,312323.0,"(1.157, 1.172]"
1768467000000,1.1699,1.1865,1.1699,1.1831,624730.0,"(1.172, 1.188]"
1768467060000,1.1831,1.19,1.1741,1.177,483818.0,"(1.172, 1.188]"
1768467120000,1.177,1.1797,1.1094,1.1376,1594516.0,"(1.142, 1.157]"
1768467180000,1.1375,1.1582,1.12,1.1482,756508.0,"(1.142, 1.157]"
1768467240000,1.1479,1.16,1.1476,1.1549,524760.0,"(1.142, 1.157]"
1768467300000,1.1556,1.1585,1.144,1.1572,390158.0,"(1.142, 1.157]"
1768467360000,1.1572,1.1664,1.1485,1.1615,413940.0,"(1.157, 1.172]"
