bin,vol
"(0.733, 0.748]",868117.0
"(0.748, 0.763]",22873083.0
"(0.763, 0.779]",34900209.0
"(0.779, 0.794]",87153572.0
"(0.794, 0.809]",68697667.0
"(0.809, 0.824]",44872893.0
"(0.824, 0.839]",23862839.0
"(0.839, 0.854]",20877025.0
"(0.854, 0.869]",24035477.0
"(0.869, 0.885]",30434784.0
"(0.885, 0.9]",16676348.0
"(0.9, 0.915]",23531997.0
"(0.915, 0.93]",25109391.0
"(0.93, 0.945]",24636171.0
"(0.945, 0.96]",32526240.0
"(0.96, 0.975]",32765727.0
"(0.975, 0.991]",43121230.0
"(0.991, 1.006]",29751385.0
"(1.006, 1.021]",30955369.0
"(1.021, 1.036]",24500501.0
"(1.036, 1.051]",38838331.0
"(1.051, 1.066]",33230003.0
"(1.066, 1.082]",68132358.0
"(1.082, 1.097]",89235226.0
"(1.097, 1.112]",106375603.0
"(1.112, 1.127]",135125358.0
"(1.127, 1.142]",91900624.0
"(1.142, 1.157]",89632528.0
"(1.157, 1.172]",107522150.0
"(1.172, 1.188]",94284689.0
"(1.188, 1.203]",71733751.0
"(1.203, 1.218]",60151967.0
"(1.218, 1.233]",34863887.0
"(1.233, 1.248]",27469804.0
"(1.248, 1.263]",21720720.0
"(1.263, 1.278]",15993033.0
"(1.278, 1.294]",15067081.0
"(1.294, 1.309]",9462125.0
"(1.309, 1.324]",7466454.0
"(1.324, 1.339]",13221198.0
"(1.339, 1.354]",14476628.0
"(1.354, 1.369]",4800009.0
"(1.369, 1.385]",5800116.0
"(1.385, 1.4]",5396745.0
"(1.4, 1.415]",9217594.0
"(1.415, 1.43]",7938126.0
"(1.43, 1.445]",14301348.0
"(1.445, 1.46]",4172888.0
"(1.46, 1.475]",1915921.0
