ts,open,high,low,close,vol,bin
1772668800000,0.088,0.088,0.087,0.088,2297.6,"(0.0873, 0.0884]"
1772668860000,0.088,0.088,0.087,0.088,6063.1,"(0.0873, 0.0884]"
1772668920000,0.087,0.088,0.087,0.087,7292.7,"(0.0861, 0.0873]"
1772668980000,0.087,0.088,0.087,0.087,4241.5,"(0.0861, 0.0873]"
1772669040000,0.087,0.088,0.087,0.088,16956.6,"(0.0873, 0.0884]"
1772669100000,0.087,0.088,0.087,0.087,19199.7,"(0.0861, 0.0873]"
1772669160000,0.087,0.088,0.087,0.088,1958.7,"(0.0873, 0.0884]"
1772669220000,0.087,0.088,0.087,0.087,5038.7,"(0.0861, 0.0873]"
1772669280000,0.087,0.088,0.087,0.088,2643.9,"(0.0873, 0.0884]"
1772669340000,0.087,0.088,0.087,0.088,421.2,"(0.0873, 0.0884]"
1772669400000,0.087,0.087,0.087,0.087,35107.7,"(0.0861, 0.0873]"
1772669460000,0.087,0.088,0.087,0.087,4919.1,"(0.0861, 0.0873]"
1772669520000,0.087,0.087,0.087,0.087,685.6,"(0.0861, 0.0873]"
1772669580000,0.087,0.088,0.087,0.088,6418.2,"(0.0873, 0.0884]"
1772669640000,0.087,0.088,0.087,0.088,953.6,"(0.0873, 0.0884]"
1772669700000,0.087,0.088,0.087,0.088,2109.3,"(0.0873, 0.0884]"
1772669760000,0.087,0.088,0.087,0.088,726.3,"(0.0873, 0.0884]"
1772669820000,0.088,0.088,0.087,0.087,952.2,"(0.0873, 0.0884]"
1772669880000,0.087,0.088,0.087,0.087,1995.7,"(0.0861, 0.0873]"
1772669940000,0.088,0.088,0.087,0.087,5121.5,"(0.0873, 0.0884]"
1772670000000,0.087,0.088,0.087,0.087,1136.6,"(0.0861, 0.0873]"
1772670060000,0.087,0.088,0.087,0.088,1212.7,"(0.0873, 0.0884]"
1772670120000,0.087,0.088,0.087,0.087,2986.5,"(0.0861, 0.0873]"
1772670180000,0.087,0.087,0.087,0.087,448.9,"(0.0861, 0.0873]"
