bin,vol
"(0.077, 0.0781]",2801179.5
"(0.0781, 0.0793]",6423012.9
"(0.0793, 0.0804]",6684328.1
"(0.0804, 0.0816]",10338953.2
"(0.0816, 0.0827]",9386847.2
"(0.0827, 0.0838]",7787782.5
"(0.0838, 0.085]",11938535.8
"(0.085, 0.0861]",14208029.2
"(0.0861, 0.0873]",943219.8999999999
"(0.0873, 0.0884]",3876449.3
"(0.0884, 0.0895]",2766777.7
"(0.0895, 0.0907]",2129079.6999999997
"(0.0907, 0.0918]",1462251.1
"(0.0918, 0.093]",2876284.5
"(0.093, 0.0941]",7548184.7
"(0.0941, 0.0952]",870586.0
"(0.0952, 0.0964]",2464946.4
"(0.0964, 0.0975]",8056272.7
"(0.0975, 0.0987]",2365892.3
"(0.0987, 0.0998]",1841872.2999999998
"(0.0998, 0.101]",4355330.800000001
"(0.104, 0.106]",2759901.7
"(0.107, 0.108]",1173861.7
"(0.108, 0.109]",3574922.8
"(0.109, 0.11]",4058861.7
"(0.11, 0.111]",13245828.3
"(0.111, 0.112]",5452350.0
"(0.112, 0.113]",5025122.8
"(0.113, 0.115]",1434105.0
"(0.115, 0.116]",2044891.1
"(0.116, 0.117]",10975371.299999999
"(0.117, 0.118]",16025972.2
"(0.118, 0.119]",13412155.4
"(0.119, 0.12]",14211543.5
"(0.12, 0.121]",15791213.1
"(0.121, 0.123]",22682499.3
"(0.123, 0.124]",9243632.9
"(0.124, 0.125]",21964497.0
"(0.125, 0.126]",18360815.0
"(0.126, 0.127]",4310132.2
"(0.127, 0.128]",6525420.2
"(0.128, 0.129]",11911866.2
"(0.129, 0.131]",7416301.7
"(0.131, 0.132]",1817580.0
"(0.132, 0.133]",1049404.9
