ts,open,high,low,close,vol,bin
1768780800000,0.0002404,0.0002405,0.000225,0.0002268,421356181.0,"(0.0002331, 0.0002339]"
1768780860000,0.0002268,0.0002332,0.0002082,0.000211,874931190.0,"(0.0002181, 0.0002189]"
1768780920000,0.0002118,0.0002187,0.0002066,0.0002163,468319208.0,"(0.0002134, 0.0002142]"
1768780980000,0.0002168,0.0002259,0.0002098,0.0002218,343905996.0,"(0.0002189, 0.0002197]"
1768781040000,0.0002219,0.0002282,0.0002219,0.0002275,189210143.0,"(0.0002244, 0.0002252]"
1768781100000,0.0002275,0.0002291,0.000227,0.000229,194647875.0,"(0.0002276, 0.0002284]"
1768781160000,0.000229,0.0002303,0.0002271,0.0002286,214836919.0,"(0.0002284, 0.0002292]"
1768781220000,0.0002286,0.0002286,0.0002255,0.0002275,170494330.0,"(0.0002276, 0.0002284]"
1768781280000,0.0002272,0.0002287,0.0002251,0.0002262,88775488.0,"(0.000226, 0.0002268]"
1768781340000,0.0002262,0.0002266,0.0002241,0.0002261,182762858.0,"(0.000226, 0.0002268]"
1768781400000,0.0002264,0.0002278,0.0002257,0.0002271,146984283.0,"(0.000226, 0.0002268]"
1768781460000,0.0002271,0.0002275,0.0002256,0.0002259,57527451.0,"(0.000226, 0.0002268]"
1768781520000,0.0002258,0.0002268,0.0002251,0.0002261,40410908.0,"(0.0002252, 0.000226]"
1768781580000,0.0002261,0.0002273,0.0002254,0.0002256,60409609.0,"(0.0002252, 0.000226]"
1768781640000,0.0002256,0.0002261,0.0002247,0.0002253,62735903.0,"(0.0002252, 0.000226]"
1768781700000,0.0002252,0.0002257,0.0002238,0.0002248,93361477.0,"(0.0002244, 0.0002252]"
1768781760000,0.0002248,0.0002252,0.0002237,0.0002243,61788303.0,"(0.0002244, 0.0002252]"
1768781820000,0.0002246,0.0002281,0.0002241,0.0002275,92929824.0,"(0.000226, 0.0002268]"
1768781880000,0.0002274,0.0002274,0.0002256,0.0002263,44554995.0,"(0.0002268, 0.0002276]"
1768781940000,0.0002263,0.0002269,0.0002252,0.0002257,33208987.0,"(0.0002252, 0.000226]"
1768782000000,0.0002258,0.0002258,0.000223,0.0002238,49962280.0,"(0.0002244, 0.0002252]"
1768782060000,0.000224,0.0002246,0.0002228,0.0002236,70341833.0,"(0.0002236, 0.0002244]"
1768782120000,0.0002235,0.0002241,0.0002222,0.0002235,57278201.0,"(0.0002228, 0.0002236]"
1768782180000,0.0002232,0.0002262,0.0002232,0.0002247,139766325.0,"(0.0002236, 0.0002244]"
1768782240000,0.0002246,0.0002247,0.000224,0.0002242,29052198.0,"(0.0002236, 0.0002244]"
1768782300000,0.0002242,0.0002246,0.0002234,0.0002244,22677612.0,"(0.0002236, 0.0002244]"
1768782360000,0.0002244,0.0002248,0.000224,0.0002241,41648139.0,"(0.0002236, 0.0002244]"
1768782420000,0.0002241,0.0002245,0.0002232,0.000224,35166952.0,"(0.0002236, 0.0002244]"
1768782480000,0.0002239,0.0002243,0.0002234,0.0002241,20072284.0,"(0.0002236, 0.0002244]"
1768782540000,0.0002241,0.0002271,0.0002241,0.0002254,90724799.0,"(0.0002244, 0.0002252]"
1768782600000,0.0002254,0.0002255,0.0002237,0.0002241,65518300.0,"(0.0002244, 0.0002252]"
