bin,vol
"(0.0002055, 0.0002063]",33823333.0
"(0.0002063, 0.000207]",332375735.0
"(0.000207, 0.0002078]",644822582.0
"(0.0002078, 0.0002086]",194080650.0
"(0.0002086, 0.0002094]",497134942.0
"(0.0002094, 0.0002102]",538637886.0
"(0.0002102, 0.000211]",480602894.0
"(0.000211, 0.0002118]",300592012.0
"(0.0002118, 0.0002126]",366366851.0
"(0.0002126, 0.0002134]",838943387.0
"(0.0002134, 0.0002142]",1348027973.0
"(0.0002142, 0.000215]",254623629.0
"(0.000215, 0.0002157]",173499282.0
"(0.0002157, 0.0002165]",94042239.0
"(0.0002165, 0.0002173]",112176597.0
"(0.0002173, 0.0002181]",380527306.0
"(0.0002181, 0.0002189]",2250159559.0
"(0.0002189, 0.0002197]",2099688319.0
"(0.0002197, 0.0002205]",2681537326.0
"(0.0002205, 0.0002213]",1989625511.0
"(0.0002213, 0.0002221]",2006886480.0
"(0.0002221, 0.0002228]",2112172027.0
"(0.0002228, 0.0002236]",3530636020.0
"(0.0002236, 0.0002244]",4471099831.0
"(0.0002244, 0.0002252]",4984197742.0
"(0.0002252, 0.000226]",4001645958.0
"(0.000226, 0.0002268]",5078428949.0
"(0.0002268, 0.0002276]",4370485825.0
"(0.0002276, 0.0002284]",5423466095.0
"(0.0002284, 0.0002292]",4165760759.0
"(0.0002292, 0.00023]",4114470855.0
"(0.00023, 0.0002308]",5239320534.0
"(0.0002308, 0.0002315]",3731028550.0
"(0.0002315, 0.0002323]",2519699390.0
"(0.0002323, 0.0002331]",2131643214.0
"(0.0002331, 0.0002339]",2242170064.0
"(0.0002339, 0.0002347]",1189613208.0
"(0.0002347, 0.0002355]",1108767051.0
"(0.0002355, 0.0002363]",686212683.0
"(0.0002363, 0.0002371]",493572097.0
"(0.0002371, 0.0002379]",894877654.0
"(0.0002379, 0.0002386]",1178928778.0
"(0.0002386, 0.0002394]",1467104460.0
"(0.0002394, 0.0002402]",344142268.0
"(0.0002402, 0.000241]",1168107333.0
