ts,open,high,low,close,vol,bin
1772064000000,0.012,0.012012,0.011993,0.012007,67734.0,"(0.0119, 0.012]"
1772064060000,0.012007,0.012007,0.011978,0.011985,111631.0,"(0.0119, 0.012]"
1772064120000,0.01198,0.01198,0.011959,0.011965,160679.0,"(0.0119, 0.012]"
1772064180000,0.011966,0.011967,0.011944,0.01195,342605.0,"(0.0119, 0.012]"
1772064240000,0.01195,0.011953,0.011939,0.011946,139925.0,"(0.0119, 0.012]"
1772064300000,0.011946,0.011958,0.011941,0.011941,144398.0,"(0.0119, 0.012]"
1772064360000,0.011945,0.01196,0.01194,0.011953,66008.0,"(0.0119, 0.012]"
1772064420000,0.011952,0.011973,0.011952,0.011971,122208.0,"(0.0119, 0.012]"
1772064480000,0.011973,0.012,0.01196,0.011973,769951.0,"(0.0119, 0.012]"
1772064540000,0.011973,0.012014,0.011972,0.012014,319555.0,"(0.0119, 0.012]"
1772064600000,0.012014,0.012026,0.012005,0.012017,131677.0,"(0.012, 0.0121]"
1772064660000,0.012016,0.012026,0.012001,0.01202,429998.0,"(0.012, 0.0121]"
1772064720000,0.012022,0.012047,0.012022,0.012041,86916.0,"(0.012, 0.0121]"
1772064780000,0.01204,0.01204,0.012021,0.012021,47216.0,"(0.012, 0.0121]"
1772064840000,0.012022,0.012022,0.012014,0.012018,55700.0,"(0.012, 0.0121]"
1772064900000,0.012017,0.012026,0.012017,0.012026,140641.0,"(0.012, 0.0121]"
1772064960000,0.012025,0.012025,0.011997,0.012012,142513.0,"(0.012, 0.0121]"
1772065020000,0.012013,0.012037,0.012013,0.012037,80367.0,"(0.012, 0.0121]"
1772065080000,0.012037,0.01205,0.012036,0.012045,67601.0,"(0.012, 0.0121]"
1772065140000,0.012043,0.012043,0.012031,0.012039,52690.0,"(0.012, 0.0121]"
1772065200000,0.012041,0.012061,0.012041,0.012059,40292.0,"(0.012, 0.0121]"
1772065260000,0.012058,0.012058,0.012032,0.012035,116098.0,"(0.012, 0.0121]"
1772065320000,0.012035,0.012072,0.012035,0.01207,95193.0,"(0.012, 0.0121]"
