bin,vol
"(0.011, 0.0111]",22833817.0
"(0.0111, 0.0112]",91842449.0
"(0.0112, 0.0114]",136666711.0
"(0.0114, 0.0115]",97397468.0
"(0.0115, 0.0116]",107334258.0
"(0.0116, 0.0118]",141679875.0
"(0.0118, 0.0119]",135808571.0
"(0.0119, 0.012]",73286850.0
"(0.012, 0.0121]",109931808.0
"(0.0121, 0.0123]",199467547.0
"(0.0123, 0.0124]",179510305.0
"(0.0124, 0.0125]",142280365.0
"(0.0125, 0.0127]",156807938.0
"(0.0127, 0.0128]",255551809.0
"(0.0128, 0.0129]",533083984.0
"(0.0129, 0.0131]",393356558.0
"(0.0131, 0.0132]",130635012.0
"(0.0132, 0.0133]",137904932.0
"(0.0133, 0.0134]",131944798.0
"(0.0134, 0.0136]",114661205.0
"(0.0136, 0.0137]",103149148.0
"(0.0137, 0.0138]",96474433.0
"(0.0138, 0.014]",94245391.0
"(0.014, 0.0141]",126889268.0
"(0.0141, 0.0142]",100920511.0
"(0.0142, 0.0144]",134219726.0
"(0.0144, 0.0145]",95246519.0
"(0.0145, 0.0146]",91921073.0
"(0.0146, 0.0147]",128913290.0
"(0.0147, 0.0149]",195725314.0
"(0.0149, 0.015]",221223421.0
"(0.015, 0.0151]",183558961.0
"(0.0151, 0.0153]",113696746.0
"(0.0153, 0.0154]",145012143.0
"(0.0154, 0.0155]",102860503.0
"(0.0155, 0.0157]",64925864.0
"(0.0157, 0.0158]",45842157.0
"(0.0158, 0.0159]",138286708.0
"(0.0159, 0.016]",87977677.0
"(0.016, 0.0162]",131971615.0
"(0.0162, 0.0163]",158045277.0
"(0.0163, 0.0164]",221314814.0
"(0.0164, 0.0166]",291331337.0
"(0.0166, 0.0167]",181063681.0
"(0.0167, 0.0168]",152453979.0
"(0.0168, 0.017]",138919584.0
"(0.017, 0.0171]",131863718.0
"(0.0171, 0.0172]",90789900.0
"(0.0172, 0.0173]",247244820.0
"(0.0173, 0.0175]",72384573.0
