ts,open,high,low,close,vol,bin
1770508800000,0.0705,0.0706,0.0703,0.0703,36436.0,"(0.0703, 0.0706]"
1770508860000,0.0703,0.0705,0.0703,0.0704,31971.0,"(0.0703, 0.0706]"
1770508920000,0.0705,0.0706,0.0704,0.0704,43323.0,"(0.0703, 0.0706]"
1770508980000,0.0703,0.0704,0.0703,0.0703,39531.0,"(0.0701, 0.0703]"
1770509040000,0.0703,0.0704,0.0702,0.0703,36144.0,"(0.0701, 0.0703]"
1770509100000,0.0703,0.0704,0.0703,0.0704,11173.0,"(0.0703, 0.0706]"
1770509160000,0.0703,0.0705,0.0703,0.0704,4762.0,"(0.0703, 0.0706]"
1770509220000,0.0705,0.0705,0.0704,0.0704,2816.0,"(0.0703, 0.0706]"
1770509280000,0.0705,0.0705,0.0704,0.0705,4335.0,"(0.0703, 0.0706]"
1770509340000,0.0705,0.0705,0.0704,0.0704,2704.0,"(0.0703, 0.0706]"
1770509400000,0.0704,0.0705,0.0704,0.0704,17496.0,"(0.0703, 0.0706]"
1770509460000,0.0704,0.0704,0.0704,0.0704,84.0,"(0.0703, 0.0706]"
1770509520000,0.0704,0.0704,0.0703,0.0703,5259.0,"(0.0703, 0.0706]"
1770509580000,0.0704,0.0704,0.0703,0.0703,3493.0,"(0.0703, 0.0706]"
1770509640000,0.0703,0.0705,0.0703,0.0705,39355.0,"(0.0703, 0.0706]"
1770509700000,0.0704,0.0705,0.0704,0.0704,2144.0,"(0.0703, 0.0706]"
1770509760000,0.0704,0.0705,0.0704,0.0705,406.0,"(0.0703, 0.0706]"
1770509820000,0.0705,0.0705,0.0704,0.0705,8626.0,"(0.0703, 0.0706]"
1770509880000,0.0705,0.0706,0.0705,0.0705,25765.0,"(0.0703, 0.0706]"
1770509940000,0.0705,0.0705,0.0704,0.0705,7572.0,"(0.0703, 0.0706]"
1770510000000,0.0705,0.0705,0.0704,0.0704,842.0,"(0.0703, 0.0706]"
1770510060000,0.0704,0.0705,0.0704,0.0704,1054.0,"(0.0703, 0.0706]"
1770510120000,0.0705,0.0705,0.0704,0.0704,2431.0,"(0.0703, 0.0706]"
1770510180000,0.0704,0.0705,0.0704,0.0705,12201.0,"(0.0703, 0.0706]"
1770510240000,0.0705,0.0705,0.0703,0.0704,29110.0,"(0.0703, 0.0706]"
1770510300000,0.0704,0.0705,0.0702,0.0704,43613.0,"(0.0703, 0.0706]"
1770510360000,0.0704,0.0705,0.0704,0.0705,4276.0,"(0.0703, 0.0706]"
1770510420000,0.0706,0.0706,0.0704,0.0704,17429.0,"(0.0703, 0.0706]"
1770510480000,0.0703,0.0704,0.0703,0.0704,2690.0,"(0.0703, 0.0706]"
1770510540000,0.0704,0.0704,0.0702,0.0703,6359.0,"(0.0703, 0.0706]"
1770510600000,0.0702,0.0703,0.0702,0.0703,1833.0,"(0.0701, 0.0703]"
