bin,vol
"(0.0642, 0.0644]",207733.0
"(0.0644, 0.0647]",973828.0
"(0.0647, 0.0649]",1971777.0
"(0.0649, 0.0651]",3226786.0
"(0.0651, 0.0654]",6587443.0
"(0.0654, 0.0656]",5417609.0
"(0.0656, 0.0659]",7984746.0
"(0.0659, 0.0661]",4684092.0
"(0.0661, 0.0663]",6911654.0
"(0.0663, 0.0666]",5645881.0
"(0.0666, 0.0668]",21731421.0
"(0.0668, 0.067]",8403327.0
"(0.067, 0.0673]",9952919.0
"(0.0673, 0.0675]",11359364.0
"(0.0675, 0.0677]",7511344.0
"(0.0677, 0.068]",12320314.0
"(0.068, 0.0682]",13353015.0
"(0.0682, 0.0684]",14231185.0
"(0.0684, 0.0687]",19431556.0
"(0.0687, 0.0689]",17755673.0
"(0.0689, 0.0692]",18411040.0
"(0.0692, 0.0694]",19675075.0
"(0.0694, 0.0696]",23415908.0
"(0.0696, 0.0699]",23476418.0
"(0.0699, 0.0701]",17254301.0
"(0.0701, 0.0703]",19953366.0
"(0.0703, 0.0706]",22762440.0
"(0.0706, 0.0708]",15985222.0
"(0.0708, 0.071]",12249257.0
"(0.071, 0.0713]",9084161.0
"(0.0713, 0.0715]",9500337.0
"(0.0715, 0.0718]",12613481.0
"(0.0718, 0.072]",5569636.0
"(0.072, 0.0722]",5429971.0
"(0.0722, 0.0725]",5286185.0
"(0.0725, 0.0727]",7176415.0
"(0.0727, 0.0729]",14302750.0
"(0.0729, 0.0732]",9591793.0
"(0.0732, 0.0734]",14230760.0
"(0.0734, 0.0736]",4715082.0
"(0.0736, 0.0739]",2624919.0
"(0.0739, 0.0741]",2997034.0
"(0.0741, 0.0743]",2808202.0
"(0.0743, 0.0746]",5066779.0
"(0.0746, 0.0748]",998961.0
"(0.0748, 0.0751]",560146.0
"(0.0753, 0.0755]",3671341.0
