ts,open,high,low,close,vol,bin
1767225600000,0.0807,0.0808,0.0807,0.0808,34811.7,"(0.08008, 0.08085]"
1767225660000,0.0807,0.0809,0.0806,0.0808,538578.5,"(0.08008, 0.08085]"
1767225720000,0.0808,0.0809,0.0808,0.0809,18890.5,"(0.08008, 0.08085]"
1767225780000,0.0808,0.0809,0.0808,0.0809,36526.4,"(0.08008, 0.08085]"
1767225840000,0.0808,0.0809,0.0808,0.0809,9313.8,"(0.08008, 0.08085]"
1767225900000,0.0808,0.081,0.0808,0.0809,83431.0,"(0.08008, 0.08085]"
1767225960000,0.0809,0.0809,0.0809,0.0809,123.0,"(0.08085, 0.08163]"
1767226020000,0.0808,0.0809,0.0808,0.0809,38076.8,"(0.08008, 0.08085]"
1767226080000,0.081,0.081,0.081,0.081,2024.0,"(0.08085, 0.08163]"
1767226140000,0.0809,0.081,0.0808,0.081,57169.0,"(0.08085, 0.08163]"
1767226200000,0.0809,0.0809,0.0808,0.0808,22308.1,"(0.08008, 0.08085]"
1767226260000,0.0808,0.0809,0.0808,0.0808,11335.2,"(0.08008, 0.08085]"
1767226320000,0.0808,0.0808,0.0808,0.0808,30090.0,"(0.08008, 0.08085]"
1767226380000,0.0807,0.0808,0.0807,0.0807,17052.7,"(0.08008, 0.08085]"
1767226440000,0.0807,0.0807,0.0806,0.0806,85555.4,"(0.08008, 0.08085]"
1767226500000,0.0807,0.0807,0.0807,0.0807,2792.1,"(0.08008, 0.08085]"
1767226560000,0.0807,0.0807,0.0807,0.0807,8179.9,"(0.08008, 0.08085]"
1767226620000,0.0807,0.0807,0.0807,0.0807,7800.9,"(0.08008, 0.08085]"
1767226680000,0.0807,0.0807,0.0807,0.0807,15596.7,"(0.08008, 0.08085]"
1767226740000,0.0807,0.0807,0.0807,0.0807,15227.0,"(0.08008, 0.08085]"
1767226800000,0.0807,0.0807,0.0807,0.0807,15602.3,"(0.08008, 0.08085]"
1767226860000,0.0807,0.0807,0.0807,0.0807,8496.2,"(0.08008, 0.08085]"
1767226920000,0.0807,0.0807,0.0807,0.0807,4276.1,"(0.08008, 0.08085]"
1767226980000,0.0807,0.0808,0.0806,0.0807,80076.8,"(0.08008, 0.08085]"
1767227040000,0.0807,0.0808,0.0807,0.0808,8524.6,"(0.08008, 0.08085]"
1767227100000,0.0807,0.0808,0.0807,0.0808,2838.6,"(0.08008, 0.08085]"
1767227160000,0.0808,0.0808,0.0808,0.0808,81.6,"(0.08008, 0.08085]"
1767227220000,0.0808,0.0808,0.0808,0.0808,519.0,"(0.08008, 0.08085]"
1767227280000,0.0808,0.0808,0.0808,0.0808,543.1,"(0.08008, 0.08085]"
1767227340000,0.0808,0.0808,0.0808,0.0808,2401.0,"(0.08008, 0.08085]"
1767227400000,0.0808,0.0808,0.0808,0.0808,65384.4,"(0.08008, 0.08085]"
1767227460000,0.0808,0.0808,0.0808,0.0808,559.9,"(0.08008, 0.08085]"
1767227520000,0.0807,0.0807,0.0807,0.0807,479.2,"(0.08008, 0.08085]"
1767227580000,0.0808,0.0808,0.0808,0.0808,67.8,"(0.08008, 0.08085]"
1767227640000,0.0808,0.0808,0.0807,0.0808,1115.9,"(0.08008, 0.08085]"
1767227700000,0.0808,0.0808,0.0806,0.0806,55201.7,"(0.08008, 0.08085]"
1767227760000,0.0807,0.0807,0.0807,0.0807,197.8,"(0.08008, 0.08085]"
1767227820000,0.0807,0.0807,0.0807,0.0807,0.0,"(0.08008, 0.08085]"
1767227880000,0.0806,0.0806,0.0806,0.0806,80.9,"(0.08008, 0.08085]"
1767227940000,0.0807,0.0807,0.0806,0.0806,11840.4,"(0.08008, 0.08085]"
1767228000000,0.0805,0.0806,0.0805,0.0805,8823.4,"(0.08008, 0.08085]"
1767228060000,0.0806,0.0806,0.0805,0.0806,884.3,"(0.08008, 0.08085]"
1767228120000,0.0805,0.0806,0.0805,0.0806,8691.2,"(0.08008, 0.08085]"
1767228180000,0.0806,0.0806,0.0806,0.0806,13390.1,"(0.08008, 0.08085]"
1767228240000,0.0805,0.0806,0.0804,0.0804,166735.1,"(0.08008, 0.08085]"
1767228300000,0.0804,0.0804,0.0804,0.0804,0.0,"(0.08008, 0.08085]"
1767228360000,0.0805,0.0805,0.0804,0.0805,1881.0,"(0.08008, 0.08085]"
1767228420000,0.0805,0.0805,0.0805,0.0805,1127.0,"(0.08008, 0.08085]"
1767228480000,0.0804,0.0806,0.0804,0.0805,89138.7,"(0.08008, 0.08085]"
1767228540000,0.0805,0.0806,0.0805,0.0806,18242.2,"(0.08008, 0.08085]"
1767228600000,0.0805,0.0806,0.0805,0.0806,660.1,"(0.08008, 0.08085]"
1767228660000,0.0806,0.0806,0.0806,0.0806,4159.5,"(0.08008, 0.08085]"
1767228720000,0.0805,0.0806,0.0805,0.0806,229.4,"(0.08008, 0.08085]"
1767228780000,0.0805,0.0807,0.0804,0.0804,628620.8,"(0.08008, 0.08085]"
1767228840000,0.0804,0.0804,0.0803,0.0804,81706.9,"(0.08008, 0.08085]"
1767228900000,0.0803,0.0803,0.0802,0.0802,103755.4,"(0.08008, 0.08085]"
1767228960000,0.0802,0.0804,0.0802,0.0804,60088.6,"(0.08008, 0.08085]"
1767229020000,0.0803,0.0804,0.0803,0.0804,10692.2,"(0.08008, 0.08085]"
1767229080000,0.0803,0.0803,0.0803,0.0803,32.1,"(0.08008, 0.08085]"
1767229140000,0.0804,0.0804,0.0804,0.0804,753.1,"(0.08008, 0.08085]"
