bin,vol
"(0.0793, 0.08008]",9048881.0
"(0.08008, 0.08085]",10599442.2
"(0.08085, 0.08163]",1442996.9
"(0.08163, 0.0824]",7450149.4
"(0.0824, 0.08318]",5056977.5
"(0.08318, 0.08396]",3747119.6
"(0.08396, 0.08473]",11012970.8
"(0.08473, 0.08551]",8543419.8
"(0.08551, 0.08628]",1739353.8
"(0.08628, 0.08706]",11336053.2
"(0.08706, 0.08784]",5012838.8
"(0.08784, 0.08861]",8319720.100000001
"(0.08861, 0.08939]",12184778.700000001
"(0.08939, 0.09016]",10247192.7
"(0.09016, 0.09094]",11830540.2
"(0.09094, 0.09172]",3505963.6999999997
"(0.09172, 0.09249]",8005406.0
"(0.09249, 0.09327]",18162946.7
"(0.09327, 0.09404]",17445822.0
"(0.09404, 0.09482]",23645569.6
"(0.09482, 0.0956]",18730897.5
"(0.0956, 0.09637]",6593879.9
"(0.09637, 0.09715]",6654561.100000001
"(0.09715, 0.09792]",2119574.6
"(0.09792, 0.0987]",3908089.9
"(0.0987, 0.09948]",13216084.3
"(0.09948, 0.1003]",28292862.1
"(0.1003, 0.101]",14025333.3
"(0.101, 0.1018]",30161590.6
"(0.1018, 0.1026]",33082424.8
"(0.1026, 0.1034]",25407127.6
"(0.1034, 0.1041]",19190337.3
"(0.1041, 0.1049]",13849532.1
"(0.1049, 0.1057]",7050298.8
"(0.1057, 0.1065]",7384176.2
"(0.1065, 0.1072]",17931949.2
"(0.1072, 0.108]",19407291.2
"(0.108, 0.1088]",9137594.6
"(0.1088, 0.1096]",13600613.8
"(0.1096, 0.1103]",21296161.7
"(0.1103, 0.1111]",32061887.4
"(0.1111, 0.1119]",19748331.6
"(0.1119, 0.1127]",24838117.3
"(0.1127, 0.1134]",28925541.1
"(0.1134, 0.1142]",29784100.8
"(0.1142, 0.115]",16750155.5
"(0.115, 0.1158]",9180095.5
"(0.1158, 0.1165]",8680865.0
"(0.1165, 0.1173]",8281117.3
"(0.1173, 0.1181]",3511938.4
