bin,vol
"(0.00544, 0.00552]",206710926.0
"(0.00552, 0.0056]",322696839.0
"(0.0056, 0.00568]",300221866.0
"(0.00568, 0.00576]",313210516.0
"(0.00576, 0.00584]",510516018.0
"(0.00584, 0.00592]",894192125.0
"(0.00592, 0.00599]",152289066.0
"(0.00599, 0.00607]",297998804.0
"(0.00607, 0.00615]",235977765.0
"(0.00615, 0.00623]",360578865.0
"(0.00623, 0.00631]",277307297.0
"(0.00631, 0.00639]",159975203.0
"(0.00639, 0.00647]",144088920.0
"(0.00647, 0.00654]",221406624.0
"(0.00654, 0.00662]",312952699.0
"(0.00662, 0.0067]",264517103.0
"(0.0067, 0.00678]",113038946.0
"(0.00678, 0.00686]",269618554.0
"(0.00686, 0.00694]",318547088.0
"(0.00694, 0.00702]",521809781.0
"(0.00702, 0.00709]",650965016.0
"(0.00709, 0.00717]",258180146.0
"(0.00717, 0.00725]",176425876.0
"(0.00725, 0.00733]",81650432.0
"(0.00733, 0.00741]",57990170.0
"(0.00741, 0.00749]",144405783.0
"(0.00749, 0.00757]",211947063.0
"(0.00757, 0.00764]",261672838.0
"(0.00764, 0.00772]",84815297.0
"(0.00772, 0.0078]",46803007.0
"(0.0078, 0.00788]",147324794.0
"(0.00788, 0.00796]",382775636.0
"(0.00796, 0.00804]",424102555.0
"(0.00804, 0.00812]",42534820.0
"(0.00812, 0.00819]",139684522.0
"(0.00819, 0.00827]",317992619.0
"(0.00827, 0.00835]",486815435.0
"(0.00835, 0.00843]",365826181.0
"(0.00843, 0.00851]",370491933.0
"(0.00851, 0.00859]",707394381.0
"(0.00859, 0.00866]",991946391.0
"(0.00866, 0.00874]",1846097273.0
"(0.00874, 0.00882]",2055569440.0
"(0.00882, 0.0089]",1057976336.0
"(0.0089, 0.00898]",906386319.0
"(0.00898, 0.00906]",673083902.0
"(0.00906, 0.00914]",1238513701.0
"(0.00914, 0.00921]",1344048830.0
"(0.00921, 0.00929]",320675083.0
"(0.00929, 0.00937]",305105560.0
