ts,open,high,low,close,vol,bin
1768608000000,0.05963,0.05965,0.05958,0.05958,31311.0,"(0.0593, 0.0601]"
1768608060000,0.05959,0.05961,0.05958,0.05958,13329.0,"(0.0593, 0.0601]"
1768608120000,0.05959,0.0596,0.05955,0.05955,25680.0,"(0.0593, 0.0601]"
1768608180000,0.05954,0.05954,0.05954,0.05954,2596.0,"(0.0593, 0.0601]"
1768608240000,0.05953,0.05954,0.05952,0.05952,17494.0,"(0.0593, 0.0601]"
1768608300000,0.05951,0.05953,0.05951,0.05953,3987.0,"(0.0593, 0.0601]"
1768608360000,0.05952,0.05952,0.05945,0.05951,99266.0,"(0.0593, 0.0601]"
1768608420000,0.05951,0.05951,0.05945,0.05945,3510.0,"(0.0593, 0.0601]"
1768608480000,0.05944,0.05947,0.05942,0.05946,6126.0,"(0.0593, 0.0601]"
1768608540000,0.05946,0.05948,0.05946,0.05948,3289.0,"(0.0593, 0.0601]"
1768608600000,0.05947,0.05951,0.05947,0.05951,1598.0,"(0.0593, 0.0601]"
1768608660000,0.05951,0.05951,0.05949,0.05949,706.0,"(0.0593, 0.0601]"
1768608720000,0.0595,0.05955,0.0595,0.05955,4904.0,"(0.0593, 0.0601]"
1768608780000,0.05955,0.05958,0.05955,0.05957,2419.0,"(0.0593, 0.0601]"
1768608840000,0.05956,0.05958,0.05956,0.05958,1876.0,"(0.0593, 0.0601]"
1768608900000,0.05958,0.05958,0.05955,0.05955,2060.0,"(0.0593, 0.0601]"
1768608960000,0.05957,0.05965,0.05957,0.05965,5861.0,"(0.0593, 0.0601]"
1768609020000,0.05963,0.05963,0.05958,0.05958,956.0,"(0.0593, 0.0601]"
1768609080000,0.05958,0.05961,0.05958,0.05961,4762.0,"(0.0593, 0.0601]"
1768609140000,0.0596,0.05961,0.05956,0.05956,1739.0,"(0.0593, 0.0601]"
1768609200000,0.05958,0.05959,0.05958,0.05959,168.0,"(0.0593, 0.0601]"
1768609260000,0.05959,0.05959,0.05959,0.05959,0.0,"(0.0593, 0.0601]"
1768609320000,0.0596,0.0596,0.05959,0.05959,693.0,"(0.0593, 0.0601]"
1768609380000,0.05958,0.05958,0.05957,0.05957,1181.0,"(0.0593, 0.0601]"
1768609440000,0.05956,0.05956,0.05956,0.05956,203.0,"(0.0593, 0.0601]"
1768609500000,0.05956,0.0596,0.05955,0.05959,7761.0,"(0.0593, 0.0601]"
1768609560000,0.05959,0.05959,0.05958,0.05958,1946.0,"(0.0593, 0.0601]"
1768609620000,0.05957,0.05957,0.05954,0.05954,2493.0,"(0.0593, 0.0601]"
1768609680000,0.05954,0.05955,0.05953,0.05955,43655.0,"(0.0593, 0.0601]"
1768609740000,0.05955,0.05955,0.05951,0.05951,13666.0,"(0.0593, 0.0601]"
1768609800000,0.0595,0.0595,0.05945,0.05945,734.0,"(0.0593, 0.0601]"
1768609860000,0.05944,0.05946,0.05943,0.05946,26851.0,"(0.0593, 0.0601]"
1768609920000,0.05946,0.05948,0.05945,0.05948,2330.0,"(0.0593, 0.0601]"
1768609980000,0.05948,0.05948,0.05948,0.05948,0.0,"(0.0593, 0.0601]"
1768610040000,0.05946,0.05946,0.05939,0.05939,4473.0,"(0.0593, 0.0601]"
1768610100000,0.05938,0.0594,0.05936,0.05937,1876.0,"(0.0593, 0.0601]"
1768610160000,0.05936,0.05938,0.05936,0.05937,648.0,"(0.0593, 0.0601]"
1768610220000,0.05937,0.05945,0.05937,0.0594,34288.0,"(0.0593, 0.0601]"
1768610280000,0.0594,0.0594,0.05937,0.05937,2083.0,"(0.0593, 0.0601]"
1768610340000,0.05937,0.05939,0.05934,0.05934,4653.0,"(0.0593, 0.0601]"
1768610400000,0.05934,0.05936,0.05934,0.05936,873.0,"(0.0593, 0.0601]"
1768610460000,0.05936,0.0594,0.05936,0.0594,2712.0,"(0.0593, 0.0601]"
1768610520000,0.05941,0.05944,0.05941,0.05944,5426.0,"(0.0593, 0.0601]"
1768610580000,0.05943,0.05947,0.05943,0.05946,14226.0,"(0.0593, 0.0601]"
1768610640000,0.05947,0.05948,0.05945,0.05945,1491.0,"(0.0593, 0.0601]"
1768610700000,0.05945,0.05945,0.05941,0.05943,30938.0,"(0.0593, 0.0601]"
1768610760000,0.05944,0.05948,0.05943,0.05943,80226.0,"(0.0593, 0.0601]"
1768610820000,0.05942,0.05944,0.05942,0.05944,5326.0,"(0.0593, 0.0601]"
1768610880000,0.05943,0.05945,0.05943,0.05945,5481.0,"(0.0593, 0.0601]"
1768610940000,0.05946,0.05947,0.05941,0.05941,96604.0,"(0.0593, 0.0601]"
1768611000000,0.05941,0.05941,0.0594,0.0594,8325.0,"(0.0593, 0.0601]"
1768611060000,0.05938,0.05939,0.05936,0.05937,4324.0,"(0.0593, 0.0601]"
1768611120000,0.05938,0.05938,0.05938,0.05938,9099.0,"(0.0593, 0.0601]"
1768611180000,0.05937,0.05937,0.05937,0.05937,1294.0,"(0.0593, 0.0601]"
1768611240000,0.05936,0.05938,0.05936,0.05937,7290.0,"(0.0593, 0.0601]"
1768611300000,0.05938,0.05939,0.05938,0.05939,6332.0,"(0.0593, 0.0601]"
1768611360000,0.05939,0.05944,0.05939,0.05944,5423.0,"(0.0593, 0.0601]"
1768611420000,0.05944,0.05948,0.05943,0.05948,17511.0,"(0.0593, 0.0601]"
