bin,vol
"(0.0498, 0.0506]",16107346.0
"(0.0506, 0.0514]",19769538.0
"(0.0514, 0.0522]",40765739.0
"(0.0522, 0.053]",40585418.0
"(0.053, 0.0538]",39068613.0
"(0.0538, 0.0546]",30607144.0
"(0.0546, 0.0554]",25802096.0
"(0.0554, 0.0562]",24140554.0
"(0.0562, 0.0569]",19178996.0
"(0.0569, 0.0577]",34126350.0
"(0.0577, 0.0585]",56419756.0
"(0.0585, 0.0593]",49404477.0
"(0.0593, 0.0601]",39178224.0
"(0.0601, 0.0609]",13527167.0
"(0.0609, 0.0617]",34449984.0
"(0.0617, 0.0625]",43706582.0
"(0.0625, 0.0633]",24675672.0
"(0.0633, 0.064]",47343174.0
"(0.064, 0.0648]",100962161.0
"(0.0648, 0.0656]",154964112.0
"(0.0656, 0.0664]",216597781.0
"(0.0664, 0.0672]",259702599.0
"(0.0672, 0.068]",194283384.0
"(0.068, 0.0688]",75589792.0
"(0.0688, 0.0696]",24413291.0
"(0.0696, 0.0704]",44082595.0
"(0.0704, 0.0711]",109892547.0
"(0.0711, 0.0719]",124375634.0
"(0.0719, 0.0727]",145972449.0
"(0.0727, 0.0735]",106454665.0
"(0.0735, 0.0743]",12310521.0
"(0.0743, 0.0751]",18656481.0
"(0.0751, 0.0759]",56257914.0
"(0.0759, 0.0767]",16729067.0
"(0.0767, 0.0775]",48850595.0
"(0.0775, 0.0782]",64626447.0
"(0.0782, 0.079]",175424103.0
"(0.079, 0.0798]",211343608.0
"(0.0798, 0.0806]",239444945.0
"(0.0806, 0.0814]",251545939.0
"(0.0814, 0.0822]",317509815.0
"(0.0822, 0.083]",226521967.0
"(0.083, 0.0838]",204721744.0
"(0.0838, 0.0846]",172640247.0
"(0.0846, 0.0853]",216605324.0
"(0.0853, 0.0861]",177153062.0
"(0.0861, 0.0869]",56133428.0
"(0.0869, 0.0877]",31122814.0
"(0.0877, 0.0885]",48512427.0
"(0.0885, 0.0893]",35830896.0
