ts,open,high,low,close,vol,bin
1769817600000,0.2884,0.2884,0.2877,0.2878,13796.9,"(0.287, 0.291]"
1769817660000,0.2879,0.2879,0.2875,0.2875,7331.5,"(0.287, 0.291]"
1769817720000,0.2875,0.2877,0.2871,0.2871,7166.2,"(0.284, 0.287]"
1769817780000,0.2871,0.2873,0.2869,0.2873,2519.7,"(0.284, 0.287]"
1769817840000,0.2871,0.2872,0.2871,0.2872,807.3,"(0.284, 0.287]"
1769817900000,0.287,0.2875,0.2869,0.2875,5101.9,"(0.284, 0.287]"
1769817960000,0.2874,0.2874,0.2873,0.2874,2350.8,"(0.287, 0.291]"
1769818020000,0.2875,0.2877,0.2875,0.2876,1560.8,"(0.287, 0.291]"
1769818080000,0.2876,0.2877,0.2876,0.2876,611.1,"(0.287, 0.291]"
1769818140000,0.2876,0.2876,0.2873,0.2874,6580.5,"(0.287, 0.291]"
1769818200000,0.2874,0.2876,0.2873,0.2876,2950.6,"(0.287, 0.291]"
1769818260000,0.2876,0.2876,0.2873,0.2873,2501.7,"(0.287, 0.291]"
1769818320000,0.2874,0.2875,0.2871,0.2875,10082.3,"(0.287, 0.291]"
1769818380000,0.2873,0.2879,0.2873,0.2879,1001.4,"(0.287, 0.291]"
1769818440000,0.2877,0.2878,0.2877,0.2877,650.8,"(0.287, 0.291]"
1769818500000,0.2877,0.2877,0.2872,0.2873,5067.3,"(0.287, 0.291]"
1769818560000,0.2873,0.2875,0.2871,0.2873,541.2,"(0.284, 0.287]"
1769818620000,0.2872,0.2873,0.2871,0.2872,529.6,"(0.284, 0.287]"
1769818680000,0.2871,0.2873,0.2871,0.2871,464.2,"(0.284, 0.287]"
1769818740000,0.2871,0.2871,0.2866,0.2869,2361.9,"(0.284, 0.287]"
1769818800000,0.2867,0.2869,0.2858,0.2867,20053.1,"(0.284, 0.287]"
1769818860000,0.2866,0.2866,0.2865,0.2866,1425.4,"(0.284, 0.287]"
1769818920000,0.2865,0.2866,0.2864,0.2866,1014.9,"(0.284, 0.287]"
1769818980000,0.2867,0.2869,0.2864,0.2864,1380.7,"(0.284, 0.287]"
1769819040000,0.2864,0.2864,0.2861,0.2862,5231.3,"(0.284, 0.287]"
1769819100000,0.2861,0.2865,0.2861,0.2864,961.3,"(0.284, 0.287]"
1769819160000,0.2864,0.2866,0.2864,0.2865,297.1,"(0.284, 0.287]"
1769819220000,0.2866,0.2868,0.2866,0.2866,2347.3,"(0.284, 0.287]"
1769819280000,0.2866,0.2868,0.2865,0.2866,3456.5,"(0.284, 0.287]"
1769819340000,0.2865,0.2866,0.2864,0.2865,887.0,"(0.284, 0.287]"
1769819400000,0.2865,0.2865,0.2861,0.2863,6613.9,"(0.284, 0.287]"
1769819460000,0.2862,0.2862,0.286,0.2861,945.5,"(0.284, 0.287]"
1769819520000,0.2859,0.286,0.2857,0.2857,4557.8,"(0.284, 0.287]"
1769819580000,0.2857,0.2858,0.2856,0.2857,2043.7,"(0.284, 0.287]"
1769819640000,0.2857,0.2857,0.2854,0.2857,1734.0,"(0.284, 0.287]"
1769819700000,0.2857,0.2859,0.2857,0.2857,1321.6,"(0.284, 0.287]"
1769819760000,0.2858,0.286,0.2857,0.2857,1166.2,"(0.284, 0.287]"
1769819820000,0.2859,0.2861,0.2858,0.2861,2692.4,"(0.284, 0.287]"
1769819880000,0.286,0.2863,0.286,0.2862,1261.0,"(0.284, 0.287]"
1769819940000,0.2861,0.2862,0.286,0.2862,3598.5,"(0.284, 0.287]"
1769820000000,0.2862,0.2866,0.2862,0.2865,4441.4,"(0.284, 0.287]"
1769820060000,0.2864,0.2865,0.2863,0.2863,620.2,"(0.284, 0.287]"
1769820120000,0.2862,0.2862,0.2859,0.2859,660.8,"(0.284, 0.287]"
1769820180000,0.286,0.286,0.286,0.286,31.1,"(0.284, 0.287]"
1769820240000,0.2859,0.2859,0.2858,0.2859,1167.2,"(0.284, 0.287]"
1769820300000,0.2859,0.2859,0.2855,0.2855,794.5,"(0.284, 0.287]"
1769820360000,0.2854,0.2855,0.2854,0.2854,731.3,"(0.284, 0.287]"
1769820420000,0.2852,0.2853,0.2851,0.2851,1105.0,"(0.284, 0.287]"
1769820480000,0.2851,0.2852,0.285,0.2852,820.2,"(0.284, 0.287]"
1769820540000,0.2851,0.2854,0.2851,0.2852,4348.0,"(0.284, 0.287]"
1769820600000,0.2852,0.2853,0.2851,0.2851,858.1,"(0.284, 0.287]"
1769820660000,0.2851,0.2851,0.2844,0.2847,6281.1,"(0.284, 0.287]"
1769820720000,0.2846,0.2846,0.2845,0.2845,98.8,"(0.284, 0.287]"
1769820780000,0.2846,0.2849,0.2845,0.2848,3189.8,"(0.284, 0.287]"
1769820840000,0.2847,0.2849,0.2847,0.2849,1207.0,"(0.284, 0.287]"
1769820900000,0.2849,0.2849,0.2847,0.2848,347.9,"(0.284, 0.287]"
1769820960000,0.2848,0.285,0.2848,0.285,187.3,"(0.284, 0.287]"
1769821020000,0.2849,0.2853,0.2849,0.2851,1754.2,"(0.284, 0.287]"
1769821080000,0.2852,0.2852,0.2849,0.2849,1492.1,"(0.284, 0.287]"
1769821140000,0.285,0.2852,0.285,0.285,841.0,"(0.284, 0.287]"
1769821200000,0.2849,0.2851,0.2844,0.285,30089.3,"(0.284, 0.287]"
1769821260000,0.2851,0.2852,0.2851,0.2852,999.6,"(0.284, 0.287]"
1769821320000,0.2852,0.2854,0.2852,0.2854,1904.0,"(0.284, 0.287]"
1769821380000,0.2853,0.2854,0.2852,0.2853,11501.9,"(0.284, 0.287]"
1769821440000,0.2853,0.2863,0.2853,0.2863,13877.6,"(0.284, 0.287]"
1769821500000,0.2864,0.2867,0.2863,0.2866,5433.7,"(0.284, 0.287]"
1769821560000,0.2865,0.2865,0.2861,0.2861,6181.8,"(0.284, 0.287]"
1769821620000,0.2861,0.2863,0.2861,0.2863,1646.7,"(0.284, 0.287]"
1769821680000,0.2862,0.2869,0.2862,0.2867,19459.0,"(0.284, 0.287]"
1769821740000,0.2867,0.2869,0.2866,0.2866,3773.6,"(0.284, 0.287]"
1769821800000,0.2866,0.2866,0.2863,0.2865,2497.4,"(0.284, 0.287]"
1769821860000,0.2864,0.2866,0.2864,0.2866,526.4,"(0.284, 0.287]"
1769821920000,0.2866,0.2866,0.2865,0.2866,90.1,"(0.284, 0.287]"
1769821980000,0.2866,0.2868,0.2865,0.2866,950.1,"(0.284, 0.287]"
1769822040000,0.2866,0.2867,0.2865,0.2865,1620.6,"(0.284, 0.287]"
1769822100000,0.2865,0.2866,0.2865,0.2866,234.4,"(0.284, 0.287]"
