bin,vol
"(0.153, 0.156]",441580.5
"(0.156, 0.159]",1658090.5
"(0.159, 0.163]",2800774.6
"(0.163, 0.166]",537362.7
"(0.166, 0.169]",1133423.1
"(0.169, 0.172]",6919557.6
"(0.172, 0.175]",8821723.8
"(0.175, 0.179]",2689490.5
"(0.179, 0.182]",2232563.8
"(0.182, 0.185]",3569079.8
"(0.185, 0.188]",5129664.8
"(0.188, 0.191]",5429782.7
"(0.191, 0.195]",7551657.9
"(0.195, 0.198]",11182988.8
"(0.198, 0.201]",9786731.2
"(0.201, 0.204]",6771762.2
"(0.204, 0.207]",9273765.1
"(0.207, 0.211]",11245309.0
"(0.211, 0.214]",6755213.6
"(0.214, 0.217]",1455510.5
"(0.217, 0.22]",696574.2
"(0.22, 0.223]",16021407.0
"(0.223, 0.227]",7326749.5
"(0.227, 0.23]",8812054.6
"(0.23, 0.233]",13927061.3
"(0.233, 0.236]",9699775.6
"(0.236, 0.239]",5362401.3
"(0.239, 0.243]",8869053.8
"(0.243, 0.246]",14599105.2
"(0.246, 0.249]",3036969.2
"(0.249, 0.252]",25682115.3
"(0.252, 0.255]",37172913.7
"(0.255, 0.259]",80441160.6
"(0.259, 0.262]",51814529.2
"(0.262, 0.265]",107741435.7
"(0.265, 0.268]",72841406.6
"(0.268, 0.271]",70670616.7
"(0.271, 0.275]",164385676.0
"(0.275, 0.278]",270548175.8
"(0.278, 0.281]",255150109.2
"(0.281, 0.284]",231841474.6
"(0.284, 0.287]",209972512.0
"(0.287, 0.291]",224717419.0
"(0.291, 0.294]",122757434.2
"(0.294, 0.297]",131993311.3
"(0.297, 0.3]",44142795.8
"(0.3, 0.303]",26993987.799999997
"(0.303, 0.307]",16460724.0
"(0.307, 0.31]",41321155.6
