bin,vol
"(0.0375, 0.0381]",1210135.6
"(0.0381, 0.0386]",1842023.1
"(0.0386, 0.0392]",3582932.2
"(0.0392, 0.0397]",1675563.6
"(0.0397, 0.0403]",1152342.6
"(0.0403, 0.0408]",2052434.5999999999
"(0.0408, 0.0414]",9435223.9
"(0.0414, 0.0419]",9308638.6
"(0.0419, 0.0425]",6843943.1
"(0.0425, 0.043]",6553792.5
"(0.043, 0.0436]",8049075.6
"(0.0436, 0.0441]",3095537.3
"(0.0441, 0.0447]",9043840.2
"(0.0447, 0.0452]",15846265.2
"(0.0452, 0.0458]",19832297.5
"(0.0458, 0.0463]",32053648.9
"(0.0463, 0.0469]",39440242.4
"(0.0469, 0.0474]",41683330.7
"(0.0474, 0.048]",31923098.7
"(0.048, 0.0485]",42229687.2
"(0.0485, 0.0491]",38643366.5
"(0.0491, 0.0496]",14558440.2
"(0.0496, 0.0502]",3034188.9000000004
"(0.0502, 0.0507]",6107048.1
"(0.0507, 0.0513]",10453458.6
"(0.0513, 0.0518]",4129555.2
"(0.0518, 0.0524]",5138761.1
"(0.0529, 0.0535]",2712203.6
"(0.0535, 0.054]",7807807.2
"(0.054, 0.0546]",26380575.5
"(0.0546, 0.0551]",47469909.5
"(0.0551, 0.0557]",48940204.0
"(0.0557, 0.0562]",94003193.3
"(0.0562, 0.0568]",73095347.8
"(0.0568, 0.0573]",121531875.0
"(0.0573, 0.0579]",50600262.7
"(0.0579, 0.0584]",107631325.2
"(0.0584, 0.059]",121240605.4
"(0.059, 0.0595]",126376320.1
"(0.0595, 0.0601]",88550903.89999999
"(0.0601, 0.0606]",130831557.1
"(0.0606, 0.0612]",171092413.0
"(0.0612, 0.0617]",178434103.9
"(0.0617, 0.0623]",131493722.7
"(0.0623, 0.0628]",149053302.4
"(0.0628, 0.0634]",57247942.6
"(0.0634, 0.0639]",97225030.1
"(0.0639, 0.0645]",70720369.0
"(0.0645, 0.065]",11529824.9
