ts,open,high,low,close,vol,bin
1768694400000,0.008048,0.008048,0.008022,0.008023,477535.0,"(0.00788, 0.00811]"
1768694460000,0.008023,0.008029,0.008021,0.008026,133686.0,"(0.00788, 0.00811]"
1768694520000,0.00803,0.00803,0.008028,0.00803,30540.0,"(0.00788, 0.00811]"
1768694580000,0.00803,0.008037,0.00803,0.008034,318288.0,"(0.00788, 0.00811]"
1768694640000,0.008039,0.008039,0.008031,0.008031,168390.0,"(0.00788, 0.00811]"
1768694700000,0.008034,0.008038,0.008028,0.008035,53228.0,"(0.00788, 0.00811]"
1768694760000,0.008032,0.008032,0.008027,0.008027,6589.0,"(0.00788, 0.00811]"
1768694820000,0.008027,0.008027,0.008,0.008003,571060.0,"(0.00788, 0.00811]"
1768694880000,0.008004,0.008006,0.008004,0.008006,2038.0,"(0.00788, 0.00811]"
1768694940000,0.008008,0.008018,0.008008,0.008017,69680.0,"(0.00788, 0.00811]"
1768695000000,0.008015,0.008024,0.008015,0.008024,62809.0,"(0.00788, 0.00811]"
1768695060000,0.008026,0.008039,0.008024,0.008024,774009.0,"(0.00788, 0.00811]"
1768695120000,0.008027,0.008036,0.008024,0.008036,182240.0,"(0.00788, 0.00811]"
1768695180000,0.008039,0.008039,0.008035,0.008035,13812.0,"(0.00788, 0.00811]"
1768695240000,0.00804,0.008053,0.00804,0.00805,39815.0,"(0.00788, 0.00811]"
1768695300000,0.008044,0.008054,0.008043,0.008054,76850.0,"(0.00788, 0.00811]"
1768695360000,0.008054,0.008063,0.008042,0.008042,502581.0,"(0.00788, 0.00811]"
1768695420000,0.008056,0.008065,0.008056,0.008065,667349.0,"(0.00788, 0.00811]"
1768695480000,0.008061,0.008061,0.008053,0.008053,46187.0,"(0.00788, 0.00811]"
1768695540000,0.008055,0.008061,0.008055,0.008061,15484.0,"(0.00788, 0.00811]"
1768695600000,0.008061,0.008065,0.008059,0.008063,44336.0,"(0.00788, 0.00811]"
1768695660000,0.00806,0.00806,0.008054,0.008059,114635.0,"(0.00788, 0.00811]"
1768695720000,0.008059,0.008059,0.008056,0.008057,3728.0,"(0.00788, 0.00811]"
1768695780000,0.008055,0.008057,0.008053,0.008057,5678.0,"(0.00788, 0.00811]"
1768695840000,0.008059,0.008067,0.008059,0.008067,19901.0,"(0.00788, 0.00811]"
1768695900000,0.008066,0.008069,0.008059,0.008059,119363.0,"(0.00788, 0.00811]"
1768695960000,0.00806,0.008068,0.008058,0.008067,71176.0,"(0.00788, 0.00811]"
1768696020000,0.008065,0.008066,0.008057,0.008057,156726.0,"(0.00788, 0.00811]"
1768696080000,0.008061,0.008066,0.00806,0.00806,9496.0,"(0.00788, 0.00811]"
1768696140000,0.008063,0.008064,0.008061,0.008064,20179.0,"(0.00788, 0.00811]"
1768696200000,0.008064,0.008069,0.008058,0.008058,177849.0,"(0.00788, 0.00811]"
1768696260000,0.008066,0.008068,0.008066,0.008067,127439.0,"(0.00788, 0.00811]"
1768696320000,0.008067,0.008067,0.008055,0.008063,236865.0,"(0.00788, 0.00811]"
1768696380000,0.008064,0.008067,0.008064,0.008066,16752.0,"(0.00788, 0.00811]"
1768696440000,0.008068,0.00807,0.008066,0.00807,29128.0,"(0.00788, 0.00811]"
1768696500000,0.008067,0.00807,0.008061,0.008061,142243.0,"(0.00788, 0.00811]"
1768696560000,0.008062,0.008066,0.008062,0.008066,32964.0,"(0.00788, 0.00811]"
1768696620000,0.008066,0.008066,0.008058,0.008058,54060.0,"(0.00788, 0.00811]"
1768696680000,0.008055,0.008055,0.008053,0.008053,19294.0,"(0.00788, 0.00811]"
1768696740000,0.00805,0.008051,0.008036,0.008037,280509.0,"(0.00788, 0.00811]"
1768696800000,0.008032,0.008037,0.008018,0.008019,756643.0,"(0.00788, 0.00811]"
1768696860000,0.008018,0.008025,0.008015,0.008025,295204.0,"(0.00788, 0.00811]"
1768696920000,0.008024,0.00804,0.008024,0.00804,6361.0,"(0.00788, 0.00811]"
1768696980000,0.008035,0.008047,0.008035,0.008044,154171.0,"(0.00788, 0.00811]"
1768697040000,0.008048,0.008051,0.008046,0.008046,8823.0,"(0.00788, 0.00811]"
1768697100000,0.008045,0.008048,0.008037,0.00804,125216.0,"(0.00788, 0.00811]"
1768697160000,0.008039,0.008039,0.008037,0.008039,68535.0,"(0.00788, 0.00811]"
1768697220000,0.008038,0.00804,0.008026,0.008026,560167.0,"(0.00788, 0.00811]"
1768697280000,0.008024,0.008024,0.008016,0.008019,22218.0,"(0.00788, 0.00811]"
1768697340000,0.008021,0.008027,0.008018,0.008026,25268.0,"(0.00788, 0.00811]"
1768697400000,0.008028,0.00803,0.008024,0.00803,54287.0,"(0.00788, 0.00811]"
1768697460000,0.008033,0.008033,0.008022,0.00803,78484.0,"(0.00788, 0.00811]"
1768697520000,0.008028,0.008028,0.008016,0.008016,359128.0,"(0.00788, 0.00811]"
1768697580000,0.008011,0.008014,0.008011,0.008014,5134.0,"(0.00788, 0.00811]"
1768697640000,0.008015,0.008017,0.008011,0.008011,15732.0,"(0.00788, 0.00811]"
1768697700000,0.008009,0.008018,0.008009,0.008018,19790.0,"(0.00788, 0.00811]"
1768697760000,0.008014,0.008018,0.008014,0.008018,27603.0,"(0.00788, 0.00811]"
1768697820000,0.008018,0.008018,0.008016,0.008016,14517.0,"(0.00788, 0.00811]"
1768697880000,0.00801,0.008012,0.008002,0.008002,95310.0,"(0.00788, 0.00811]"
1768697940000,0.008006,0.00801,0.008004,0.00801,12537.0,"(0.00788, 0.00811]"
1768698000000,0.008008,0.008011,0.008008,0.00801,17139.0,"(0.00788, 0.00811]"
1768698060000,0.008009,0.008015,0.008009,0.008013,101109.0,"(0.00788, 0.00811]"
1768698120000,0.008016,0.008022,0.008016,0.00802,327876.0,"(0.00788, 0.00811]"
1768698180000,0.008021,0.008024,0.00802,0.00802,36296.0,"(0.00788, 0.00811]"
1768698240000,0.008015,0.008017,0.008013,0.008013,115463.0,"(0.00788, 0.00811]"
1768698300000,0.008011,0.008011,0.007976,0.007987,1340678.0,"(0.00788, 0.00811]"
1768698360000,0.007984,0.007992,0.007975,0.007992,775924.0,"(0.00788, 0.00811]"
1768698420000,0.00799,0.00799,0.007969,0.007969,86454.0,"(0.00788, 0.00811]"
1768698480000,0.007973,0.007974,0.007965,0.007972,195463.0,"(0.00788, 0.00811]"
1768698540000,0.007964,0.007976,0.007964,0.007966,126125.0,"(0.00788, 0.00811]"
1768698600000,0.007966,0.00798,0.007962,0.007973,74433.0,"(0.00788, 0.00811]"
1768698660000,0.007974,0.007978,0.007961,0.007961,210303.0,"(0.00788, 0.00811]"
1768698720000,0.00796,0.00796,0.007901,0.007922,2974823.0,"(0.00788, 0.00811]"
1768698780000,0.007922,0.00794,0.007922,0.00794,1131572.0,"(0.00788, 0.00811]"
1768698840000,0.007937,0.007938,0.007932,0.007938,84572.0,"(0.00788, 0.00811]"
1768698900000,0.007936,0.007936,0.007923,0.007923,42735.0,"(0.00788, 0.00811]"
1768698960000,0.007927,0.007932,0.007919,0.007932,170407.0,"(0.00788, 0.00811]"
1768699020000,0.007932,0.007944,0.007932,0.007943,777395.0,"(0.00788, 0.00811]"
1768699080000,0.007945,0.007968,0.007945,0.007961,756171.0,"(0.00788, 0.00811]"
1768699140000,0.007961,0.008,0.007957,0.007998,1715039.0,"(0.00788, 0.00811]"
1768699200000,0.008,0.008002,0.007992,0.008,28833.0,"(0.00788, 0.00811]"
1768699260000,0.007995,0.008021,0.007995,0.008019,370638.0,"(0.00788, 0.00811]"
1768699320000,0.008019,0.008024,0.008018,0.008018,59380.0,"(0.00788, 0.00811]"
1768699380000,0.008015,0.00802,0.008012,0.00802,21702.0,"(0.00788, 0.00811]"
1768699440000,0.00802,0.008026,0.00802,0.008021,18580.0,"(0.00788, 0.00811]"
1768699500000,0.00802,0.008025,0.00802,0.008025,22644.0,"(0.00788, 0.00811]"
1768699560000,0.008024,0.008026,0.008019,0.008019,242568.0,"(0.00788, 0.00811]"
1768699620000,0.008018,0.008024,0.008017,0.008024,105449.0,"(0.00788, 0.00811]"
1768699680000,0.008027,0.00803,0.008013,0.008016,15098.0,"(0.00788, 0.00811]"
1768699740000,0.008009,0.00802,0.008009,0.008018,68903.0,"(0.00788, 0.00811]"
1768699800000,0.008016,0.00802,0.008005,0.008009,108527.0,"(0.00788, 0.00811]"
1768699860000,0.008001,0.008007,0.008,0.008006,15709.0,"(0.00788, 0.00811]"
1768699920000,0.008007,0.008016,0.008007,0.008013,267813.0,"(0.00788, 0.00811]"
1768699980000,0.008008,0.008009,0.007991,0.007991,701385.0,"(0.00788, 0.00811]"
1768700040000,0.007997,0.008011,0.007997,0.008008,74189.0,"(0.00788, 0.00811]"
1768700100000,0.00801,0.00801,0.008003,0.008004,14002.0,"(0.00788, 0.00811]"
