bin,vol
"(0.00653, 0.00675]",276845175.0
"(0.00675, 0.00698]",369848625.0
"(0.00698, 0.0072]",447624329.0
"(0.0072, 0.00743]",520585282.0
"(0.00743, 0.00766]",213729490.0
"(0.00766, 0.00788]",515010865.0
"(0.00788, 0.00811]",577038292.0
"(0.00811, 0.00833]",1062667819.0
"(0.00833, 0.00856]",476231710.0
"(0.00856, 0.00878]",355997268.0
"(0.00878, 0.00901]",94654703.0
"(0.00901, 0.00923]",88742441.0
"(0.00923, 0.00946]",26928675.0
"(0.00946, 0.00968]",157152468.0
"(0.00968, 0.00991]",339107553.0
"(0.00991, 0.0101]",176199518.0
"(0.0101, 0.0104]",98932354.0
"(0.0106, 0.0108]",91979173.0
"(0.0115, 0.0117]",365068894.0
"(0.0117, 0.0119]",533116493.0
"(0.0119, 0.0122]",586246597.0
"(0.0122, 0.0124]",234656145.0
"(0.0124, 0.0126]",282398869.0
"(0.0126, 0.0128]",981331203.0
"(0.0128, 0.0131]",1144375682.0
"(0.0131, 0.0133]",1368610616.0
"(0.0133, 0.0135]",2459329566.0
"(0.0135, 0.0137]",2668031688.0
"(0.0137, 0.014]",1945547496.0
"(0.014, 0.0142]",1584528478.0
"(0.0142, 0.0144]",935135356.0
"(0.0144, 0.0146]",1004628416.0
"(0.0146, 0.0149]",2249891785.0
"(0.0149, 0.0151]",3526819694.0
"(0.0151, 0.0153]",1683995447.0
"(0.0153, 0.0155]",2020969209.0
"(0.0155, 0.0158]",968036060.0
"(0.0158, 0.016]",1097369216.0
"(0.016, 0.0162]",1249646031.0
"(0.0162, 0.0164]",2612694086.0
"(0.0164, 0.0167]",3474151757.0
"(0.0167, 0.0169]",6247581492.0
"(0.0169, 0.0171]",4819128123.0
"(0.0171, 0.0173]",3507467877.0
"(0.0173, 0.0176]",631007598.0
