ts,open,high,low,close,vol,bin
1770681600000,0.773,0.775,0.772,0.774,4451.2,"(0.767, 0.778]"
1770681660000,0.774,0.774,0.774,0.774,473.8,"(0.767, 0.778]"
1770681720000,0.774,0.774,0.773,0.774,501.3,"(0.767, 0.778]"
1770681780000,0.773,0.774,0.773,0.774,20.6,"(0.767, 0.778]"
1770681840000,0.773,0.774,0.773,0.773,1113.3,"(0.767, 0.778]"
1770681900000,0.773,0.774,0.773,0.773,956.8,"(0.767, 0.778]"
1770681960000,0.773,0.773,0.773,0.773,24.8,"(0.767, 0.778]"
1770682020000,0.773,0.773,0.772,0.773,58.3,"(0.767, 0.778]"
1770682080000,0.772,0.772,0.771,0.771,767.9,"(0.767, 0.778]"
1770682140000,0.772,0.772,0.771,0.772,137.9,"(0.767, 0.778]"
1770682200000,0.771,0.772,0.771,0.772,42.0,"(0.767, 0.778]"
1770682260000,0.772,0.772,0.771,0.772,1970.3,"(0.767, 0.778]"
1770682320000,0.772,0.773,0.772,0.773,250.6,"(0.767, 0.778]"
1770682380000,0.773,0.773,0.773,0.773,119.6,"(0.767, 0.778]"
1770682440000,0.772,0.773,0.772,0.773,847.1,"(0.767, 0.778]"
1770682500000,0.773,0.773,0.773,0.773,6.7,"(0.767, 0.778]"
1770682560000,0.774,0.774,0.774,0.774,7.3,"(0.767, 0.778]"
1770682620000,0.773,0.773,0.773,0.773,1451.6,"(0.767, 0.778]"
1770682680000,0.772,0.772,0.772,0.772,21.7,"(0.767, 0.778]"
1770682740000,0.773,0.773,0.772,0.772,136.1,"(0.767, 0.778]"
1770682800000,0.772,0.773,0.772,0.772,84.2,"(0.767, 0.778]"
1770682860000,0.772,0.772,0.771,0.771,2760.5,"(0.767, 0.778]"
1770682920000,0.771,0.772,0.771,0.771,593.5,"(0.767, 0.778]"
1770682980000,0.771,0.772,0.771,0.772,393.3,"(0.767, 0.778]"
1770683040000,0.772,0.772,0.771,0.772,89.0,"(0.767, 0.778]"
1770683100000,0.771,0.772,0.771,0.772,87.2,"(0.767, 0.778]"
1770683160000,0.772,0.772,0.771,0.772,121.7,"(0.767, 0.778]"
1770683220000,0.772,0.772,0.772,0.772,59.7,"(0.767, 0.778]"
1770683280000,0.772,0.772,0.771,0.772,77.4,"(0.767, 0.778]"
1770683340000,0.772,0.772,0.771,0.771,117.9,"(0.767, 0.778]"
1770683400000,0.772,0.773,0.772,0.773,2377.0,"(0.767, 0.778]"
1770683460000,0.773,0.773,0.772,0.773,187.6,"(0.767, 0.778]"
1770683520000,0.773,0.773,0.773,0.773,86.6,"(0.767, 0.778]"
1770683580000,0.773,0.773,0.772,0.773,269.8,"(0.767, 0.778]"
1770683640000,0.773,0.774,0.772,0.774,4238.6,"(0.767, 0.778]"
1770683700000,0.773,0.774,0.773,0.774,82.8,"(0.767, 0.778]"
1770683760000,0.774,0.774,0.774,0.774,1616.4,"(0.767, 0.778]"
1770683820000,0.774,0.774,0.773,0.773,74.1,"(0.767, 0.778]"
1770683880000,0.774,0.774,0.774,0.774,69.6,"(0.767, 0.778]"
1770683940000,0.774,0.774,0.773,0.774,86.5,"(0.767, 0.778]"
1770684000000,0.773,0.774,0.773,0.774,63.9,"(0.767, 0.778]"
1770684060000,0.774,0.774,0.771,0.771,1436.8,"(0.767, 0.778]"
1770684120000,0.772,0.772,0.771,0.772,104.0,"(0.767, 0.778]"
1770684180000,0.772,0.772,0.772,0.772,49.9,"(0.767, 0.778]"
1770684240000,0.772,0.772,0.771,0.772,101.7,"(0.767, 0.778]"
1770684300000,0.772,0.772,0.771,0.771,291.2,"(0.767, 0.778]"
1770684360000,0.771,0.771,0.77,0.77,592.5,"(0.767, 0.778]"
1770684420000,0.771,0.771,0.771,0.771,91.0,"(0.767, 0.778]"
1770684480000,0.771,0.771,0.77,0.77,93.0,"(0.767, 0.778]"
1770684540000,0.77,0.771,0.77,0.771,100.9,"(0.767, 0.778]"
1770684600000,0.771,0.771,0.771,0.771,100.9,"(0.767, 0.778]"
1770684660000,0.771,0.771,0.771,0.771,68.7,"(0.767, 0.778]"
1770684720000,0.77,0.772,0.77,0.771,1326.7,"(0.767, 0.778]"
1770684780000,0.772,0.772,0.771,0.772,302.3,"(0.767, 0.778]"
1770684840000,0.771,0.772,0.771,0.772,202.6,"(0.767, 0.778]"
1770684900000,0.771,0.771,0.77,0.771,1481.5,"(0.767, 0.778]"
1770684960000,0.771,0.771,0.77,0.771,470.3,"(0.767, 0.778]"
1770685020000,0.771,0.771,0.771,0.771,89.9,"(0.767, 0.778]"
1770685080000,0.771,0.771,0.771,0.771,60.6,"(0.767, 0.778]"
1770685140000,0.771,0.771,0.77,0.771,155.9,"(0.767, 0.778]"
1770685200000,0.77,0.771,0.769,0.77,816.1,"(0.767, 0.778]"
1770685260000,0.77,0.771,0.77,0.771,262.3,"(0.767, 0.778]"
1770685320000,0.771,0.772,0.771,0.772,328.1,"(0.767, 0.778]"
1770685380000,0.772,0.773,0.772,0.773,687.7,"(0.767, 0.778]"
1770685440000,0.773,0.773,0.772,0.772,1021.3,"(0.767, 0.778]"
1770685500000,0.772,0.772,0.772,0.772,108.9,"(0.767, 0.778]"
1770685560000,0.772,0.772,0.772,0.772,50.2,"(0.767, 0.778]"
1770685620000,0.773,0.774,0.773,0.774,1378.7,"(0.767, 0.778]"
1770685680000,0.774,0.774,0.774,0.774,210.1,"(0.767, 0.778]"
1770685740000,0.773,0.774,0.772,0.774,510.4,"(0.767, 0.778]"
1770685800000,0.774,0.774,0.774,0.774,50.3,"(0.767, 0.778]"
1770685860000,0.774,0.774,0.773,0.773,246.9,"(0.767, 0.778]"
1770685920000,0.773,0.774,0.773,0.774,220.3,"(0.767, 0.778]"
1770685980000,0.774,0.775,0.774,0.774,1454.1,"(0.767, 0.778]"
1770686040000,0.773,0.774,0.773,0.773,142.9,"(0.767, 0.778]"
1770686100000,0.773,0.774,0.773,0.774,67.3,"(0.767, 0.778]"
1770686160000,0.774,0.775,0.773,0.774,2889.6,"(0.767, 0.778]"
1770686220000,0.774,0.774,0.774,0.774,49.8,"(0.767, 0.778]"
1770686280000,0.773,0.773,0.772,0.772,430.4,"(0.767, 0.778]"
1770686340000,0.773,0.774,0.772,0.774,228.8,"(0.767, 0.778]"
1770686400000,0.774,0.775,0.773,0.774,1924.5,"(0.767, 0.778]"
1770686460000,0.774,0.775,0.774,0.775,592.7,"(0.767, 0.778]"
1770686520000,0.774,0.775,0.773,0.774,801.6,"(0.767, 0.778]"
1770686580000,0.774,0.774,0.774,0.774,74.8,"(0.767, 0.778]"
1770686640000,0.774,0.774,0.774,0.774,86.4,"(0.767, 0.778]"
1770686700000,0.774,0.775,0.773,0.775,344.5,"(0.767, 0.778]"
1770686760000,0.775,0.775,0.774,0.775,127.2,"(0.767, 0.778]"
1770686820000,0.775,0.776,0.774,0.775,2304.1,"(0.767, 0.778]"
1770686880000,0.775,0.775,0.774,0.775,60.1,"(0.767, 0.778]"
1770686940000,0.775,0.775,0.774,0.775,534.4,"(0.767, 0.778]"
1770687000000,0.775,0.775,0.774,0.774,826.4,"(0.767, 0.778]"
1770687060000,0.774,0.774,0.772,0.772,1207.3,"(0.767, 0.778]"
1770687120000,0.773,0.775,0.773,0.774,1218.9,"(0.767, 0.778]"
1770687180000,0.774,0.774,0.774,0.774,255.7,"(0.767, 0.778]"
1770687240000,0.774,0.775,0.774,0.774,1683.1,"(0.767, 0.778]"
1770687300000,0.774,0.774,0.773,0.774,207.0,"(0.767, 0.778]"
1770687360000,0.774,0.774,0.773,0.774,170.2,"(0.767, 0.778]"
1770687420000,0.774,0.774,0.773,0.774,317.8,"(0.767, 0.778]"
1770687480000,0.774,0.776,0.774,0.774,1622.1,"(0.767, 0.778]"
1770687540000,0.775,0.775,0.774,0.775,1500.4,"(0.767, 0.778]"
1770687600000,0.774,0.775,0.774,0.775,123.6,"(0.767, 0.778]"
1770687660000,0.775,0.775,0.774,0.775,97.0,"(0.767, 0.778]"
1770687720000,0.775,0.775,0.775,0.775,50.0,"(0.767, 0.778]"
1770687780000,0.775,0.775,0.775,0.775,40.3,"(0.767, 0.778]"
1770687840000,0.775,0.775,0.775,0.775,60.9,"(0.767, 0.778]"
1770687900000,0.775,0.775,0.774,0.775,282.9,"(0.767, 0.778]"
1770687960000,0.774,0.775,0.774,0.775,435.6,"(0.767, 0.778]"
1770688020000,0.775,0.775,0.774,0.775,95.4,"(0.767, 0.778]"
1770688080000,0.775,0.775,0.774,0.774,63.9,"(0.767, 0.778]"
1770688140000,0.774,0.775,0.774,0.775,79.0,"(0.767, 0.778]"
1770688200000,0.774,0.775,0.773,0.774,320.6,"(0.767, 0.778]"
1770688260000,0.774,0.774,0.773,0.774,51.2,"(0.767, 0.778]"
1770688320000,0.774,0.775,0.774,0.775,432.5,"(0.767, 0.778]"
1770688380000,0.775,0.775,0.773,0.774,1019.7,"(0.767, 0.778]"
1770688440000,0.774,0.774,0.774,0.774,67.2,"(0.767, 0.778]"
1770688500000,0.773,0.774,0.773,0.774,83.4,"(0.767, 0.778]"
1770688560000,0.773,0.774,0.773,0.773,166.8,"(0.767, 0.778]"
1770688620000,0.774,0.775,0.774,0.775,322.4,"(0.767, 0.778]"
1770688680000,0.775,0.775,0.773,0.774,1437.1,"(0.767, 0.778]"
1770688740000,0.774,0.774,0.773,0.774,118.6,"(0.767, 0.778]"
1770688800000,0.773,0.774,0.773,0.774,1207.7,"(0.767, 0.778]"
1770688860000,0.774,0.774,0.773,0.774,138.3,"(0.767, 0.778]"
1770688920000,0.774,0.774,0.773,0.774,133.4,"(0.767, 0.778]"
1770688980000,0.774,0.774,0.773,0.773,123.0,"(0.767, 0.778]"
1770689040000,0.774,0.774,0.773,0.773,58.1,"(0.767, 0.778]"
1770689100000,0.774,0.774,0.773,0.774,297.0,"(0.767, 0.778]"
1770689160000,0.774,0.775,0.774,0.775,755.5,"(0.767, 0.778]"
1770689220000,0.775,0.775,0.774,0.774,204.5,"(0.767, 0.778]"
1770689280000,0.775,0.775,0.775,0.775,82.0,"(0.767, 0.778]"
1770689340000,0.774,0.774,0.774,0.774,381.1,"(0.767, 0.778]"
1770689400000,0.774,0.774,0.774,0.774,50.1,"(0.767, 0.778]"
1770689460000,0.774,0.774,0.774,0.774,49.8,"(0.767, 0.778]"
1770689520000,0.774,0.774,0.773,0.774,105.7,"(0.767, 0.778]"
1770689580000,0.773,0.774,0.773,0.774,164.3,"(0.767, 0.778]"
1770689640000,0.774,0.774,0.774,0.774,79.4,"(0.767, 0.778]"
1770689700000,0.774,0.774,0.773,0.774,907.3,"(0.767, 0.778]"
1770689760000,0.774,0.774,0.774,0.774,215.8,"(0.767, 0.778]"
1770689820000,0.775,0.775,0.775,0.775,50.0,"(0.767, 0.778]"
