bin,vol
"(0.724, 0.735]",516577.2
"(0.735, 0.746]",1773634.7
"(0.746, 0.756]",1918258.3
"(0.756, 0.767]",1351928.1
"(0.767, 0.778]",746998.1
"(0.778, 0.789]",1605366.5
"(0.789, 0.8]",1826975.2
"(0.8, 0.811]",775151.6
"(0.811, 0.821]",829145.9
"(0.821, 0.832]",1247088.7
"(0.854, 0.865]",253251.2
"(0.865, 0.875]",3805123.3
"(0.875, 0.886]",1198321.5
"(0.886, 0.897]",460322.8
"(0.897, 0.908]",1274131.7
"(0.908, 0.919]",374009.1
"(0.919, 0.93]",1100396.6
"(0.93, 0.94]",1703159.5
"(0.94, 0.951]",1906067.0
"(0.951, 0.962]",1931257.2
"(0.962, 0.973]",11038888.3
"(0.973, 0.984]",8315327.8
"(0.984, 0.994]",11310886.7
"(0.994, 1.005]",13902234.7
"(1.005, 1.016]",8456302.6
"(1.016, 1.027]",2193632.6
"(1.027, 1.038]",1894288.3
"(1.049, 1.059]",1427930.6
"(1.059, 1.07]",2245234.5
"(1.07, 1.081]",10556399.8
"(1.081, 1.092]",1472213.5
"(1.092, 1.103]",3762533.2
"(1.103, 1.114]",2257701.8
"(1.114, 1.124]",1240726.6
"(1.124, 1.135]",10897191.9
"(1.135, 1.146]",20803487.6
"(1.146, 1.157]",28417497.3
"(1.157, 1.168]",38519563.6
"(1.168, 1.178]",26303345.6
"(1.178, 1.189]",29780554.0
"(1.189, 1.2]",6582825.3
"(1.2, 1.211]",11265027.5
"(1.211, 1.222]",19359359.9
"(1.222, 1.233]",16629855.4
"(1.233, 1.243]",14205501.7
"(1.243, 1.254]",5701980.5
