ts,open,high,low,close,vol,bin
1771891200000,0.02283,0.02291,0.02283,0.02291,72712.0,"(0.0225, 0.0229]"
1771891260000,0.0229,0.0229,0.02287,0.02288,80647.0,"(0.0225, 0.0229]"
1771891320000,0.02287,0.02288,0.02286,0.02288,30706.0,"(0.0225, 0.0229]"
1771891380000,0.02287,0.02287,0.02286,0.02287,12377.0,"(0.0225, 0.0229]"
1771891440000,0.02286,0.02286,0.02281,0.02282,42772.0,"(0.0225, 0.0229]"
1771891500000,0.02281,0.02282,0.02281,0.02281,10049.0,"(0.0225, 0.0229]"
1771891560000,0.02282,0.02284,0.02281,0.02282,66206.0,"(0.0225, 0.0229]"
1771891620000,0.02281,0.02284,0.0228,0.02281,66337.0,"(0.0225, 0.0229]"
1771891680000,0.0228,0.0228,0.0228,0.0228,1061.0,"(0.0225, 0.0229]"
1771891740000,0.0228,0.02284,0.0228,0.02283,26215.0,"(0.0225, 0.0229]"
1771891800000,0.02282,0.02282,0.02281,0.02282,5474.0,"(0.0225, 0.0229]"
1771891860000,0.02281,0.02283,0.0228,0.02281,11273.0,"(0.0225, 0.0229]"
1771891920000,0.02281,0.02281,0.0228,0.0228,22733.0,"(0.0225, 0.0229]"
1771891980000,0.02279,0.0228,0.02279,0.0228,6539.0,"(0.0225, 0.0229]"
1771892040000,0.0228,0.0228,0.0228,0.0228,5368.0,"(0.0225, 0.0229]"
1771892100000,0.0228,0.02282,0.02279,0.0228,13174.0,"(0.0225, 0.0229]"
1771892160000,0.0228,0.02281,0.02278,0.02279,68574.0,"(0.0225, 0.0229]"
1771892220000,0.02279,0.0228,0.02278,0.0228,3367.0,"(0.0225, 0.0229]"
1771892280000,0.02279,0.02279,0.02277,0.02279,11414.0,"(0.0225, 0.0229]"
1771892340000,0.02279,0.02282,0.02279,0.02282,5583.0,"(0.0225, 0.0229]"
1771892400000,0.02282,0.02283,0.02282,0.02282,11502.0,"(0.0225, 0.0229]"
1771892460000,0.02279,0.02283,0.02279,0.02283,28566.0,"(0.0225, 0.0229]"
1771892520000,0.02281,0.02281,0.0228,0.02281,3501.0,"(0.0225, 0.0229]"
1771892580000,0.02281,0.02282,0.02281,0.02282,2345.0,"(0.0225, 0.0229]"
1771892640000,0.02281,0.02281,0.02281,0.02281,231.0,"(0.0225, 0.0229]"
1771892700000,0.02281,0.02283,0.02281,0.02281,15371.0,"(0.0225, 0.0229]"
1771892760000,0.02281,0.02284,0.02281,0.02284,5747.0,"(0.0225, 0.0229]"
1771892820000,0.02283,0.0229,0.02283,0.02289,84781.0,"(0.0225, 0.0229]"
1771892880000,0.0229,0.02295,0.0229,0.02293,53571.0,"(0.0229, 0.0233]"
1771892940000,0.02295,0.02295,0.02292,0.02295,27491.0,"(0.0229, 0.0233]"
1771893000000,0.02295,0.02295,0.02293,0.02293,23663.0,"(0.0229, 0.0233]"
1771893060000,0.02295,0.02295,0.02293,0.02293,2964.0,"(0.0229, 0.0233]"
1771893120000,0.02294,0.02295,0.02292,0.02293,34598.0,"(0.0229, 0.0233]"
1771893180000,0.02293,0.02294,0.02293,0.02294,60309.0,"(0.0229, 0.0233]"
1771893240000,0.02294,0.02296,0.02294,0.02294,14318.0,"(0.0229, 0.0233]"
1771893300000,0.02296,0.02296,0.02295,0.02295,21952.0,"(0.0229, 0.0233]"
1771893360000,0.02296,0.023,0.02294,0.02299,195430.0,"(0.0229, 0.0233]"
