bin,vol
"(0.0211, 0.0215]",14060384.0
"(0.0215, 0.0218]",59318279.0
"(0.0218, 0.0222]",37335839.0
"(0.0222, 0.0225]",41413353.0
"(0.0225, 0.0229]",47213601.0
"(0.0229, 0.0233]",52428195.0
"(0.0233, 0.0236]",76022123.0
"(0.0236, 0.024]",67733825.0
"(0.024, 0.0243]",78252284.0
"(0.0243, 0.0247]",45212185.0
"(0.0247, 0.025]",57577533.0
"(0.025, 0.0254]",76027856.0
"(0.0254, 0.0257]",103728637.0
"(0.0257, 0.0261]",140969350.0
"(0.0261, 0.0264]",157811700.0
"(0.0264, 0.0268]",204821182.0
"(0.0268, 0.0272]",237153935.0
"(0.0272, 0.0275]",133774788.0
"(0.0275, 0.0279]",48220970.0
"(0.0279, 0.0282]",65225452.0
"(0.0282, 0.0286]",30253376.0
"(0.0286, 0.0289]",16255815.0
"(0.0296, 0.03]",44854759.0
"(0.03, 0.0304]",78703855.0
"(0.0307, 0.0311]",41744818.0
"(0.0314, 0.0318]",31103408.0
"(0.0318, 0.0321]",62702884.0
"(0.0321, 0.0325]",67018864.0
"(0.0325, 0.0328]",119134190.0
"(0.0328, 0.0332]",156305178.0
"(0.0332, 0.0336]",159085914.0
"(0.0336, 0.0339]",411179075.0
"(0.0339, 0.0343]",507846283.0
"(0.0343, 0.0346]",647935646.0
"(0.0346, 0.035]",455485730.0
"(0.035, 0.0353]",642830748.0
"(0.0353, 0.0357]",695414237.0
"(0.0357, 0.036]",801660708.0
"(0.036, 0.0364]",356960037.0
"(0.0364, 0.0367]",247774869.0
"(0.0367, 0.0371]",149198835.0
"(0.0371, 0.0375]",230876615.0
"(0.0375, 0.0378]",47730216.0
"(0.0378, 0.0382]",120760596.0
"(0.0382, 0.0385]",94504477.0
