ts,open,high,low,close,vol,bin
1772496000000,0.004908,0.004917,0.004908,0.004917,414121.0,"(0.00489, 0.00492]"
1772496060000,0.004914,0.004914,0.004909,0.004909,63852.0,"(0.00489, 0.00492]"
1772496120000,0.004905,0.004906,0.004901,0.004904,116368.0,"(0.00489, 0.00492]"
1772496180000,0.004905,0.004908,0.0049,0.004908,93435.0,"(0.00489, 0.00492]"
1772496240000,0.004903,0.004907,0.0049,0.004901,63245.0,"(0.00489, 0.00492]"
1772496300000,0.0049,0.0049,0.004889,0.004891,126585.0,"(0.00489, 0.00492]"
1772496360000,0.004894,0.004895,0.004894,0.004895,12257.0,"(0.00489, 0.00492]"
1772496420000,0.004893,0.004896,0.00489,0.004892,14425.0,"(0.00489, 0.00492]"
1772496480000,0.004896,0.004896,0.004893,0.004894,23189.0,"(0.00489, 0.00492]"
1772496540000,0.004893,0.004905,0.004893,0.0049,171256.0,"(0.00489, 0.00492]"
1772496600000,0.0049,0.004901,0.0049,0.004901,18849.0,"(0.00489, 0.00492]"
1772496660000,0.004898,0.004898,0.004892,0.004892,70039.0,"(0.00489, 0.00492]"
1772496720000,0.004892,0.004893,0.004892,0.004893,33168.0,"(0.00489, 0.00492]"
1772496780000,0.004893,0.004896,0.004888,0.004888,94225.0,"(0.00489, 0.00492]"
1772496840000,0.004891,0.004898,0.004891,0.004898,31310.0,"(0.00489, 0.00492]"
1772496900000,0.0049,0.004908,0.0049,0.004908,168605.0,"(0.00489, 0.00492]"
1772496960000,0.004904,0.004904,0.004901,0.004902,32946.0,"(0.00489, 0.00492]"
1772497020000,0.004901,0.004901,0.004891,0.004891,37629.0,"(0.00489, 0.00492]"
1772497080000,0.004892,0.004893,0.004891,0.004892,64310.0,"(0.00489, 0.00492]"
1772497140000,0.004891,0.004891,0.004881,0.004881,82656.0,"(0.00485, 0.00489]"
1772497200000,0.004881,0.004881,0.004878,0.00488,27790.0,"(0.00485, 0.00489]"
1772497260000,0.00488,0.00488,0.004871,0.004876,234397.0,"(0.00485, 0.00489]"
1772497320000,0.004874,0.004877,0.004872,0.004875,68700.0,"(0.00485, 0.00489]"
1772497380000,0.004871,0.004871,0.004866,0.004868,100977.0,"(0.00485, 0.00489]"
1772497440000,0.004868,0.004871,0.004865,0.004871,79375.0,"(0.00485, 0.00489]"
1772497500000,0.004872,0.004874,0.004867,0.004867,77026.0,"(0.00485, 0.00489]"
1772497560000,0.004867,0.004873,0.004867,0.004873,30553.0,"(0.00485, 0.00489]"
1772497620000,0.004873,0.004877,0.00487,0.004875,74763.0,"(0.00485, 0.00489]"
1772497680000,0.004874,0.004876,0.00487,0.004875,34869.0,"(0.00485, 0.00489]"
1772497740000,0.004874,0.004875,0.004871,0.004873,17789.0,"(0.00485, 0.00489]"
1772497800000,0.004874,0.004876,0.004854,0.00486,695760.0,"(0.00485, 0.00489]"
1772497860000,0.004861,0.004868,0.004853,0.004863,623078.0,"(0.00485, 0.00489]"
1772497920000,0.004866,0.004874,0.004866,0.004871,98381.0,"(0.00485, 0.00489]"
1772497980000,0.004875,0.004883,0.004875,0.004883,51049.0,"(0.00485, 0.00489]"
1772498040000,0.004885,0.004887,0.004883,0.004886,67988.0,"(0.00485, 0.00489]"
1772498100000,0.004887,0.004888,0.004884,0.004887,22703.0,"(0.00485, 0.00489]"
1772498160000,0.004888,0.004902,0.004888,0.004895,258117.0,"(0.00489, 0.00492]"
1772498220000,0.004895,0.004898,0.004892,0.004898,27058.0,"(0.00489, 0.00492]"
1772498280000,0.004899,0.0049,0.004896,0.004896,396438.0,"(0.00489, 0.00492]"
1772498340000,0.004896,0.004897,0.004893,0.004896,12402.0,"(0.00489, 0.00492]"
1772498400000,0.004894,0.004898,0.004894,0.004898,13072.0,"(0.00489, 0.00492]"
1772498460000,0.004895,0.004902,0.004895,0.004902,33820.0,"(0.00489, 0.00492]"
1772498520000,0.004901,0.004905,0.004901,0.004905,37931.0,"(0.00489, 0.00492]"
1772498580000,0.004904,0.004905,0.004904,0.004905,3202.0,"(0.00489, 0.00492]"
1772498640000,0.004904,0.004904,0.004902,0.004902,2142.0,"(0.00489, 0.00492]"
1772498700000,0.004905,0.004909,0.004905,0.004909,15014.0,"(0.00489, 0.00492]"
1772498760000,0.004901,0.004901,0.004899,0.004899,53884.0,"(0.00489, 0.00492]"
1772498820000,0.004898,0.004898,0.004887,0.004887,37069.0,"(0.00489, 0.00492]"
1772498880000,0.004888,0.004891,0.004888,0.00489,193537.0,"(0.00489, 0.00492]"
1772498940000,0.004891,0.004891,0.004885,0.004887,55748.0,"(0.00489, 0.00492]"
1772499000000,0.004887,0.00489,0.004887,0.004889,7742.0,"(0.00489, 0.00492]"
1772499060000,0.004884,0.004885,0.004884,0.004885,4270.0,"(0.00485, 0.00489]"
1772499120000,0.004889,0.004889,0.004886,0.004887,4230.0,"(0.00489, 0.00492]"
1772499180000,0.004889,0.004895,0.004889,0.004895,92744.0,"(0.00489, 0.00492]"
1772499240000,0.004894,0.004894,0.004889,0.00489,31022.0,"(0.00489, 0.00492]"
1772499300000,0.004892,0.004892,0.004891,0.004891,16921.0,"(0.00489, 0.00492]"
1772499360000,0.004887,0.004887,0.004887,0.004887,8594.0,"(0.00485, 0.00489]"
1772499420000,0.004884,0.004887,0.004884,0.004887,9966.0,"(0.00485, 0.00489]"
1772499480000,0.004886,0.004908,0.004886,0.004908,414203.0,"(0.00489, 0.00492]"
1772499540000,0.004906,0.004914,0.004906,0.004912,54996.0,"(0.00489, 0.00492]"
1772499600000,0.00491,0.004914,0.004907,0.004907,229497.0,"(0.00489, 0.00492]"
1772499660000,0.004904,0.004904,0.0049,0.0049,158696.0,"(0.00489, 0.00492]"
1772499720000,0.004904,0.004908,0.004899,0.004899,240725.0,"(0.00489, 0.00492]"
1772499780000,0.004901,0.004909,0.004901,0.004909,51994.0,"(0.00489, 0.00492]"
1772499840000,0.00491,0.004916,0.004908,0.004916,90078.0,"(0.00489, 0.00492]"
1772499900000,0.00492,0.004936,0.00492,0.004933,333636.0,"(0.00492, 0.00496]"
1772499960000,0.00493,0.004935,0.004929,0.00493,149103.0,"(0.00492, 0.00496]"
1772500020000,0.00493,0.00493,0.004918,0.004924,496368.0,"(0.00492, 0.00496]"
1772500080000,0.004923,0.004928,0.004923,0.004926,11676.0,"(0.00492, 0.00496]"
1772500140000,0.004925,0.004925,0.004919,0.004921,14383.0,"(0.00492, 0.00496]"
1772500200000,0.004919,0.004923,0.004919,0.004923,16717.0,"(0.00489, 0.00492]"
1772500260000,0.004925,0.004931,0.004925,0.004926,14156.0,"(0.00492, 0.00496]"
1772500320000,0.004932,0.004934,0.004932,0.004934,3516.0,"(0.00492, 0.00496]"
1772500380000,0.004931,0.004931,0.004926,0.004931,9270.0,"(0.00492, 0.00496]"
1772500440000,0.004929,0.004929,0.004923,0.004923,14882.0,"(0.00492, 0.00496]"
1772500500000,0.004921,0.004924,0.004918,0.004918,13408.0,"(0.00489, 0.00492]"
1772500560000,0.004917,0.004918,0.004917,0.004918,21481.0,"(0.00489, 0.00492]"
1772500620000,0.004918,0.004921,0.004908,0.004908,123043.0,"(0.00489, 0.00492]"
1772500680000,0.00491,0.00491,0.004903,0.004903,3153.0,"(0.00489, 0.00492]"
1772500740000,0.004914,0.004922,0.004914,0.004917,17483.0,"(0.00489, 0.00492]"
1772500800000,0.004918,0.004933,0.004918,0.004928,499891.0,"(0.00492, 0.00496]"
1772500860000,0.004929,0.004948,0.004929,0.004938,969438.0,"(0.00492, 0.00496]"
1772500920000,0.004938,0.004939,0.004933,0.004934,330755.0,"(0.00492, 0.00496]"
1772500980000,0.004935,0.00494,0.004935,0.004935,24359.0,"(0.00492, 0.00496]"
1772501040000,0.00493,0.004931,0.004927,0.004927,22998.0,"(0.00492, 0.00496]"
1772501100000,0.00493,0.004937,0.00493,0.004936,63622.0,"(0.00492, 0.00496]"
1772501160000,0.004934,0.004936,0.004934,0.004936,15896.0,"(0.00492, 0.00496]"
1772501220000,0.004932,0.004932,0.004932,0.004932,3126.0,"(0.00492, 0.00496]"
1772501280000,0.004932,0.004932,0.004931,0.004931,3534.0,"(0.00492, 0.00496]"
1772501340000,0.004928,0.004928,0.004925,0.004928,8314.0,"(0.00492, 0.00496]"
1772501400000,0.004924,0.004926,0.00492,0.004921,17856.0,"(0.00492, 0.00496]"
1772501460000,0.004916,0.004934,0.004916,0.004934,841886.0,"(0.00492, 0.00496]"
1772501520000,0.004934,0.004947,0.004934,0.004939,506637.0,"(0.00492, 0.00496]"
1772501580000,0.004938,0.004965,0.004937,0.004962,2464842.0,"(0.00492, 0.00496]"
1772501640000,0.004963,0.004976,0.004962,0.004962,697780.0,"(0.00496, 0.00499]"
1772501700000,0.004963,0.004968,0.004961,0.004964,301124.0,"(0.00496, 0.00499]"
1772501760000,0.004967,0.00497,0.004957,0.004957,256850.0,"(0.00496, 0.00499]"
1772501820000,0.004954,0.004971,0.004954,0.004971,242162.0,"(0.00496, 0.00499]"
1772501880000,0.004972,0.004973,0.004962,0.004963,82534.0,"(0.00496, 0.00499]"
1772501940000,0.004965,0.004978,0.004965,0.004976,268883.0,"(0.00496, 0.00499]"
1772502000000,0.004977,0.004977,0.004967,0.00497,390551.0,"(0.00496, 0.00499]"
1772502060000,0.004967,0.004983,0.004967,0.004983,244759.0,"(0.00496, 0.00499]"
1772502120000,0.004982,0.004982,0.004977,0.004977,42801.0,"(0.00496, 0.00499]"
1772502180000,0.004975,0.004979,0.004975,0.004979,48821.0,"(0.00496, 0.00499]"
1772502240000,0.00498,0.004984,0.004979,0.004982,87432.0,"(0.00496, 0.00499]"
1772502300000,0.004982,0.004983,0.004973,0.004973,52947.0,"(0.00496, 0.00499]"
1772502360000,0.004974,0.004975,0.004971,0.004971,469306.0,"(0.00496, 0.00499]"
1772502420000,0.004975,0.004983,0.004975,0.004982,237289.0,"(0.00496, 0.00499]"
1772502480000,0.004983,0.004986,0.00498,0.004982,60671.0,"(0.00496, 0.00499]"
1772502540000,0.004981,0.004982,0.004977,0.004982,113501.0,"(0.00496, 0.00499]"
1772502600000,0.004981,0.004981,0.004974,0.004974,39093.0,"(0.00496, 0.00499]"
1772502660000,0.004973,0.004973,0.004963,0.004968,515695.0,"(0.00496, 0.00499]"
1772502720000,0.004967,0.004967,0.004964,0.004966,67726.0,"(0.00496, 0.00499]"
1772502780000,0.004967,0.004969,0.004965,0.004967,136325.0,"(0.00496, 0.00499]"
1772502840000,0.004967,0.004967,0.004964,0.004964,160365.0,"(0.00496, 0.00499]"
1772502900000,0.004964,0.004968,0.004963,0.004963,61930.0,"(0.00496, 0.00499]"
1772502960000,0.004964,0.004964,0.004959,0.004959,193119.0,"(0.00496, 0.00499]"
1772503020000,0.004959,0.004959,0.004937,0.004939,1447581.0,"(0.00492, 0.00496]"
1772503080000,0.004941,0.004944,0.004939,0.004939,183730.0,"(0.00492, 0.00496]"
1772503140000,0.004942,0.004946,0.004941,0.004944,181895.0,"(0.00492, 0.00496]"
1772503200000,0.004944,0.004944,0.004923,0.004928,3012849.0,"(0.00492, 0.00496]"
1772503260000,0.00493,0.004934,0.004926,0.00493,248656.0,"(0.00492, 0.00496]"
1772503320000,0.004929,0.004929,0.004907,0.004921,1660360.0,"(0.00492, 0.00496]"
1772503380000,0.00492,0.004928,0.004918,0.004928,272877.0,"(0.00492, 0.00496]"
1772503440000,0.004927,0.004927,0.004915,0.004921,360064.0,"(0.00492, 0.00496]"
1772503500000,0.004923,0.004923,0.004917,0.004917,127619.0,"(0.00489, 0.00492]"
1772503560000,0.004917,0.004918,0.004915,0.004916,286597.0,"(0.00489, 0.00492]"
1772503620000,0.004915,0.00492,0.004914,0.004918,145073.0,"(0.00489, 0.00492]"
1772503680000,0.004913,0.004916,0.004911,0.004916,138049.0,"(0.00489, 0.00492]"
1772503740000,0.004916,0.004925,0.004915,0.004917,243792.0,"(0.00489, 0.00492]"
1772503800000,0.004917,0.004927,0.004917,0.004927,361918.0,"(0.00489, 0.00492]"
1772503860000,0.004923,0.004923,0.004921,0.004921,7386.0,"(0.00489, 0.00492]"
1772503920000,0.00492,0.004921,0.004919,0.00492,26494.0,"(0.00489, 0.00492]"
1772503980000,0.004921,0.004922,0.004918,0.004919,27996.0,"(0.00489, 0.00492]"
1772504040000,0.004917,0.00492,0.004913,0.004913,104880.0,"(0.00489, 0.00492]"
1772504100000,0.004916,0.004916,0.004914,0.004914,40908.0,"(0.00489, 0.00492]"
1772504160000,0.004913,0.004915,0.004904,0.004914,406611.0,"(0.00489, 0.00492]"
1772504220000,0.004915,0.004915,0.004913,0.004915,58812.0,"(0.00489, 0.00492]"
1772504280000,0.004915,0.004918,0.004913,0.004913,63956.0,"(0.00489, 0.00492]"
1772504340000,0.004912,0.004913,0.004905,0.004913,31012.0,"(0.00489, 0.00492]"
1772504400000,0.004909,0.004911,0.004901,0.004901,26049.0,"(0.00489, 0.00492]"
1772504460000,0.004899,0.004899,0.004878,0.004884,771785.0,"(0.00489, 0.00492]"
1772504520000,0.004885,0.004894,0.004882,0.004893,532150.0,"(0.00489, 0.00492]"
1772504580000,0.004899,0.004899,0.004893,0.004896,244366.0,"(0.00489, 0.00492]"
1772504640000,0.004896,0.0049,0.004896,0.004899,136795.0,"(0.00489, 0.00492]"
1772504700000,0.004902,0.004904,0.004902,0.004903,4952.0,"(0.00489, 0.00492]"
1772504760000,0.004906,0.004909,0.004903,0.004909,83312.0,"(0.00489, 0.00492]"
1772504820000,0.00491,0.00491,0.004904,0.004904,62686.0,"(0.00489, 0.00492]"
1772504880000,0.004906,0.00491,0.004906,0.004908,9843.0,"(0.00489, 0.00492]"
1772504940000,0.004905,0.004909,0.004905,0.004909,24016.0,"(0.00489, 0.00492]"
1772505000000,0.004905,0.004923,0.004905,0.004923,217585.0,"(0.00489, 0.00492]"
1772505060000,0.004925,0.004935,0.004922,0.004931,191932.0,"(0.00492, 0.00496]"
1772505120000,0.004928,0.004936,0.004928,0.004931,130778.0,"(0.00492, 0.00496]"
1772505180000,0.004932,0.004938,0.004932,0.004936,24089.0,"(0.00492, 0.00496]"
1772505240000,0.004937,0.004945,0.004937,0.004945,33839.0,"(0.00492, 0.00496]"
1772505300000,0.004942,0.004942,0.004936,0.004936,12123.0,"(0.00492, 0.00496]"
1772505360000,0.004934,0.004938,0.004934,0.004938,27429.0,"(0.00492, 0.00496]"
1772505420000,0.004935,0.004939,0.004935,0.004937,53917.0,"(0.00492, 0.00496]"
1772505480000,0.004934,0.004942,0.004934,0.004942,111575.0,"(0.00492, 0.00496]"
1772505540000,0.004939,0.004942,0.004939,0.004942,25274.0,"(0.00492, 0.00496]"
1772505600000,0.004941,0.004941,0.004938,0.004938,3070.0,"(0.00492, 0.00496]"
1772505660000,0.004936,0.004938,0.004933,0.004938,22872.0,"(0.00492, 0.00496]"
1772505720000,0.004936,0.00494,0.004935,0.00494,81085.0,"(0.00492, 0.00496]"
1772505780000,0.004945,0.004945,0.004944,0.004944,29207.0,"(0.00492, 0.00496]"
1772505840000,0.00494,0.00494,0.004939,0.004939,5213.0,"(0.00492, 0.00496]"
1772505900000,0.004939,0.004941,0.004939,0.004941,35851.0,"(0.00492, 0.00496]"
1772505960000,0.004948,0.004952,0.004948,0.004949,164740.0,"(0.00492, 0.00496]"
1772506020000,0.004948,0.004949,0.004945,0.004947,4301.0,"(0.00492, 0.00496]"
1772506080000,0.004943,0.004943,0.004936,0.004938,36493.0,"(0.00492, 0.00496]"
1772506140000,0.004937,0.00494,0.004937,0.00494,10068.0,"(0.00492, 0.00496]"
1772506200000,0.004935,0.00494,0.004925,0.004927,65919.0,"(0.00492, 0.00496]"
1772506260000,0.004929,0.00494,0.004927,0.004938,135261.0,"(0.00492, 0.00496]"
