bin,vol
"(0.00485, 0.00489]",6434112.0
"(0.00489, 0.00492]",37483809.0
"(0.00492, 0.00496]",96441176.0
"(0.00496, 0.00499]",92287875.0
"(0.00499, 0.00503]",88438586.0
"(0.00503, 0.00506]",123595166.0
"(0.00506, 0.00509]",138980848.0
"(0.00509, 0.00513]",196598769.0
"(0.00513, 0.00516]",205432394.0
"(0.00516, 0.0052]",150784184.0
"(0.0052, 0.00523]",170314706.0
"(0.00523, 0.00527]",184679306.0
"(0.00527, 0.0053]",162758575.0
"(0.0053, 0.00534]",150452091.0
"(0.00534, 0.00537]",95697467.0
"(0.00537, 0.00541]",82332658.0
"(0.00541, 0.00544]",121026132.0
"(0.00544, 0.00548]",151392522.0
"(0.00548, 0.00551]",124869378.0
"(0.00551, 0.00554]",63450483.0
"(0.00554, 0.00558]",40188681.0
"(0.00558, 0.00561]",34552337.0
"(0.00561, 0.00565]",43968140.0
"(0.00565, 0.00568]",46464131.0
"(0.00568, 0.00572]",30155233.0
"(0.00572, 0.00575]",47063721.0
"(0.00575, 0.00579]",34547598.0
"(0.00579, 0.00582]",6673181.0
"(0.00582, 0.00586]",17105958.0
"(0.00589, 0.00592]",80303776.0
"(0.00592, 0.00596]",61619175.0
"(0.00596, 0.00599]",60578485.0
"(0.00603, 0.00606]",79594774.0
"(0.00606, 0.0061]",27958717.0
"(0.0061, 0.00613]",48569357.0
"(0.00617, 0.0062]",50512958.0
"(0.0062, 0.00624]",78576494.0
"(0.00624, 0.00627]",167738914.0
"(0.00627, 0.0063]",198366025.0
"(0.0063, 0.00634]",165852750.0
"(0.00634, 0.00637]",262377091.0
"(0.00637, 0.00641]",403993591.0
"(0.00641, 0.00644]",95699830.0
"(0.00644, 0.00648]",154002543.0
"(0.00648, 0.00651]",150593893.0
"(0.00651, 0.00655]",41801062.0
