ts,open,high,low,close,vol,bin
1773446400000,0.005344,0.005349,0.005335,0.005339,582264.0,"(0.00533, 0.00537]"
1773446460000,0.005338,0.00534,0.005336,0.005338,161224.0,"(0.00533, 0.00537]"
1773446520000,0.005336,0.005341,0.00532,0.005341,1049734.0,"(0.00533, 0.00537]"
1773446580000,0.005342,0.005343,0.005337,0.005337,392851.0,"(0.00533, 0.00537]"
1773446640000,0.005337,0.005342,0.005336,0.005339,302456.0,"(0.00533, 0.00537]"
1773446700000,0.005338,0.00534,0.005327,0.005331,255853.0,"(0.00533, 0.00537]"
1773446760000,0.00533,0.005331,0.00533,0.005331,49041.0,"(0.00529, 0.00533]"
1773446820000,0.00533,0.00533,0.005324,0.005327,246625.0,"(0.00529, 0.00533]"
1773446880000,0.005327,0.005327,0.005319,0.005325,472792.0,"(0.00529, 0.00533]"
1773446940000,0.005324,0.005331,0.005324,0.005328,162349.0,"(0.00529, 0.00533]"
1773447000000,0.005328,0.005329,0.005324,0.005324,81385.0,"(0.00529, 0.00533]"
1773447060000,0.005323,0.005327,0.005322,0.005324,115620.0,"(0.00529, 0.00533]"
1773447120000,0.005328,0.00533,0.005324,0.005324,74833.0,"(0.00529, 0.00533]"
1773447180000,0.005325,0.005331,0.005325,0.005329,110917.0,"(0.00529, 0.00533]"
1773447240000,0.005328,0.005332,0.005325,0.005328,149662.0,"(0.00529, 0.00533]"
1773447300000,0.005328,0.005329,0.005328,0.005329,17491.0,"(0.00529, 0.00533]"
1773447360000,0.005328,0.005334,0.005327,0.005329,201172.0,"(0.00529, 0.00533]"
1773447420000,0.00533,0.005332,0.005328,0.005328,43185.0,"(0.00529, 0.00533]"
1773447480000,0.005328,0.005328,0.005326,0.005326,32814.0,"(0.00529, 0.00533]"
1773447540000,0.005327,0.005331,0.005326,0.005331,89730.0,"(0.00529, 0.00533]"
1773447600000,0.005331,0.005332,0.005328,0.005328,21358.0,"(0.00529, 0.00533]"
1773447660000,0.005329,0.00533,0.005324,0.005328,114740.0,"(0.00529, 0.00533]"
1773447720000,0.005326,0.005329,0.005326,0.005328,12719.0,"(0.00529, 0.00533]"
1773447780000,0.005329,0.005329,0.005322,0.005325,131942.0,"(0.00529, 0.00533]"
1773447840000,0.005326,0.005328,0.005325,0.005326,130051.0,"(0.00529, 0.00533]"
1773447900000,0.005325,0.005325,0.005321,0.005323,127854.0,"(0.00529, 0.00533]"
1773447960000,0.005323,0.005326,0.005323,0.005326,26939.0,"(0.00529, 0.00533]"
1773448020000,0.005324,0.005326,0.005324,0.005326,14522.0,"(0.00529, 0.00533]"
1773448080000,0.005325,0.005327,0.00532,0.005327,402127.0,"(0.00529, 0.00533]"
1773448140000,0.005327,0.00533,0.005322,0.005329,163885.0,"(0.00529, 0.00533]"
1773448200000,0.00533,0.005334,0.005326,0.005327,207802.0,"(0.00529, 0.00533]"
1773448260000,0.005326,0.005329,0.005324,0.005327,70624.0,"(0.00529, 0.00533]"
1773448320000,0.005325,0.005325,0.005323,0.005324,45378.0,"(0.00529, 0.00533]"
1773448380000,0.005323,0.005324,0.005317,0.005321,115440.0,"(0.00529, 0.00533]"
1773448440000,0.005321,0.005321,0.005321,0.005321,20333.0,"(0.00529, 0.00533]"
1773448500000,0.005322,0.005326,0.005322,0.005323,31094.0,"(0.00529, 0.00533]"
1773448560000,0.005325,0.005329,0.005324,0.005328,73817.0,"(0.00529, 0.00533]"
1773448620000,0.005328,0.005328,0.00532,0.005324,233444.0,"(0.00529, 0.00533]"
1773448680000,0.005325,0.005325,0.005324,0.005325,20707.0,"(0.00529, 0.00533]"
1773448740000,0.005324,0.005324,0.005316,0.005316,129993.0,"(0.00529, 0.00533]"
1773448800000,0.005317,0.005317,0.005317,0.005317,60336.0,"(0.00529, 0.00533]"
1773448860000,0.005317,0.005319,0.005317,0.005319,39086.0,"(0.00529, 0.00533]"
1773448920000,0.005319,0.005324,0.005319,0.005323,105778.0,"(0.00529, 0.00533]"
1773448980000,0.005323,0.005323,0.005314,0.005319,230439.0,"(0.00529, 0.00533]"
1773449040000,0.005319,0.005319,0.005303,0.005308,362772.0,"(0.00529, 0.00533]"
1773449100000,0.005308,0.005311,0.005253,0.00531,6533486.0,"(0.00529, 0.00533]"
1773449160000,0.005308,0.005317,0.005306,0.005306,311542.0,"(0.00529, 0.00533]"
