bin,vol
"(0.00404, 0.00408]",18794249.0
"(0.00408, 0.00411]",62147711.0
"(0.00411, 0.00415]",77911287.0
"(0.00415, 0.00419]",161608300.0
"(0.00419, 0.00423]",157418762.0
"(0.00423, 0.00427]",287001960.0
"(0.00427, 0.0043]",204319892.0
"(0.0043, 0.00434]",166008045.0
"(0.00434, 0.00438]",143275773.0
"(0.00438, 0.00442]",152624832.0
"(0.00442, 0.00446]",136183574.0
"(0.00446, 0.00449]",303999217.0
"(0.00449, 0.00453]",60969150.0
"(0.00453, 0.00457]",48177879.0
"(0.00457, 0.00461]",98562285.0
"(0.00461, 0.00465]",50331126.0
"(0.00465, 0.00468]",170599257.0
"(0.00468, 0.00472]",186945265.0
"(0.00472, 0.00476]",198615905.0
"(0.00476, 0.0048]",225762828.0
"(0.0048, 0.00484]",202252390.0
"(0.00484, 0.00487]",275182812.0
"(0.00487, 0.00491]",30061722.0
"(0.00491, 0.00495]",130086754.0
"(0.00495, 0.00499]",260355444.0
"(0.00499, 0.00503]",717782683.0
"(0.00503, 0.00506]",1405358948.0
"(0.00506, 0.0051]",974188630.0
"(0.0051, 0.00514]",1737324900.0
"(0.00514, 0.00518]",1792537108.0
"(0.00518, 0.00522]",2296997817.0
"(0.00522, 0.00525]",1320579580.0
"(0.00525, 0.00529]",1284682132.0
"(0.00529, 0.00533]",1190101836.0
"(0.00533, 0.00537]",1990185577.0
"(0.00537, 0.00541]",2066099607.0
"(0.00541, 0.00544]",315802068.0
"(0.00544, 0.00548]",110839687.0
"(0.00548, 0.00552]",129569148.0
"(0.00552, 0.00556]",452178676.0
"(0.00556, 0.0056]",238556544.0
"(0.0056, 0.00563]",218055486.0
"(0.00563, 0.00567]",221145327.0
"(0.00567, 0.00571]",2344794.0
"(0.00571, 0.00575]",244881993.0
