ts,open,high,low,close,vol,bin
1766966400000,1.321,1.322,1.319,1.319,6913.7,"(1.308, 1.327]"
1766966460000,1.319,1.319,1.317,1.317,29460.9,"(1.308, 1.327]"
1766966520000,1.317,1.319,1.317,1.318,7435.9,"(1.308, 1.327]"
1766966580000,1.317,1.319,1.317,1.317,4951.8,"(1.308, 1.327]"
1766966640000,1.318,1.318,1.316,1.316,4712.0,"(1.308, 1.327]"
1766966700000,1.317,1.318,1.317,1.318,5364.9,"(1.308, 1.327]"
1766966760000,1.318,1.318,1.318,1.318,41.9,"(1.308, 1.327]"
1766966820000,1.319,1.322,1.319,1.322,3733.2,"(1.308, 1.327]"
1766966880000,1.321,1.322,1.32,1.32,4409.8,"(1.308, 1.327]"
1766966940000,1.319,1.32,1.319,1.319,36.7,"(1.308, 1.327]"
1766967000000,1.319,1.32,1.319,1.32,2817.2,"(1.308, 1.327]"
1766967060000,1.32,1.321,1.32,1.321,899.1,"(1.308, 1.327]"
1766967120000,1.32,1.32,1.318,1.319,4401.1,"(1.308, 1.327]"
1766967180000,1.319,1.319,1.319,1.319,0.0,"(1.308, 1.327]"
1766967240000,1.319,1.319,1.318,1.318,1947.2,"(1.308, 1.327]"
1766967300000,1.318,1.318,1.318,1.318,308.4,"(1.308, 1.327]"
1766967360000,1.318,1.32,1.317,1.319,9791.9,"(1.308, 1.327]"
1766967420000,1.32,1.321,1.32,1.32,11031.8,"(1.308, 1.327]"
1766967480000,1.32,1.32,1.319,1.319,1201.5,"(1.308, 1.327]"
1766967540000,1.319,1.319,1.318,1.318,38.0,"(1.308, 1.327]"
1766967600000,1.319,1.319,1.318,1.318,8539.9,"(1.308, 1.327]"
1766967660000,1.318,1.321,1.318,1.321,2284.2,"(1.308, 1.327]"
1766967720000,1.321,1.323,1.32,1.323,19367.6,"(1.308, 1.327]"
1766967780000,1.323,1.325,1.323,1.323,8774.7,"(1.308, 1.327]"
1766967840000,1.324,1.329,1.324,1.326,23274.7,"(1.308, 1.327]"
1766967900000,1.327,1.329,1.327,1.329,5131.0,"(1.327, 1.347]"
1766967960000,1.329,1.33,1.328,1.329,1349.8,"(1.327, 1.347]"
1766968020000,1.329,1.329,1.329,1.329,5.0,"(1.327, 1.347]"
1766968080000,1.33,1.331,1.329,1.329,12043.6,"(1.327, 1.347]"
1766968140000,1.329,1.331,1.329,1.331,6945.8,"(1.327, 1.347]"
1766968200000,1.332,1.337,1.331,1.335,27875.9,"(1.327, 1.347]"
1766968260000,1.336,1.34,1.336,1.337,56236.6,"(1.327, 1.347]"
1766968320000,1.338,1.34,1.337,1.338,14215.9,"(1.327, 1.347]"
1766968380000,1.338,1.339,1.335,1.335,12747.5,"(1.327, 1.347]"
1766968440000,1.335,1.335,1.333,1.333,9456.4,"(1.327, 1.347]"
1766968500000,1.333,1.338,1.333,1.338,26909.0,"(1.327, 1.347]"
1766968560000,1.337,1.338,1.334,1.334,9362.8,"(1.327, 1.347]"
1766968620000,1.334,1.335,1.334,1.335,1030.2,"(1.327, 1.347]"
1766968680000,1.334,1.334,1.333,1.334,2183.5,"(1.327, 1.347]"
1766968740000,1.333,1.335,1.333,1.333,14334.9,"(1.327, 1.347]"
