bin,vol
"(1.268, 1.288]",3100956.9
"(1.288, 1.308]",13440503.0
"(1.308, 1.327]",4349992.2
"(1.327, 1.347]",3260401.0
"(1.347, 1.367]",2848540.0
"(1.367, 1.387]",623543.6
"(1.387, 1.407]",1185494.9
"(1.407, 1.426]",1287630.7
"(1.426, 1.446]",3046203.2
"(1.446, 1.466]",2107141.7
"(1.466, 1.486]",4210608.1
"(1.486, 1.506]",8228506.2
"(1.506, 1.525]",9424899.0
"(1.525, 1.545]",4912292.2
"(1.545, 1.565]",3399500.2
"(1.565, 1.585]",908647.0
"(1.585, 1.605]",1223621.4
"(1.605, 1.624]",378238.4
"(1.624, 1.644]",1678427.5
"(1.644, 1.664]",817568.2000000001
"(1.664, 1.684]",2277092.0
"(1.684, 1.704]",2739821.4
"(1.704, 1.723]",4821117.4
"(1.723, 1.743]",2462482.5
"(1.743, 1.763]",384298.60000000003
"(1.763, 1.783]",4359830.1
"(1.783, 1.803]",5801049.5
"(1.803, 1.822]",19367126.8
"(1.822, 1.842]",11787985.5
"(1.842, 1.862]",8223519.9
"(1.862, 1.882]",5542219.1
"(1.882, 1.902]",208431.8
"(1.902, 1.921]",2801675.7
"(1.921, 1.941]",4102445.1
"(1.941, 1.961]",6283194.9
"(1.961, 1.981]",5342705.7
"(1.981, 2.001]",4911875.0
"(2.001, 2.02]",392638.3
"(2.02, 2.04]",597568.1
"(2.04, 2.06]",3017594.7
"(2.06, 2.08]",7379486.1
"(2.08, 2.1]",9346507.5
"(2.1, 2.119]",6100978.5
"(2.119, 2.139]",5335407.5
"(2.139, 2.159]",3351617.2
"(2.159, 2.179]",1492621.8
"(2.179, 2.199]",1207519.8
"(2.199, 2.218]",1475699.3
"(2.218, 2.238]",2374190.8
