bin,vol
"(0.0697, 0.0707]",1622885.0
"(0.0707, 0.0716]",6528963.0
"(0.0716, 0.0726]",12629106.0
"(0.0726, 0.0736]",27507644.0
"(0.0736, 0.0745]",3645434.0
"(0.0745, 0.0755]",6697375.0
"(0.0755, 0.0764]",6888266.0
"(0.0764, 0.0774]",27743504.0
"(0.0774, 0.0783]",81248452.0
"(0.0783, 0.0793]",163167838.0
"(0.0793, 0.0803]",86732399.0
"(0.0803, 0.0812]",35826117.0
"(0.0812, 0.0822]",28827520.0
"(0.0822, 0.0831]",27577729.0
"(0.0831, 0.0841]",11594225.0
"(0.0841, 0.085]",31492129.0
"(0.085, 0.086]",39935837.0
"(0.086, 0.087]",40337252.0
"(0.087, 0.0879]",47114938.0
"(0.0879, 0.0889]",62806644.0
"(0.0889, 0.0898]",109104801.0
"(0.0898, 0.0908]",75563455.0
"(0.0908, 0.0917]",92396246.0
"(0.0917, 0.0927]",172567658.0
"(0.0927, 0.0937]",194816960.0
"(0.0937, 0.0946]",61822572.0
"(0.0946, 0.0956]",98838687.0
"(0.0956, 0.0965]",133441295.0
"(0.0965, 0.0975]",93133265.0
"(0.0975, 0.0984]",111308542.0
"(0.0984, 0.0994]",141580965.0
"(0.0994, 0.1]",267499852.0
"(0.1, 0.101]",243986603.0
"(0.101, 0.102]",113864958.0
"(0.102, 0.103]",82955756.0
"(0.103, 0.104]",55885826.0
"(0.104, 0.105]",18050713.0
"(0.105, 0.106]",20568503.0
"(0.106, 0.107]",23538959.0
"(0.107, 0.108]",68154241.0
"(0.108, 0.109]",109013416.0
"(0.109, 0.11]",72724331.0
"(0.11, 0.111]",22013053.0
"(0.111, 0.112]",23741839.0
"(0.112, 0.113]",60038488.0
"(0.113, 0.114]",28876553.0
