ts,open,high,low,close,vol,bin
1768176000000,0.01168,0.01168,0.01165,0.01165,225927.0,"(0.0116, 0.0118]"
1768176060000,0.01166,0.01168,0.01165,0.01166,390788.0,"(0.0116, 0.0118]"
1768176120000,0.01167,0.01169,0.01167,0.01168,476568.0,"(0.0116, 0.0118]"
1768176180000,0.01168,0.01168,0.01164,0.01167,2266133.0,"(0.0116, 0.0118]"
1768176240000,0.01167,0.01168,0.01166,0.01166,596810.0,"(0.0116, 0.0118]"
1768176300000,0.01166,0.01166,0.01165,0.01165,372296.0,"(0.0116, 0.0118]"
1768176360000,0.01166,0.01166,0.01165,0.01165,149906.0,"(0.0116, 0.0118]"
1768176420000,0.01165,0.01165,0.01163,0.01164,167628.0,"(0.0116, 0.0118]"
1768176480000,0.01165,0.01165,0.01164,0.01164,49143.0,"(0.0116, 0.0118]"
1768176540000,0.01164,0.01164,0.01163,0.01163,28022.0,"(0.0116, 0.0118]"
1768176600000,0.01164,0.01165,0.01162,0.01163,119657.0,"(0.0116, 0.0118]"
1768176660000,0.01163,0.01164,0.01163,0.01164,2697.0,"(0.0116, 0.0118]"
1768176720000,0.01163,0.01163,0.01162,0.01163,85215.0,"(0.0116, 0.0118]"
1768176780000,0.01164,0.01164,0.01164,0.01164,1718.0,"(0.0116, 0.0118]"
1768176840000,0.01164,0.01164,0.01161,0.01161,777493.0,"(0.0116, 0.0118]"
1768176900000,0.01163,0.01165,0.01162,0.01163,438971.0,"(0.0116, 0.0118]"
1768176960000,0.01163,0.01166,0.01163,0.01165,347716.0,"(0.0116, 0.0118]"
1768177020000,0.01165,0.01168,0.01165,0.01167,180806.0,"(0.0116, 0.0118]"
1768177080000,0.01168,0.0117,0.01168,0.0117,694318.0,"(0.0116, 0.0118]"
1768177140000,0.01169,0.01172,0.01169,0.0117,519633.0,"(0.0116, 0.0118]"
1768177200000,0.0117,0.01172,0.0117,0.01171,391717.0,"(0.0116, 0.0118]"
1768177260000,0.01171,0.01172,0.0117,0.0117,663394.0,"(0.0116, 0.0118]"
1768177320000,0.01171,0.01171,0.01166,0.01167,204881.0,"(0.0116, 0.0118]"
1768177380000,0.01168,0.0117,0.01168,0.0117,86484.0,"(0.0116, 0.0118]"
1768177440000,0.0117,0.01171,0.01169,0.01169,119524.0,"(0.0116, 0.0118]"
1768177500000,0.0117,0.0117,0.01168,0.01169,154296.0,"(0.0116, 0.0118]"
1768177560000,0.01169,0.01169,0.01168,0.01168,7087.0,"(0.0116, 0.0118]"
1768177620000,0.01169,0.01171,0.01169,0.01171,604475.0,"(0.0116, 0.0118]"
1768177680000,0.01171,0.01171,0.01169,0.01171,567812.0,"(0.0116, 0.0118]"
1768177740000,0.01171,0.01171,0.01168,0.01169,895939.0,"(0.0116, 0.0118]"
1768177800000,0.0117,0.01171,0.01169,0.01171,370587.0,"(0.0116, 0.0118]"
1768177860000,0.01171,0.01171,0.0117,0.0117,475034.0,"(0.0116, 0.0118]"
1768177920000,0.01171,0.01171,0.01166,0.01167,243337.0,"(0.0116, 0.0118]"
1768177980000,0.01167,0.01167,0.01166,0.01166,120258.0,"(0.0116, 0.0118]"
1768178040000,0.01166,0.01166,0.01165,0.01166,229452.0,"(0.0116, 0.0118]"
1768178100000,0.01165,0.01166,0.01164,0.01165,37425.0,"(0.0116, 0.0118]"
1768178160000,0.01164,0.01164,0.01163,0.01163,52201.0,"(0.0116, 0.0118]"
1768178220000,0.01164,0.01165,0.01164,0.01164,30544.0,"(0.0116, 0.0118]"
1768178280000,0.01163,0.01164,0.01156,0.01159,1484828.0,"(0.0115, 0.0116]"
1768178340000,0.01159,0.0116,0.01157,0.01159,518687.0,"(0.0115, 0.0116]"
1768178400000,0.0116,0.0116,0.0116,0.0116,121913.0,"(0.0115, 0.0116]"
1768178460000,0.0116,0.0116,0.01157,0.01158,87642.0,"(0.0115, 0.0116]"
1768178520000,0.01157,0.01157,0.01152,0.01156,5732713.0,"(0.0115, 0.0116]"
1768178580000,0.01155,0.01155,0.01154,0.01155,248052.0,"(0.0115, 0.0116]"
1768178640000,0.01154,0.01155,0.01153,0.01155,256257.0,"(0.0115, 0.0116]"
1768178700000,0.01155,0.01155,0.01153,0.01154,203501.0,"(0.0115, 0.0116]"
1768178760000,0.01155,0.01155,0.01154,0.01154,170036.0,"(0.0115, 0.0116]"
1768178820000,0.01154,0.01155,0.01154,0.01155,25077.0,"(0.0115, 0.0116]"
1768178880000,0.01154,0.01155,0.01153,0.01154,131538.0,"(0.0115, 0.0116]"
1768178940000,0.01154,0.01154,0.01152,0.01154,125373.0,"(0.0115, 0.0116]"
1768179000000,0.01155,0.01155,0.01151,0.01151,384925.0,"(0.0115, 0.0116]"
1768179060000,0.01152,0.01152,0.01148,0.01148,410926.0,"(0.0115, 0.0116]"
1768179120000,0.01148,0.0115,0.01147,0.01149,1028924.0,"(0.0115, 0.0116]"
1768179180000,0.0115,0.0115,0.01149,0.01149,73780.0,"(0.0115, 0.0116]"
1768179240000,0.01149,0.01153,0.01149,0.01153,634780.0,"(0.0115, 0.0116]"
1768179300000,0.01154,0.01156,0.01153,0.01154,349562.0,"(0.0115, 0.0116]"
1768179360000,0.01154,0.01157,0.01154,0.01157,296643.0,"(0.0115, 0.0116]"
1768179420000,0.01158,0.01161,0.01157,0.01161,999559.0,"(0.0115, 0.0116]"
1768179480000,0.01161,0.01163,0.0116,0.01163,437642.0,"(0.0116, 0.0118]"
1768179540000,0.01164,0.01166,0.01163,0.01164,426328.0,"(0.0116, 0.0118]"
1768179600000,0.01165,0.0117,0.01165,0.01165,1940740.0,"(0.0116, 0.0118]"
1768179660000,0.01165,0.01168,0.01164,0.01167,358715.0,"(0.0116, 0.0118]"
1768179720000,0.01168,0.0117,0.01166,0.01169,325450.0,"(0.0116, 0.0118]"
1768179780000,0.01169,0.01175,0.01169,0.01175,986728.0,"(0.0116, 0.0118]"
1768179840000,0.01175,0.01176,0.01174,0.01175,668607.0,"(0.0116, 0.0118]"
1768179900000,0.01175,0.01175,0.01173,0.01175,1965218.0,"(0.0116, 0.0118]"
1768179960000,0.01176,0.01177,0.01172,0.01173,997046.0,"(0.0116, 0.0118]"
1768180020000,0.01174,0.01174,0.01169,0.01171,987335.0,"(0.0116, 0.0118]"
1768180080000,0.0117,0.01173,0.0117,0.01171,213234.0,"(0.0116, 0.0118]"
1768180140000,0.01171,0.01172,0.0117,0.01171,96006.0,"(0.0116, 0.0118]"
1768180200000,0.01171,0.01172,0.0117,0.0117,838877.0,"(0.0116, 0.0118]"
1768180260000,0.01171,0.01175,0.01171,0.01172,727864.0,"(0.0116, 0.0118]"
1768180320000,0.01173,0.01174,0.01173,0.01173,75100.0,"(0.0116, 0.0118]"
1768180380000,0.01172,0.01173,0.01172,0.01173,91279.0,"(0.0116, 0.0118]"
1768180440000,0.01172,0.01173,0.01171,0.01173,438974.0,"(0.0116, 0.0118]"
1768180500000,0.01172,0.01173,0.01169,0.0117,376945.0,"(0.0116, 0.0118]"
1768180560000,0.01169,0.0117,0.01169,0.01169,35824.0,"(0.0116, 0.0118]"
1768180620000,0.01169,0.0117,0.01168,0.0117,108545.0,"(0.0116, 0.0118]"
1768180680000,0.01171,0.01171,0.0117,0.0117,102880.0,"(0.0116, 0.0118]"
1768180740000,0.0117,0.0117,0.01168,0.0117,138072.0,"(0.0116, 0.0118]"
1768180800000,0.01169,0.01172,0.01169,0.01172,120726.0,"(0.0116, 0.0118]"
1768180860000,0.01171,0.01172,0.01171,0.01171,206749.0,"(0.0116, 0.0118]"
1768180920000,0.01171,0.01172,0.01171,0.01172,152213.0,"(0.0116, 0.0118]"
1768180980000,0.01172,0.01175,0.01172,0.01175,521099.0,"(0.0116, 0.0118]"
1768181040000,0.01176,0.01177,0.01174,0.01175,118373.0,"(0.0116, 0.0118]"
1768181100000,0.01175,0.01176,0.01173,0.01173,66857.0,"(0.0116, 0.0118]"
1768181160000,0.01172,0.01172,0.01171,0.01172,80700.0,"(0.0116, 0.0118]"
1768181220000,0.01173,0.01175,0.01172,0.01175,167866.0,"(0.0116, 0.0118]"
1768181280000,0.01175,0.01176,0.01175,0.01176,48946.0,"(0.0116, 0.0118]"
1768181340000,0.01175,0.01177,0.01175,0.01176,31891.0,"(0.0116, 0.0118]"
1768181400000,0.01177,0.01178,0.01174,0.01174,839999.0,"(0.0116, 0.0118]"
1768181460000,0.01175,0.01175,0.01172,0.01175,465983.0,"(0.0116, 0.0118]"
1768181520000,0.01176,0.0118,0.01176,0.0118,1816892.0,"(0.0118, 0.0119]"
1768181580000,0.0118,0.0118,0.01175,0.01175,587552.0,"(0.0118, 0.0119]"
1768181640000,0.01175,0.01176,0.01172,0.01172,368983.0,"(0.0116, 0.0118]"
1768181700000,0.01172,0.01172,0.01169,0.01172,444165.0,"(0.0116, 0.0118]"
1768181760000,0.01171,0.01171,0.0117,0.01171,71572.0,"(0.0116, 0.0118]"
1768181820000,0.01172,0.01172,0.0117,0.01171,349756.0,"(0.0116, 0.0118]"
1768181880000,0.01171,0.01172,0.01171,0.01172,540759.0,"(0.0116, 0.0118]"
1768181940000,0.01171,0.01171,0.0117,0.0117,80740.0,"(0.0116, 0.0118]"
1768182000000,0.01171,0.01171,0.0117,0.0117,75765.0,"(0.0116, 0.0118]"
1768182060000,0.0117,0.01171,0.0117,0.01171,164254.0,"(0.0116, 0.0118]"
1768182120000,0.01171,0.01172,0.01171,0.01171,453489.0,"(0.0116, 0.0118]"
1768182180000,0.01171,0.01175,0.01171,0.01174,775849.0,"(0.0116, 0.0118]"
1768182240000,0.01174,0.01174,0.01174,0.01174,132636.0,"(0.0116, 0.0118]"
1768182300000,0.01173,0.01173,0.01172,0.01173,211744.0,"(0.0116, 0.0118]"
1768182360000,0.01174,0.01177,0.01174,0.01175,443766.0,"(0.0116, 0.0118]"
1768182420000,0.01176,0.01177,0.01176,0.01176,143195.0,"(0.0116, 0.0118]"
1768182480000,0.01175,0.01175,0.01174,0.01175,94057.0,"(0.0116, 0.0118]"
1768182540000,0.01176,0.01181,0.01176,0.0118,1008568.0,"(0.0118, 0.0119]"
1768182600000,0.01179,0.0118,0.01178,0.0118,569633.0,"(0.0118, 0.0119]"
1768182660000,0.0118,0.0118,0.01179,0.01179,38531.0,"(0.0118, 0.0119]"
1768182720000,0.0118,0.01182,0.0118,0.0118,193761.0,"(0.0118, 0.0119]"
1768182780000,0.01179,0.0118,0.01179,0.01179,92661.0,"(0.0118, 0.0119]"
1768182840000,0.0118,0.0118,0.01177,0.01178,138902.0,"(0.0118, 0.0119]"
1768182900000,0.01178,0.01179,0.01178,0.01179,89286.0,"(0.0118, 0.0119]"
1768182960000,0.01179,0.01179,0.01175,0.01179,2580486.0,"(0.0118, 0.0119]"
1768183020000,0.01179,0.01179,0.01177,0.01178,236021.0,"(0.0118, 0.0119]"
1768183080000,0.01178,0.01179,0.01177,0.01177,225887.0,"(0.0118, 0.0119]"
1768183140000,0.01178,0.01178,0.01177,0.01178,52183.0,"(0.0118, 0.0119]"
1768183200000,0.01178,0.01181,0.01178,0.01181,233326.0,"(0.0118, 0.0119]"
1768183260000,0.0118,0.01182,0.01178,0.0118,368443.0,"(0.0118, 0.0119]"
1768183320000,0.01181,0.01183,0.01181,0.01182,462472.0,"(0.0118, 0.0119]"
1768183380000,0.01182,0.01185,0.01182,0.01183,410483.0,"(0.0118, 0.0119]"
1768183440000,0.01183,0.01187,0.01183,0.01185,2389836.0,"(0.0118, 0.0119]"
1768183500000,0.01185,0.01186,0.01184,0.01185,350047.0,"(0.0118, 0.0119]"
1768183560000,0.01185,0.01187,0.01185,0.01187,298414.0,"(0.0118, 0.0119]"
1768183620000,0.01186,0.01187,0.01185,0.01186,76934.0,"(0.0118, 0.0119]"
1768183680000,0.01186,0.01187,0.01186,0.01186,227742.0,"(0.0118, 0.0119]"
1768183740000,0.01185,0.01185,0.01184,0.01185,128623.0,"(0.0118, 0.0119]"
1768183800000,0.01185,0.01185,0.01185,0.01185,0.0,"(0.0118, 0.0119]"
1768183860000,0.01186,0.01186,0.01184,0.01184,119208.0,"(0.0118, 0.0119]"
1768183920000,0.01184,0.01186,0.01184,0.01186,92708.0,"(0.0118, 0.0119]"
