bin,vol
"(0.0115, 0.0116]",32085850.0
"(0.0116, 0.0118]",106291636.0
"(0.0118, 0.0119]",141055056.0
"(0.0119, 0.0121]",126687248.0
"(0.0121, 0.0122]",97561482.0
"(0.0122, 0.0123]",113251134.0
"(0.0123, 0.0125]",64252846.0
"(0.0125, 0.0126]",32106000.0
"(0.0126, 0.0128]",117416446.0
"(0.0128, 0.0129]",124759415.0
"(0.0129, 0.0131]",230603327.0
"(0.0131, 0.0132]",463634538.0
"(0.0132, 0.0134]",621565649.0
"(0.0134, 0.0135]",414185093.0
"(0.0135, 0.0137]",349140314.0
"(0.0137, 0.0138]",512873692.0
"(0.0138, 0.014]",667705827.0
"(0.014, 0.0141]",751724317.0
"(0.0141, 0.0142]",612569382.0
"(0.0142, 0.0144]",477177971.0
"(0.0144, 0.0145]",401513752.0
"(0.0145, 0.0147]",511401593.0
"(0.0147, 0.0148]",383005133.0
"(0.0148, 0.015]",243664338.0
"(0.015, 0.0151]",194343052.0
"(0.0151, 0.0153]",174997710.0
"(0.0153, 0.0154]",232097222.0
"(0.0154, 0.0156]",229729775.0
"(0.0156, 0.0157]",216849122.0
"(0.0157, 0.0159]",300109223.0
"(0.0159, 0.016]",387831855.0
"(0.016, 0.0161]",292143694.0
"(0.0161, 0.0163]",355014639.0
"(0.0163, 0.0164]",458428239.0
"(0.0164, 0.0166]",200032503.0
"(0.0166, 0.0167]",168957882.0
"(0.0167, 0.0169]",85851487.0
"(0.0169, 0.017]",225134749.0
"(0.017, 0.0172]",211644978.0
"(0.0172, 0.0173]",296587508.0
"(0.0173, 0.0175]",282725691.0
"(0.0175, 0.0176]",258980922.0
"(0.0176, 0.0178]",252156666.0
"(0.0178, 0.0179]",254823082.0
"(0.0179, 0.018]",197507715.0
"(0.018, 0.0182]",249413065.0
"(0.0182, 0.0183]",162395398.0
"(0.0183, 0.0185]",55517067.0
